"AllReleasesYear","AllReleasesFreq","NumberOfAllReleses","ModerateReleasesFreq","NumberOfModeraeReleases","NumberOfAllTrees"
"1833",16.67,1,0,0,6
"1838",14.29,1,0,0,7
"1841",14.29,1,0,0,7
"1853",40,4,20,2,10
"1864",9.09,1,0,0,11
"1882",8.33,1,0,0,12
"1891",7.69,1,0,0,13
"1900",6.67,1,0,0,15
"1911",6.67,1,0,0,15
"1942",6.67,1,0,0,15
"1946",6.67,1,0,0,15
"1957",6.67,1,0,0,15
"1967",6.67,1,0,0,15
"1968",13.33,2,0,0,15
"1970",6.67,1,0,0,15
"1980",6.67,1,0,0,15
"1981",6.67,1,0,0,15
"1983",6.67,1,0,0,15
"1987",6.67,1,0,0,15
"2000",13.33,2,0,0,15
"2002",13.33,2,6.67,1,15
"2003",13.33,2,0,0,15
