"ele","name","elev_mde"
1718.70971679688,"B01",1723.41003417969
1727.12133789062,"B02",1729.19995117188
1735.53271484375,"B03",1734.88000488281
1746.10693359375,"B04",1747.89001464844
1747.068359375,"B05",1746.10998535156
1755.47998046875,"B06",1756.03002929688
1764.13159179688,"B07",1763.77001953125
1760.76708984375,"B08",1762.36999511719
1775.66723632812,"B09",1775.34997558594
1781.19506835938,"B10",1778.53002929688
1916.98022460938,"B11",1913.09997558594
1910.73168945312,"B12",1906.60998535156
1897.03295898438,"B13",1900.76000976562
1898.71508789062,"B14",1900.23999023438
1899.67651367188,"B15",1901.23999023438
1905.6845703125,"B16",1902.92004394531
1897.75390625,"B17",1897.66003417969
1895.3505859375,"B18",1892.65002441406
1885.73754882812,"B19",1886.78002929688
1886.93920898438,"B20",1883.5
1893.66821289062,"B21",1887.75
1891.26513671875,"B22",1885.31994628906
1885.73754882812,"B23",1881.48999023438
1892.947265625,"B24",1885.90002441406
1887.900390625,"B25",1886.0400390625
1729.5244140625,"B26",1724.82995605469
1729.04370117188,"B27",1722.7900390625
1730.72607421875,"B28",1725.68994140625
1728.08251953125,"B29",1723.35998535156
1729.76489257812,"B30",1725.91003417969
1298.37622070312,"A01",1307.17004394531
1303.66381835938,"A02",1313.48999023438
1292.84887695312,"A03",1300.97998046875
1277.70825195312,"A04",1284.26000976562
1278.18896484375,"A05",1283.14001464844
1278.66967773438,"A06",1283.08996582031
1283.47607421875,"A07",1290.09997558594
1269.056640625,"A08",1273.84997558594
1267.85473632812,"A09",1275.46997070312
1273.62280273438,"A10",1272.23999023438
1329.13818359375,"A11",1340.4599609375
1333.22412109375,"A12",1340.80004882812
1342.1162109375,"A13",1348.64001464844
1340.67407226562,"A14",1354.21997070312
1336.10791015625,"A15",1355.93005371094
1353.17114257812,"A16",1369.07995605469
1364.947265625,"A17",1363.96997070312
1363.50512695312,"A18",1367.33996582031
1349.56616210938,"A19",1367.27001953125
1351.72924804688,"A20",1369.89001464844
