id_core,id_tree,tag_tree,distance_cm,rumbo_degree,height_cm,diam_mm,date
A11,1,1,857,330,960,705,27/12/16
A11,2,2,986,350,1070,960,27/12/16
A11,3,3,693,30,750,530,27/12/16
A11,4,4,980,60,590,360,27/12/16
A11,5,5,715,140,820,480,27/12/16
A11,6,6,579,160,750,430,27/12/16
A11,7,7,930,165,680,580,27/12/16
A11,8,8,130,330,850,810,27/12/16
A11,9,9,200,40,1180,710,27/12/16
A12,10,10,83,270,1290,850,27/12/16
A12,11,11,120,250,970,775,27/12/16
A12,12,12,332,230,840,755,27/12/16
A12,13,13,955,309,670,580,27/12/16
A12,14,14,372,306,660,460,27/12/16
A12,15,15,161,302,1160,900,27/12/16
A12,16,16,938,38,790,370,27/12/16
A12,17,17,995,22,720,480,27/12/16
A12,18,18,797,64,580,680,27/12/16
A13,19,19,967,265,660,265,27/12/16
A13,20,20,732,336,960,1030,27/12/16
A13,21,21,562,82,850,810,27/12/16
A13,22,22,580,96,810,320,27/12/16
A13,23,23,672,120,800,290,27/12/16
A13,24,24,645,122,760,260,27/12/16
A13,25,25,568,126,740,265,27/12/16
A13,26,26,478,128,700,250,27/12/16
A13,27,27,515,132,815,300,27/12/16
A13,28,28,536,136,650,280,27/12/16
A13,29,29,627,140,670,450,27/12/16
A13,30,30,434,178,710,485,27/12/16
A14,31,31,67,220,1190,640,27/12/16
A14,32,32,142,268,1030,700,27/12/16
A14,33,33,268,240,980,480,27/12/16
A14,34,34,628,232,1050,645,27/12/16
A14,35,35,817,228,680,475,27/12/16
A14,36,36,991,218,985,560,27/12/16
A14,37,37,712,40,570,465,27/12/16
A14,38,38,435,28,620,410,27/12/16
A14,39,39,102,44,590,790,27/12/16
A14,40,40,358,22,1030,860,27/12/16
A14,41,41,693,190,850,865,27/12/16
A14,42,42,853,194,870,680,27/12/16
A15,43,43,134,242,1330,920,27/12/16
A15,44,44,284,244,470,330,27/12/16
A15,45,45,322,230,1440,1125,27/12/16
A15,46,46,439,198,630,315,27/12/16
A15,47,47,520,208,1300,1090,27/12/16
A15,48,48,570,208,500,460,27/12/16
A15,49,49,622,206,730,590,27/12/16
A15,50,50,703,220,520,480,27/12/16
A15,51,51,809,186,1360,1075,27/12/16
A15,52,52,495,100,400,355,27/12/16
A15,53,53,542,94,620,610,27/12/16
A15,54,54,622,96,1100,1010,27/12/16
A15,55,55,953,122,1230,930,27/12/16
A15,56,56,877,336,590,305,27/12/16
A15,57,57,985,338,320,250,27/12/16
A15,58,58,865,326,1060,730,27/12/16
A15,59,59,956,320,850,530,27/12/16
A15,60,60,370,300,950,490,27/12/16
B01,61,61,841,144,430,255,28/12/16
B01,62,62,901,170,590,485,28/12/16
B01,63,63,260,246,1060,1435,28/12/16
B01,64,64,314,268,1350,1595,28/12/16
B01,65,65,680,310,1360,1770,28/12/16
B01,66,66,816,328,650,360,28/12/16
B01,67,67,983,316,1190,1440,28/12/16
B02,68,68,424,38,1220,1610,28/12/16
B02,69,69,571,8,930,1115,28/12/16
B02,70,70,461,340,760,420,28/12/16
B02,71,71,875,306,750,1725,28/12/16
B02,72,72,731,282,600,290,28/12/16
B02,73,73,798,274,630,320,28/12/16
B02,74,74,969,286,690,315,28/12/16
B02,75,75,931,266,480,255,28/12/16
B02,76,76,616,226,820,415,28/12/16
B02,77,77,756,242,740,360,28/12/16
B02,78,78,775,228,680,345,28/12/16
B02,79,79,814,216,600,285,28/12/16
B02,80,80,722,182,1210,1200,28/12/16
B03,81,81,656,42,980,1085,28/12/16
B03,82,82,978,342,960,365,28/12/16
B03,83,83,906,310,1100,700,28/12/16
B03,84,84,720,286,520,355,28/12/16
B03,85,85,919,258,710,450,28/12/16
B03,86,86,898,218,450,265,28/12/16
B03,87,87,496,156,870,440,28/12/16
B03,88,88,663,152,1030,510,28/12/16
B03,89,89,848,154,810,470,28/12/16
B03,90,90,898,122,690,435,28/12/16
B03,91,91,499,118,1160,1060,28/12/16
B03,92,92,857,110,1080,1210,28/12/16
B04,93,93,974,206,960,595,28/12/16
B04,94,94,853,236,1050,1155,28/12/16
B04,95,95,929,266,1060,440,28/12/16
B04,96,96,861,282,1160,1055,28/12/16
B04,97,97,978,310,810,385,28/12/16
B04,98,98,922,316,760,405,28/12/16
B04,99,99,797,335,680,280,28/12/16
B04,100,100,915,353,640,380,28/12/16
B04,101,101,765,339,1040,445,28/12/16
B04,102,102,572,342,990,480,28/12/16
B04,103,103,688,13,770,365,28/12/16
B04,104,104,992,21,1010,500,28/12/16
B04,105,105,980,30,580,300,28/12/16
B04,106,106,576,14,1030,585,28/12/16
B04,107,107,568,38,580,355,28/12/16
B04,108,108,439,9,640,280,28/12/16
B04,109,109,332,37,510,305,28/12/16
B04,110,110,280,302,1310,1400,28/12/16
B04,111,111,144,225,1410,1065,28/12/16
B05,112,112,810,62,690,260,28/12/16
B05,113,113,653,45,730,270,28/12/16
B05,114,114,845,30,1060,410,28/12/16
B05,115,115,723,6,1005,345,28/12/16
B05,116,116,782,1,1140,425,28/12/16
B05,117,117,830,358,1180,605,28/12/16
B05,118,118,852,350,770,400,28/12/16
B05,119,119,727,345,680,275,28/12/16
B05,120,120,673,333,640,278,28/12/16
B05,121,121,740,331,1230,575,28/12/16
B05,122,122,756,328,830,350,28/12/16
B05,123,123,549,306,1210,1280,28/12/16
B05,124,124,304,318,810,390,28/12/16
B05,125,125,366,300,1060,510,28/12/16
B05,126,126,693,290,1120,1020,28/12/16
B05,127,127,880,226,690,330,28/12/16
B05,128,128,624,190,1200,960,28/12/16
B05,129,129,415,209,1140,520,28/12/16
B05,130,130,390,220,1250,630,28/12/16
B05,131,131,289,206,850,450,28/12/16
B05,132,132,147,192,580,250,28/12/16
B05,133,133,496,190,710,340,28/12/16
B05,134,134,426,150,680,310,28/12/16
B05,135,135,531,151,780,305,28/12/16
B05,136,136,628,152,1080,420,28/12/16
B05,137,137,802,165,1250,665,28/12/16
B05,138,138,964,168,1200,580,28/12/16
B05,139,139,818,142,1170,530,28/12/16
B05,140,140,726,145,1210,620,28/12/16
B05,141,95,866,140,1060,440,28/12/16
B05,142,96,724,118,1160,1055,28/12/16
B05,143,98,901,72,760,405,28/12/16
B05,144,97,774,78,810,385,28/12/16
B06,145,141,305,30,1260,1450,28/12/16
B06,146,142,873,102,1080,600,28/12/16
B06,147,143,821,100,490,300,28/12/16
B06,148,144,738,158,670,285,28/12/16
B06,149,145,959,151,790,440,28/12/16
B06,150,146,595,214,940,495,28/12/16
B06,151,147,990,224,1070,475,28/12/16
B07,152,148,664,180,630,370,28/12/16
B07,153,149,735,190,560,350,28/12/16
B07,154,150,573,188,580,340,28/12/16
B07,155,151,555,214,540,265,28/12/16
B07,156,152,763,240,610,255,28/12/16
B07,157,153,848,296,870,310,28/12/16
B07,158,154,555,342,550,255,28/12/16
B07,159,155,144,242,1280,1860,28/12/16
B08,160,156,643,62,460,250,28/12/16
B08,161,157,670,118,1020,1520,28/12/16
B08,162,158,948,121,1120,1790,28/12/16
B08,163,159,985,133,1080,1630,28/12/16
B08,164,160,800,181,820,705,28/12/16
B08,165,161,765,190,860,950,28/12/16
B08,166,162,684,198,480,300,28/12/16
B08,167,163,553,201,680,460,28/12/16
B08,168,148,858,262,630,370,28/12/16
B08,169,149,997,265,560,350,28/12/16
B08,170,150,972,282,580,340,28/12/16
A01,171,1,978,152,760,450,7/2/17
A01,172,2,824,182,830,560,7/2/17
A01,173,3,676,220,1420,990,7/2/17
A01,174,4,634,249,890,435,7/2/17
A01,175,5,359,209,1370,930,7/2/17
A01,176,6,980,278,1310,985,7/2/17
A01,177,7,770,306,420,1415,7/2/17
A02,178,8,269,112,1080,560,7/2/17
A02,179,9,856,62,910,800,7/2/17
A02,180,10,387,278,1270,665,7/2/17
A02,181,11,274,358,830,290,7/2/17
A02,182,12,243,36,790,300,7/2/17
A03,183,13,902,200,1220,820,7/2/17
A03,184,14,288,260,1370,830,7/2/17
A03,185,15,232,280,1410,650,7/2/17
A03,186,16,788,10,1260,840,7/2/17
A04,187,16,499,140,1230,970,7/2/17
A04,188,17,662,144,304,250,7/2/17
A04,189,18,649,120,690,600,7/2/17
A04,190,19,629,98,880,960,7/2/17
A04,191,20,765,58,740,460,7/2/17
A04,192,21,684,340,730,455,7/2/17
A05,193,22,909,200,790,360,7/2/17
A05,194,23,990,172,410,260,7/2/17
A05,195,24,998,280,1280,870,7/2/17
A07,196,25,136,164,1120,440,7/2/17
A07,197,26,561,200,1460,600,7/2/17
A07,198,27,997,220,710,470,7/2/17
A07,199,28,857,3,1650,860,7/2/17
A07,200,29,666,322,800,580,7/2/17
A07,201,30,535,320,1490,910,7/2/17
A07,202,31,821,274,1190,640,7/2/17
A07,203,32,932,271,1240,800,7/2/17
A06,204,33,477,3,1510,970,7/2/17
A06,205,34,922,340,1390,860,7/2/17
A06,206,35,610,34,1670,670,7/2/17
A06,207,36,441,40,1220,640,7/2/17
A06,208,37,943,60,1370,710,7/2/17
A06,209,38,631,124,1480,780,7/2/17
A06,210,39,377,290,1290,620,7/2/17
A06,211,40,487,296,1120,670,7/2/17
A06,212,41,483,274,810,650,7/2/17
A08,213,42,218,340,990,530,7/2/17
A08,214,43,953,265,1260,950,7/2/17
A08,215,44,898,250,870,555,7/2/17
A08,216,45,933,156,1270,890,7/2/17
A09,217,46,949,328,990,870,7/2/17
A09,218,44,113,38,870,555,7/2/17
A09,219,47,175,114,730,600,7/2/17
A09,220,48,155,142,990,680,7/2/17
B11,221,99,988,48,300,280,9/2/17
B11,222,100,675,226,310,265,9/2/17
B12,223,1,253,51,1340,1860,9/2/17
B12,224,2,311,14,690,395,9/2/17
B12,225,3,461,38,1140,850,9/2/17
B12,226,4,478,40,920,730,9/2/17
B12,227,5,578,18,1170,670,9/2/17
B12,228,6,901,44,840,710,9/2/17
B12,229,7,519,210,600,345,9/2/17
B12,230,8,659,208,690,510,9/2/17
B12,231,9,984,180,410,265,9/2/17
B12,232,10,693,126,790,390,9/2/17
B12,233,11,790,118,830,360,9/2/17
B12,234,12,898,126,700,550,9/2/17
B15,235,17,977,280,660,310,9/2/17
B15,236,18,985,310,440,290,9/2/17
B15,237,19,921,276,680,410,9/2/17
B15,238,20,774,208,1300,775,9/2/17
B15,239,13,790,204,1380,810,9/2/17
B15,240,21,835,166,810,325,9/2/17
B15,241,22,935,158,990,420,9/2/17
B15,242,23,893,156,870,360,9/2/17
B15,243,24,863,152,430,270,9/2/17
B15,244,25,746,118,490,420,9/2/17
B15,245,26,780,114,560,260,9/2/17
B15,246,27,960,92,780,325,9/2/17
B15,247,28,455,162,1070,580,9/2/17
B14,248,29,929,338,1220,2080,9/2/17
B14,249,20,931,48,1300,775,9/2/17
B14,250,30,769,78,630,320,9/2/17
B14,251,31,854,68,570,255,9/2/17
B14,252,32,928,82,1010,420,9/2/17
B14,253,33,957,128,900,500,9/2/17
B14,254,34,913,126,550,415,9/2/17
