"var","site","n","M.Huber","lower.ci","upper.ci","Letter"
"rc","caH",30,0.9962,0.9171,1.0753,"a"
"rc","caL",30,0.8972,0.8431,0.9514,"a"
"rc","SJ",40,1.2824,1.1791,1.3856,"b"
"rt","caH",30,0.8157,0.7549,0.8764,"a"
"rt","caL",30,0.9209,0.8834,0.9584,"b"
"rt","SJ",40,0.6116,0.5387,0.6846,"c"
"rs","caH",30,0.7975,0.7439,0.8511,"a"
"rs","caL",30,0.8172,0.7553,0.8791,"a"
"rs","SJ",40,0.7694,0.6524,0.8864,"a"
"rrs","caH",30,-0.0063,-0.0668,0.0541,"ab"
"rrs","caL",30,-0.0939,-0.1455,-0.0423,"a"
"rrs","SJ",40,0.1656,0.0948,0.2364,"b"
