"var","disturb_year","n","M.Huber","lower.ci","upper.ci","Letter"
"rc","2005",50,0.9462,0.8794,1.0129,"a"
"rc","2012",50,1.1608,1.0813,1.2403,"b"
"rt","2005",50,0.721,0.6437,0.7984,"a"
"rt","2012",50,0.8193,0.7758,0.8628,"a"
"rs","2005",50,0.653,0.5852,0.7209,"a"
"rs","2012",50,0.9107,0.8648,0.9567,"b"
"rrs","2005",50,-0.0559,-0.0993,-0.0126,"a"
"rrs","2012",50,0.1223,0.0596,0.185,"b"
