"disturb","disturb_year","mean","sd","se","site"
"0_pre","2005",0.270463866999269,0.0473453795380106,0.00156776217889051,"all"
"0_pre","2012",0.274190497332088,0.0445954963257273,0.00147670444657003,"all"
"1_dr","2005",0.232421502445317,0.0449922849772042,0.00148984343176496,"all"
"1_dr","2012",0.258405461655496,0.041689580161671,0.00138047994691475,"all"
"2_post","2005",0.258191947601613,0.0411746201692423,0.00136342791760061,"all"
"2_post","2012",0.273228368341655,0.0471564198067046,0.00156150509693308,"all"
"0_pre","2005",0.262926852108665,0.0416158634745195,0.00191755776907188,"N"
"0_pre","2005",0.278513603991275,0.0516273429489763,0.0024584449023322,"S"
"0_pre","2012",0.265701535663919,0.039183448675902,0.00180547801137202,"N"
"0_pre","2012",0.283256939385846,0.0481464614869425,0.00229268864223536,"S"
"1_dr","2005",0.215304669002398,0.0366720658273663,0.00168975959800131,"N"
"1_dr","2005",0.25070274632653,0.0458923442759782,0.00218534972742753,"S"
"1_dr","2012",0.251905073405412,0.0393753991647582,0.00181432262302855,"N"
"1_dr","2012",0.265348053187898,0.0429979044920078,0.00204751926152418,"S"
"2_post","2005",0.250503575475107,0.0356919229876637,0.00164459699989199,"N"
"2_post","2005",0.266403338240126,0.0449279064183752,0.00213942411516072,"S"
"2_post","2012",0.262815585594218,0.0440336000109388,0.00202896118815072,"N"
"2_post","2012",0.284349503656945,0.0478846749849536,0.00228022261833112,"S"
