"AllReleasesYear","AllReleasesFreq","NumberOfAllReleses","ModerateReleasesFreq","NumberOfModeraeReleases","NumberOfAllTrees"
"1946",44.44,4,11.11,1,9
"1947",7.14,1,0,0,14
"1948",5.56,1,0,0,18
"1960",5,1,0,0,20
"1995",10,2,5,1,20
"1996",15,3,5,1,20
"2000",25,5,10,2,20
"2001",10,2,5,1,20
