"years","SJ01","SJ02","SJ03","SJ04","SJ05","SJ06","SJ07","SJ08","SJ09","SJ10","SJ11","SJ12","SJ13","SJ14","SJ15","SJ16","SJ17","SJ18","SJ19","SJ20"
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.908682634730539,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.903780068728522,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.84180790960452,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.72419627749577,NA,-0.674418604651163,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.415233415233415,NA,NA,NA,-0.0588235294117648,-0.658280922431866,NA,-0.575757575757576,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.415233415233415,NA,NA,NA,-0.0196078431372549,-0.658280922431866,NA,-0.525423728813559,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00483729111697455,-0.375545851528384,NA,NA,NA,0.22,-0.659707724425887,NA,-0.428571428571428,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48119918699187,-0.254090471607315,NA,0.308823529411765,NA,0.28,-0.659707724425887,NA,-0.197916666666667,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.597560975609756,-0.105147864184009,NA,0.308823529411765,NA,0.579545454545455,-0.586666666666667,NA,0.547619047619048,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261707988980716,-0.147181628392484,NA,0.292490118577075,NA,2.64772727272727,0.560509554140127,NA,2.40579710144928,0.624910522548318
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26078971533517,-0.0491990846681921,NA,0.956521739130434,NA,5.05208333333333,3.73658536585366,NA,5.55737704918033,0.790220820189274
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.380165289256198,0.387871853546911,NA,0.956521739130434,NA,5.91666666666667,5.81720430107527,NA,7.05357142857143,0.790220820189274
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664847161572052,0.870036101083032,NA,0.956521739130434,NA,5.91666666666667,6.63855421686747,NA,8.41071428571428,0.829652996845426
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813317479191439,1.01034928848642,NA,1.28110599078341,NA,5.91666666666667,7.26993865030675,1.66748768472906,8.41071428571428,1.01388888888889
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985677083333333,1.17647058823529,NA,1.72660098522167,NA,6.4375,7.52760736196319,1.66748768472906,8.91071428571428,1.17881944444444
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.826245443499392,1.17647058823529,NA,1.59605911330049,NA,6.98,7.52760736196319,1.04926108374384,8.41071428571428,0.930599369085174
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188621444201313,1.19020979020979,NA,1.59605911330049,NA,5.64754098360656,7.26993865030675,0.810933940774487,7.73333333333333,0.75609756097561
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15746140651801,0.872258064516129,NA,0.973782771535581,NA,5.78125,7.26993865030675,0.484615384615385,5.80519480519481,0.692946058091286
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.239185750636132,0.821297429620563,NA,0.973782771535581,NA,5.24460431654676,6.24731182795699,0.0487804878048781,3.03076923076923,0.296505073280722
