"loc","date","year","month","prec","tmax","tmean","tmin"
"N",1950-01-01,1950,1,43.8000013828278,5.98129020198699,1.72677418156978,-2.96741927391098
"N",1950-02-01,1950,2,34.9000000953674,7.78678557755692,2.36321422883442,-2.97714276718242
"N",1950-03-01,1950,3,35.4000009298325,10.2432256667845,4.37161282041381,-1.45999995546956
"N",1950-04-01,1950,4,34.4000015258789,11.6509996970495,5.29599989453952,-1.06033330683907
"N",1950-05-01,1950,5,51.2000021934509,14.6854835633309,8.30548375652682,1.97225801238129
"N",1950-06-01,1950,6,0,22.1096660614014,14.5346663157145,7.11166652838389
"N",1950-07-01,1950,7,0,28.2151606159825,19.8145155752859,11.2661287861486
"N",1950-08-01,1950,8,30.4000000953674,25.6174186583488,18.1067738686838,10.6883868863506
"N",1950-09-01,1950,9,47.7999997138977,21.0846661885579,14.3923329035441,7.80066645145416
"N",1950-10-01,1950,10,67.9000016450882,14.4280643155498,8.91612883537046,3.36451605250759
"N",1950-11-01,1950,11,47.100001335144,11.3223330974579,5.50466649333636,-0.392000000675519
"N",1950-12-01,1950,12,77.1000009775162,4.1641934422716,-0.765483837694891,-4.8125805643297
"N",1951-01-01,1951,1,61.6000002622604,9.25129008293152,0.37580642320456,-3.44258061435915
"N",1951-02-01,1951,2,65.8000001907349,8.26214270932334,-0.361071436266814,-3.88999994578106
"N",1951-03-01,1951,3,45.0000015497208,11.5880641937256,3.46838699185079,-1.47032253948912
"N",1951-04-01,1951,4,21.0000000596046,12.4099997520447,5.6276665272812,0.119999990612268
"N",1951-05-01,1951,5,33.100001335144,12.3745157795568,5.89838698987038,0.840645170980884
"N",1951-06-01,1951,6,11.4000005722046,18.9183327674866,14.4829997380575,7.94566653172175
"N",1951-07-01,1951,7,0,22.3603220908873,16.3596770071214,10.682257821483
"N",1951-08-01,1951,8,0,20.9896769369802,17.5035480376213,10.4967739966608
"N",1951-09-01,1951,9,19.5999996066093,18.8899997711182,13.947666422526,8.16833313306173
"N",1951-10-01,1951,10,19.8999998569489,14.4119351910007,6.72838688761957,2.19774187716746
"N",1951-11-01,1951,11,120.600003838539,12.6983331362406,3.79999992549419,-0.0409999955445528
"N",1951-12-01,1951,12,58.0000028610229,11.4293546368999,2.63483866472398,-1.27161285473454
"N",1952-01-01,1952,1,16.8000000715256,7.92290302245848,-1.61096768994485,-5.7103224608206
"N",1952-02-01,1952,2,7.5,10.0306893710432,0.957241370631703,-3.80896543480199
"N",1952-03-01,1952,3,52.4000016450882,13.5045156786519,6.38903212451166,1.02645157770284
"N",1952-04-01,1952,4,37.4000002145767,11.9866664091746,5.41233324209849,0.497666640145083
"N",1952-05-01,1952,5,48.2000006213784,14.7712899484942,8.70580624764965,3.68451604631639
"N",1952-06-01,1952,6,0,19.6779994328817,15.2509996096293,8.87399972279866
"N",1952-07-01,1952,7,0,23.6554831843222,17.6712898746614,11.7474190958085
"N",1952-08-01,1952,8,7.10000014305115,21.7187092996413,17.29258032768,10.3103224385169
"N",1952-09-01,1952,9,10.9000002145767,17.8243330637614,12.2126663208008,6.2706664899985
"N",1952-10-01,1952,10,38.0000009536743,17.5812899374193,10.0732256058724,4.46354830216977
"N",1952-11-01,1952,11,42.0000014305115,13.8079996903737,4.41133319462339,0.210333304603895
"N",1952-12-01,1952,12,68.8000007867813,11.3538707148644,1.8177418550176,-2.18225801760151
"N",1953-01-01,1953,1,25.2000002861023,9.98193534728019,-0.0870967939976723,-4.41967732002658
"N",1953-02-01,1953,2,24.7000003159046,9.60249983412879,0.635714285075665,-4.09892848453351
"N",1953-03-01,1953,3,10.6000003814697,10.3751610940503,2.90774189152064,-2.76129023971096
"N",1953-04-01,1953,4,42.3000000715256,12.9889996210734,6.30333319505056,0.719666645427545
