"","rc
F","rc
p","rs
F","rs
p","rt
F","rt
p","variable"
"Disturb",29.5490868690894,0.001,44.3133831867686,0.001,6.01886713828244,0.019,"BAI"
"Site",53.0782848311037,0.001,1.31034042964135,0.534,59.2534877129263,0.001,"BAI"
"Disturb X Site",4.39619696449553,0.134,30.0140630686943,0.001,32.2363248527219,0.001,"BAI"
"Disturb",311.990416188869,0.001,207.178779293293,0.001,799.868719835833,0.001,"EVI"
"Site",105.413365422777,0.001,29.8224675819049,0.001,153.223012015647,0.001,"EVI"
"Disturb X Site",364.313103627816,0.001,6.13861013903397,0.014,234.69737689793,0.001,"EVI"
