SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
1.18447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.62954,1.14916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.16844,1.89017,1.90028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.05607,1.73553,1.65248,1.83351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.93803,0.46774,1.67832,1.70594,1.83571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.02182,0.65335,0.34101,1.56928,1.6007,1.7549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.17572,0.151,0.71964,0.39006,1.59615,1.62421,1.77028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.83869,1.66941,0.9132,1.07698,0.66353,1.71341,1.73007,1.84187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.984,1.34334,1.36936,1.1166,1.27131,0.86663,1.86652,1.83931,1.88301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.79025,0.99217,1.26759,1.29091,1.19364,1.41021,1.10001,2.00215,1.92735,1.98439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4644,1.51156,1.64319,1.80009,1.80181,1.71618,1.85948,1.61217,2.17609,2.17193,2.21047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.72742,1.38602,1.53588,1.61662,1.72401,1.738,1.69734,1.77808,1.62016,2.13571,2.10169,2.1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.649,-0.27539,0.58186,0.80025,0.96836,1.10571,1.12124,1.05477,1.20432,1.06907,1.65678,1.67167,1.75464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.48926,0.30428,0.5724,1.10807,1.25694,1.3708,1.47222,1.48952,1.44084,1.53352,1.43267,1.87559,1.88476,1.93003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.06078,1.08249,0.17352,0.44967,1.01563,1.17965,1.30507,1.41635,1.43713,1.3948,1.49203,1.3813,1.84947,1.8663,1.91225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.28012,0.89225,1.48,0.68094,0.81329,1.31929,1.50566,1.62433,1.72745,1.75572,1.73034,1.8009,1.73802,2.16201,2.14952,2.13214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.43553,1.02278,0.81834,1.38581,0.68081,0.80759,1.24729,1.42804,1.54968,1.64803,1.6716,1.64647,1.73289,1.6979,2.14321,2.14961,2.1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.18939,0.22546,0.92734,0.73967,1.30651,0.63354,0.77298,1.22235,1.39815,1.51169,1.60774,1.62946,1.60474,1.67913,1.6524,2.09377,2.11287,2.08429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.85276,0.83058,0.58695,1.1069,0.90467,1.42861,0.75453,0.86644,1.3007,1.47936,1.5927,1.68687,1.71036,1.68643,1.74972,1.7241,2.1421,2.15252,2.12083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.90045,1.96835,1.3502,1.00824,1.3214,1.11083,1.56725,0.92313,0.99759,1.40008,1.57463,1.67916,1.76612,1.78931,1.7691,1.81982,1.80386,2.19233,2.20045,2.16387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.43261,0.42854,0.8205,0.59452,0.55892,1.06805,0.90863,1.40567,0.78334,0.88578,1.28964,1.45335,1.57123,1.66513,1.68814,1.66801,1.71371,1.67779,2.09828,2.13092,2.11363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.45127,1.04574,1.34435,1.51305,1.46392,1.40868,1.70627,1.501,1.81534,1.24052,1.24909,1.59309,1.78513,1.91178,1.99261,2.0202,1.99683,1.97363,1.92319,2.21451,2.25846,2.26158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.80057,1.48097,1.23231,1.44667,1.56381,1.5082,1.48943,1.72204,1.54022,1.8568,1.36073,1.37313,1.69827,1.92067,2.03202,2.09516,2.12404,2.09091,2.08234,2.03302,2.30205,2.31429,2.28388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.18029,0.28487,1.06295,0.86992,1.06002,1.17327,1.1298,1.13084,1.38935,1.27444,1.60247,1.17144,1.22484,1.51093,1.64143,1.71567,1.77664,1.79329,1.77046,1.79656,1.75408,2.01619,2.04574,2.07941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.10557,-0.27127,0.09152,0.77647,0.62105,0.80155,0.91267,0.8688,0.89173,1.16124,1.07419,1.39378,1.00423,1.07458,1.35106,1.47168,1.54759,1.60929,1.62322,1.60336,1.64014,1.60451,1.88839,1.94245,2.0045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.45979,-1.14426,-0.99037,-0.51619,0.21243,0.06185,0.26299,0.38076,0.35001,0.40249,0.7415,0.67713,1.05737,0.66196,0.81035,1.10181,1.20871,1.29403,1.36314,1.37571,1.35731,1.42191,1.38738,1.71748,1.78709,1.88046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.08698,-1.08235,-1.01456,-0.94125,-0.55589,0.09645,-0.04703,0.14589,0.26187,0.22516,0.29068,0.63472,0.57786,0.97709,0.58302,0.73967,1.04742,1.15479,1.24565,1.31727,1.3306,1.31268,1.3799,1.34,1.68133,1.75069,1.84804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.12179,-0.26201,-1.04756,-1.03756,-0.98752,-0.6521,-0.02546,-0.16917,0.02704,0.14811,0.10813,0.17935,0.54582,0.48993,0.92795,0.51024,0.69334,1.02869,1.14011,1.23038,1.3043,1.31782,1.29859,1.3691,1.32521,1.67558,1.74081,1.84241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5049,0.1261,-0.03363,-0.78695,-0.80681,-0.79541,-0.48201,0.05362,-0.0838,0.09235,0.19988,0.1642,0.22219,0.55649,0.50733,0.93179,0.53446,0.71807,1.0437,1.14534,1.23527,1.30626,1.31984,1.30129,1.36743,1.32464,1.65497,1.72117,1.82235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9445,0.65939,0.31003,0.12945,-0.60544,-0.64755,-0.66512,-0.37134,0.1557,0.02326,0.19502,0.29983,0.26434,0.3292,0.64993,0.59104,0.99649,0.60143,0.77969,1.09,1.18618,1.26951,1.3377,1.35059,1.33292,1.39332,1.34684,1.66734,1.72914,1.83327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.55727,0.70086,0.56837,0.2515,0.07919,-0.6477,-0.68222,-0.69298,-0.40287,0.11936,-0.01239,0.15928,0.26434,0.22967,0.29858,0.62334,0.56554,0.96931,0.57694,0.76148,1.07217,1.17033,1.25554,1.32461,1.33752,1.31938,1.38082,1.3336,1.65937,1.72207,1.82773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.40753,-0.73518,0.4624,0.44136,0.17751,0.02805,-0.67778,-0.70647,-0.71594,-0.42774,0.09284,-0.03614,0.13429,0.23822,0.20308,0.27209,0.5925,0.53726,0.9365,0.55006,0.73874,1.05234,1.14986,1.23542,1.305,1.3178,1.29994,1.36216,1.31301,1.64153,1.70599,1.8141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.69786,-0.86128,-0.97262,-0.42779,-0.08548,-0.18305,-0.27184,-0.88015,-0.88109,-0.86886,-0.57453,-0.06158,-0.2001,-0.03235,0.07207,0.04453,0.12222,0.4422,0.40053,0.81904,0.43251,0.62966,0.95333,1.05863,1.14628,1.21869,1.23154,1.21318,1.27896,1.2297,1.58028,1.64209,1.74925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.31257,-0.72752,-0.81885,-0.87407,-0.62291,-0.38368,-0.46711,-0.49051,-1.03093,-1.01648,-0.98959,-0.70841,-0.2146,-0.35076,-0.18574,-0.08243,-0.10901,-0.01907,0.30679,0.28918,0.69137,0.31451,0.51356,0.84711,0.95523,1.0471,1.12485,1.13878,1.11715,1.19167,1.14724,1.52783,1.5938,1.70867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.75308,-0.87577,-1.13731,-1.18937,-1.21208,-1.01327,-0.79732,-0.78357,-0.782,-1.24941,-1.24257,-1.2403,-0.96547,-0.48571,-0.60963,-0.44184,-0.33812,-0.35902,-0.27116,0.08823,0.07363,0.50603,0.14302,0.35274,0.6965,0.81753,0.90979,0.98851,1.0036,0.98224,1.06231,1.01191,1.42048,1.4799,1.60052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.27831,0.62267,0.33944,0.09418,0.03889,-0.01794,0.11244,0.22642,0.07382,0.00107,-0.49136,-0.53225,-0.56946,-0.32368,0.12127,0.02161,0.1697,0.26041,0.24336,0.29142,0.56956,0.52808,0.87063,0.55138,0.70024,0.98329,1.08742,1.1641,1.22686,1.23681,1.21669,1.27995,1.23352,1.57581,1.62383,1.72518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.92671,1.30419,0.88476,0.65816,0.45667,0.40824,0.36053,0.46337,0.53407,0.40317,0.31795,-0.126,-0.187,-0.23649,-0.03617,0.34511,0.2573,0.38436,0.46391,0.45241,0.48015,0.72524,0.67034,0.97958,0.67637,0.79881,1.06335,1.15945,1.23332,1.29205,1.30072,1.28574,1.3439,1.29888,1.63348,1.68294,1.78409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.28887,1.31026,1.49718,1.22742,1.06551,0.90279,0.86131,0.82166,0.90193,0.93724,0.81131,0.70879,0.29745,0.21246,0.15639,0.31258,0.65084,0.57459,0.68457,0.75534,0.74484,0.75617,0.96691,0.91053,1.19203,0.90745,0.99927,1.24785,1.33257,1.40448,1.45696,1.46639,1.45219,1.50106,1.45879,1.75512,1.80068,1.88859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4589,1.67218,1.64054,1.75475,1.53006,1.41923,1.27746,1.24411,1.2185,1.28844,1.29604,1.16953,1.04814,0.67836,0.57333,0.48567,0.6213,0.92662,0.86158,0.95763,1.0226,1.01562,1.01585,1.20134,1.14174,1.40062,1.13667,1.20138,1.43724,1.50531,1.56959,1.6159,1.62506,1.60743,1.64909,1.61963,1.88743,1.93458,2.00709,NA,NA,NA,NA,NA,NA,NA,NA,NA
