SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
0.95029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.52936,0.96699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.83957,1.58535,1.61205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.10123,1.2605,1.25568,1.43484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.70329,0.2969,1.19533,1.23361,1.39039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.6009,0.2716,0.07112,1.02973,1.08179,1.2724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5069,0.06186,0.48014,0.21593,1.12246,1.16615,1.33852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.93504,1.8636,0.97005,0.91196,0.54049,1.31255,1.34365,1.47925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.60351,1.10726,1.2424,0.84794,0.90915,0.58304,1.32625,1.34848,1.4542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.19958,1.11742,1.44261,1.5316,1.34549,1.35766,1.02913,1.65538,1.64291,1.71538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.20406,1.53959,1.52917,1.7434,1.8078,1.659,1.64182,1.34174,1.8037,1.83244,1.90751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.84328,1.30633,1.66566,1.60624,1.75167,1.79975,1.71189,1.69174,1.48171,1.85695,1.86446,1.89198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.59497,-0.18956,0.44351,0.93072,0.9943,1.19144,1.25855,1.12577,1.18573,1.00488,1.44757,1.47526,1.54824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.17786,-0.02969,0.45077,0.8996,1.28362,1.3214,1.48613,1.54393,1.4421,1.45326,1.29079,1.66002,1.68266,1.73731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.11017,0.71436,-0.19763,0.26463,0.75532,1.15752,1.21761,1.39334,1.4582,1.35536,1.38299,1.21309,1.59412,1.61939,1.68905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.21449,0.77193,1.18738,0.40188,0.67845,1.10477,1.50452,1.5421,1.69856,1.75979,1.70987,1.68961,1.54325,1.87786,1.88209,1.90032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.29299,0.86418,0.64234,1.01952,0.3783,0.63148,0.98237,1.32909,1.38491,1.53149,1.58835,1.52659,1.55694,1.43144,1.78026,1.8148,1.82737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.24334,-0.04951,0.71433,0.50512,0.9007,0.28413,0.56064,0.926,1.26598,1.3217,1.46746,1.52314,1.45948,1.48983,1.3717,1.72746,1.76848,1.78955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.49273,0.27937,0.17209,0.82941,0.61274,0.98638,0.36361,0.62684,0.98964,1.33319,1.38769,1.53344,1.59051,1.52993,1.55012,1.42785,1.76745,1.80505,1.82297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.73213,1.71041,0.89746,0.52721,1.01289,0.78966,1.12674,0.52836,0.7543,1.09609,1.42975,1.47742,1.6135,1.66704,1.61344,1.62245,1.50521,1.81952,1.8555,1.86671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.82979,-0.06151,0.2143,-0.11501,-0.03083,0.62159,0.46695,0.84843,0.29547,0.55408,0.88732,1.19131,1.24631,1.39031,1.442,1.38128,1.403,1.29197,1.64955,1.7062,1.74605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.68329,1.08192,1.32541,1.41695,1.28096,1.10043,1.37809,1.21266,1.45295,0.92193,1.06101,1.3509,1.70204,1.75935,1.8927,1.94507,1.89441,1.81118,1.67177,1.91814,1.9854,2.01187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.77062,1.63631,1.23524,1.41486,1.48743,1.37064,1.22327,1.43452,1.28929,1.52462,1.06267,1.1859,1.4687,1.8179,1.86086,1.9782,2.02704,1.96789,1.91767,1.79066,2.01129,2.08148,2.07729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.28313,0.17473,1.19755,0.86714,1.0308,1.09757,0.99062,0.92261,1.17591,1.05109,1.30256,0.89072,1.03355,1.27555,1.52305,1.5489,1.6499,1.68763,1.63388,1.6313,1.54668,1.76972,1.8291,1.87338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.37423,-0.54423,-0.14544,0.80783,0.52774,0.69812,0.77498,0.66939,0.65825,0.94819,0.84006,1.0886,0.70114,0.85345,1.0934,1.32679,1.36359,1.46397,1.50002,1.45064,1.46115,1.39138,1.6429,1.70667,1.76937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.46587,-1.40334,-1.24986,-0.74906,0.21003,-0.05353,0.13497,0.22026,0.11393,0.15563,0.53624,0.44906,0.74166,0.32773,0.55893,0.82238,1.06221,1.11083,1.22586,1.26653,1.20863,1.25202,1.18065,1.49203,1.57402,1.65366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.02013,-1.02681,-1.12292,-1.11328,-0.73361,0.13309,-0.11769,0.06482,0.14547,0.03766,0.08249,0.47421,0.39286,0.69427,0.28568,0.51305,0.78788,1.01876,1.07005,1.18502,1.22651,1.16983,1.21286,1.13457,1.44943,1.53174,1.62047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.09738,-0.18451,-0.97997,-1.10753,-1.12179,-0.80879,0.00355,-0.23595,-0.05765,0.02822,-0.095,-0.04705,0.35546,0.2771,0.60676,0.18659,0.43687,0.7398,0.97939,1.02145,1.13943,1.18218,1.12147,1.16605,1.08131,1.4102,1.4826,1.58408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.50481,0.15658,0.04727,-0.64598,-0.80508,-0.85722,-0.57343,0.10168,-0.1216,0.02754,0.0971,-0.00495,0.02293,0.38614,0.31896,0.61878,0.23368,0.48414,0.77139,0.98483,1.03113,1.1389,1.17863,1.12373,1.1672,1.09521,1.39333,1.45917,1.56046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.81546,0.58254,0.28781,0.16211,-0.5039,-0.67538,-0.75058,-0.47768,0.19737,-0.02373,0.12412,0.19127,0.08946,0.11583,0.46841,0.39626,0.68699,0.29975,0.54659,0.82461,1.0275,1.06874,1.17296,1.21113,1.15777,1.1952,1.11983,1.41081,1.47366,1.57541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.62584,0.53473,0.4886,0.22383,0.10695,-0.56324,-0.72627,-0.79209,-0.52269,0.14982,-0.0713,0.07783,0.1464,0.04408,0.07749,0.43842,0.36712,0.65642,0.26978,0.52236,0.80211,1.00797,1.0507,1.15646,1.19482,1.14106,1.17916,1.10247,1.39852,1.46191,1.56455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.39871,-0.77215,0.28612,0.36406,0.1459,0.0494,-0.60165,-0.75701,-0.82047,-0.55088,0.11863,-0.09726,0.05183,0.12001,0.01763,0.05286,0.41239,0.34302,0.62857,0.24707,0.50124,0.78191,0.98522,1.02863,1.13461,1.17306,1.11974,1.15821,1.08105,1.37831,1.44252,1.54539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.72523,-0.88687,-1.00722,-0.54202,-0.14101,-0.21563,-0.25512,-0.82405,-0.94093,-0.98451,-0.71251,-0.07867,-0.29083,-0.15319,-0.08644,-0.1767,-0.12571,0.22989,0.16939,0.45758,0.08047,0.34699,0.63219,0.85007,0.89165,1.00054,1.04052,0.98473,1.02814,0.95254,1.27156,1.33551,1.43335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.27346,-0.74701,-0.83843,-0.9009,-0.69342,-0.38807,-0.4438,-0.44582,-0.96044,-1.05063,-1.08625,-0.83694,-0.24345,-0.45181,-0.31517,-0.24672,-0.33032,-0.25769,0.11107,0.07176,0.345,-0.02359,0.23381,0.52212,0.75012,0.7931,0.90821,0.95118,0.89075,0.94569,0.87483,1.21669,1.28273,1.38443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.88986,-0.91109,-1.19264,-1.2467,-1.27723,-1.11151,-0.81976,-0.78355,-0.77356,-1.20579,-1.28912,-1.33486,-1.09902,-0.53067,-0.72733,-0.59243,-0.5233,-0.59596,-0.53298,-0.14095,-0.17532,0.11133,-0.24277,0.02731,0.32554,0.57447,0.61528,0.73405,0.78127,0.72148,0.78266,0.70458,1.07269,1.13335,1.2381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.26958,0.52437,0.26809,-0.02444,-0.08323,-0.14966,-0.03523,0.10883,-0.02542,-0.05994,-0.52694,-0.65661,-0.72955,-0.50596,0.05519,-0.11526,0.00936,0.07076,0.00669,0.03486,0.35137,0.29362,0.53521,0.20221,0.41145,0.67178,0.88285,0.91639,1.01465,1.05001,0.99381,1.03848,0.96831,1.2809,1.33294,1.42024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
