SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
-0.60506,-0.26098,0.74947,0.52891,0.91925,0.42381,0.6171,0.73657,0.84766,0.79122,1.06368,1.13136,0.96316,1.06862,0.99732,1.31634,1.37695,1.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.06206,-0.17975,-0.08343,0.83362,0.62415,0.98933,0.49139,0.66879,0.79168,0.90268,0.8445,1.11534,1.18389,1.02072,1.11898,1.04457,1.35295,1.40615,1.46926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.06824,1.04326,0.09805,0.05501,0.8935,0.69024,1.03452,0.54806,0.71967,0.83969,0.94935,0.89635,1.15976,1.22523,1.06573,1.15715,1.08432,1.37976,1.43189,1.49332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.7018,-0.42158,-0.12394,-0.54863,-0.33803,0.52043,0.37484,0.76865,0.32965,0.52412,0.65001,0.74904,0.69537,0.95139,1.01144,0.85255,0.96037,0.89454,1.20712,1.2847,1.35405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.56578,0.74886,0.88275,0.95043,0.62743,0.51935,1.08674,0.94354,1.21047,0.76237,0.9004,1.00105,1.11461,1.05956,1.29568,1.35276,1.22301,1.27468,1.19813,1.45551,1.52439,1.58155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.69503,1.55287,0.90748,1.0098,1.06688,0.82355,0.6829,1.14573,1.02431,1.2687,0.86252,0.98749,1.08014,1.19535,1.14983,1.36412,1.4179,1.29864,1.35111,1.28495,1.52377,1.59194,1.64707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.31491,0.1383,1.01788,0.61122,0.68874,0.74806,0.5658,0.50107,0.95393,0.84092,1.11123,0.74643,0.87755,0.95129,1.03928,0.99521,1.20167,1.25116,1.13978,1.20017,1.13758,1.36804,1.4436,1.51344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.04033,-0.32774,0.0036,0.77517,0.44951,0.51283,0.57659,0.41338,0.3785,0.83146,0.73932,1.00105,0.66258,0.79189,0.86632,0.94883,0.91264,1.10966,1.1552,1.04816,1.1193,1.06738,1.3005,1.38271,1.45962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.54348,-1.18582,-1.26705,-0.7883,0.00079,-0.28385,-0.21047,-0.12795,-0.3143,-0.27061,0.27585,0.2077,0.54592,0.21254,0.41182,0.50636,0.59637,0.55523,0.78258,0.83871,0.70484,0.81734,0.76498,1.04832,1.15834,1.2618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0832,-1.11902,-1.01383,-1.08638,-0.73659,-0.07539,-0.33805,-0.27345,-0.20784,-0.38791,-0.3224,0.21068,0.14769,0.48878,0.15986,0.3501,0.44696,0.54097,0.49665,0.71968,0.77497,0.64508,0.7461,0.69035,0.98119,1.09766,1.20919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.19469,-0.2585,-1.0782,-1.03374,-1.10772,-0.8156,-0.22258,-0.46373,-0.40585,-0.3443,-0.52188,-0.44604,0.08682,0.0286,0.3911,0.05465,0.26573,0.37848,0.48012,0.42876,0.6513,0.70745,0.56872,0.66808,0.61262,0.90467,1.01341,1.13501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.44605,0.0736,-0.03128,-0.75893,-0.75621,-0.82342,-0.5815,-0.09452,-0.32046,-0.26552,-0.21558,-0.37215,-0.32496,0.13665,0.09091,0.42434,0.1091,0.31317,0.4241,0.51595,0.47833,0.68862,0.74127,0.61699,0.7163,0.66817,0.93402,1.03071,1.14428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.83501,0.63279,0.28608,0.13598,-0.55959,-0.56781,-0.64466,-0.4293,0.03542,-0.18168,-0.13316,-0.08518,-0.23764,-0.19139,0.25339,0.20057,0.51187,0.2008,0.39593,0.49549,0.57859,0.54138,0.7425,0.79242,0.67222,0.76384,0.71256,0.96661,1.06298,1.17442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.88047,0.41825,0.42909,0.15255,0.02615,-0.65937,-0.66181,-0.73059,-0.51546,-0.04594,-0.26162,-0.21369,-0.16531,-0.31876,-0.26405,0.19155,0.13862,0.45256,0.14395,0.3453,0.44395,0.5322,0.49559,0.70074,0.75137,0.62804,0.72125,0.6669,0.92864,1.02574,1.1399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.24435,-0.49641,0.2681,0.34355,0.08447,-0.0125,-0.67854,-0.68159,-0.75138,-0.53485,-0.06465,-0.27303,-0.22297,-0.17366,-0.32743,-0.27296,0.1854,0.12787,0.43666,0.12838,0.33082,0.43021,0.51704,0.48269,0.68838,0.73979,0.61691,0.71235,0.65744,0.92,1.01597,1.13114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.6537,-0.77069,-0.96007,-0.39249,-0.06431,-0.20459,-0.27638,-0.86299,-0.84157,-0.89839,-0.68663,-0.22857,-0.42659,-0.38129,-0.32994,-0.48112,-0.4136,0.02857,-0.01983,0.27582,-0.02376,0.18421,0.28967,0.38653,0.34723,0.55217,0.60626,0.47931,0.57536,0.51845,0.78543,0.87659,0.98977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
