"","CA1101","CA1102","CA1201","CA1202","CA1301","CA1302","CA1401","CA1402","CA1501","CA1502","CA1601","CA1602","CA1701","CA1702","CA1801","CA1802","CA1901","CA1902","CA2001","CA2002","CA2101","CA2102","CA2201","CA2202","CA2301","CA2302","CA2401","CA2402","CA2501","CA2502"
"1842",NA,NA,NA,0.834733472047267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41171059691258,NA,NA,NA,1.01370902811202,0.876468953595057,NA,NA,0.688866516095652,0.802991860152139,1.03470842859063,1.07586079060721,1.08528337557063,1.19000312676591,1.35674375118812,0.81184031877538
"1843",NA,NA,NA,1.2261043488279,NA,NA,0.987592495253482,NA,NA,NA,NA,NA,NA,NA,1.21163177297574,1.16966315421435,NA,NA,1.25600860060647,1.13825264471614,NA,NA,1.01811273086369,1.20184976037413,1.15651499990252,1.15625982100032,1.11757505216175,1.2610721674123,1.36701384356418,0.753224270782132
"1844",NA,NA,NA,1.13703104603433,NA,NA,1.02961537797656,NA,NA,NA,NA,NA,NA,NA,1.29199862681884,0.97775186195394,NA,NA,1.13326154741554,1.10639429402474,NA,NA,0.931639293231758,1.40084426702543,0.837975730418378,0.904962885279644,1.13723525608098,0.917600479938125,1.19709844552247,0.663462958123794
"1845",NA,NA,NA,0.779596905340041,NA,NA,1.06840222774995,NA,NA,NA,NA,NA,NA,NA,1.21803354332795,0.971093482532267,NA,NA,0.90515719013463,1.06849687558089,NA,NA,1.14062845259955,1.40749276906955,0.923148657906853,0.863016768289954,0.862824794427714,0.980633430021361,0.944844480663635,0.57686975287174
"1846",NA,NA,NA,0.925707169449379,NA,NA,0.796842156039077,NA,NA,NA,0.84683857564726,NA,NA,NA,0.993122138502628,0.949003952396912,NA,NA,1.07611210324434,1.00110467482569,NA,NA,1.11038802948304,1.07385412270461,0.984344629427135,0.895696739171133,1.01333812851054,0.928662781115672,0.897874025721277,1.15106998355858
"1847",NA,NA,NA,1.46412629876867,NA,NA,1.12799385011491,NA,NA,NA,1.3030449897383,NA,NA,NA,1.13074645588829,1.33197803406627,NA,NA,1.01983557477532,1.09181896888788,NA,NA,1.49374177557871,1.44324805578995,1.31551615499574,1.20265913073604,1.49631365115647,1.36549076235376,1.29285702649299,1.32296708078859
"1848",NA,NA,NA,1.30085807167474,NA,NA,0.960267723918841,1.18247672272435,NA,NA,1.00027029077021,NA,NA,NA,0.9573308350513,1.10081837223437,NA,NA,0.63651368865407,0.897052923427485,NA,NA,1.00964954776484,0.879021621520904,0.919962264315224,0.894596521969895,1.07413290014062,1.14806416031684,1.07421918327079,1.11132835575115
"1849",NA,NA,NA,1.25966917652891,NA,NA,0.886948805386615,0.944131271806108,NA,NA,0.915464830205233,NA,NA,NA,0.759870190905262,0.679775114265354,NA,NA,0.597293760222805,0.764607051840234,NA,NA,0.891761352673467,0.792398243031849,0.916469053334914,0.874084346311781,1.40097710884102,1.00779544810082,0.910350059812961,0.789694595944335
"1850",NA,NA,NA,0.156735734603543,NA,NA,1.1149133967808,1.00417127771946,NA,NA,1.18530821527795,NA,NA,NA,0.718082025584338,0.590433007568429,NA,NA,0.810344092839838,0.829918908019382,NA,NA,0.875062894606352,0.796763031704602,0.960875018653122,0.900646215493714,1.21344258188129,0.874062399967891,0.659745952252473,0.47068698434945
"1851",NA,NA,NA,0.248478703277024,NA,NA,0.950459865302465,0.889740589961645,NA,NA,1.0104656355433,NA,NA,NA,0.764176702994995,0.606571644059681,NA,NA,0.819079001119528,0.91648299877182,NA,NA,0.903734053112965,0.728733312778137,0.890600418288328,0.824396045077911,0.919873178816731,0.740497189280654,0.502581263986444,0.538519385421082
"1852",NA,NA,NA,0.17240694703052,NA,NA,0.645930531116419,0.692630417844881,NA,NA,0.683335937644449,NA,NA,NA,0.674008606507982,0.680423602129992,NA,NA,0.630983827746406,0.695987990093416,NA,NA,0.56588329976058,0.600958768813805,0.960935074549225,0.816624766122018,0.703832234664058,0.765588300749679,0.580452900678523,0.491471262056785
"1853",NA,NA,NA,0.480820662000085,NA,NA,0.830301545275012,0.924454149312804,NA,NA,0.6007168489098,NA,NA,0.826193469772117,0.806494445347737,0.758144595069358,NA,NA,0.732503780980677,0.828563237129712,NA,NA,0.803069555795934,0.840457613250682,1.11409339287738,1.03157288246099,0.685511414485558,0.818502029355412,0.706409006633592,0.769921993467121
"1854",NA,NA,NA,0.523362280240451,NA,NA,1.36889435259195,0.836043608812166,NA,NA,0.837753397357616,NA,NA,1.14123371389244,1.19521936787796,1.52499936657481,NA,NA,1.05291415905522,0.946653521597005,NA,NA,0.928120486629672,1.24338034056731,1.12628587594096,0.809713389347272,0.814464396289481,1.05660931594417,0.8493395433406,1.07932542849503
"1855",NA,NA,NA,0.987701100841242,NA,NA,1.07321372735991,0.879927449977236,NA,NA,1.37542721421622,NA,NA,0.819780966683819,1.04222039812726,1.32264418975669,NA,NA,1.15143493870859,1.06849144280907,NA,NA,0.952607785979128,1.01892699846626,1.10530808179908,1.2706055596529,1.24154475411429,1.28196472601247,1.27723619484231,1.18836755742858
"1856",NA,NA,NA,1.01994075861314,NA,NA,0.977487149801217,1.18931803337072,NA,NA,1.50851548310299,NA,1.02964538375582,0.803521337293952,0.978521074515624,1.25630653342437,NA,NA,1.35544735779463,1.18050201068811,NA,NA,1.01105311670306,0.717763234254122,0.865118216992798,1.1609442310335,1.08697025875935,1.20600745734679,1.40633397235917,1.45081421989927
"1857",NA,NA,NA,1.1625096259966,NA,NA,0.806173943914595,0.9600361593707,NA,NA,1.22802613507993,0.954681385078734,0.936209597685521,1.21067527789899,1.11057056782278,1.09916906995323,NA,NA,1.03946088028439,1.07151897445874,NA,NA,1.08228073423417,0.814266300969814,0.985764372089029,1.22390006386484,0.995652394997506,1.21044822063912,1.03923676806033,1.32584334327314
"1858",NA,NA,NA,1.05651211555718,NA,NA,1.50085864634668,1.25788440570439,NA,NA,0.773414636955276,0.687161180215387,1.2252204621376,1.31706792065054,1.36086800379816,1.20470149100529,NA,NA,1.58215237445567,1.47083770214554,NA,0.637857858040705,1.4523161828469,1.31460592828517,0.945983754762483,1.10768180654692,0.888744137673117,1.01499131283106,1.34965824080248,1.37955916023466
"1859",NA,NA,NA,1.4959308080699,NA,NA,1.37654429771877,0.920408732319357,NA,NA,1.09764162827427,0.487988851845712,1.18437618531103,0.930538740157473,1.06785786043528,1.08398516638756,NA,NA,1.13568327411075,1.2992431080136,NA,0.915327499797757,1.19097354666717,0.832187884035649,1.18135822404437,1.08255676697848,1.13295939909267,0.933396423630764,1.20452509337542,1.44822559170517
"1860",NA,NA,NA,1.72122266279442,NA,NA,1.15000679802502,1.08700130859035,NA,NA,1.05712179737886,1.1222546670993,1.02217864634775,1.07525951378881,0.957895031203882,1.05211574844725,NA,NA,1.21085145382695,1.16567337347377,NA,1.21307401644802,1.19531116419968,1.1980586429353,0.894931972628643,1.03275624980059,0.920981278075178,0.773259799811238,0.982684842137305,1.1485969562679
