"","SJ0101","SJ0102","SJ0201","SJ0202","SJ0301","SJ0302","SJ0401","SJ0402","SJ0501","SJ0502","SJ0601","SJ0602","SJ0603","SJ0701","SJ0702","SJ0801","SJ0802","SJ0901","SJ0902","SJ0903","SJ1001","SJ1002","SJ1003","SJ1101","SJ1102","SJ1103","SJ1201","SJ1202","SJ1203","SJ1301","SJ1302","SJ1303","SJ1401","SJ1402","SJ1501","SJ1502","SJ1601","SJ1602","SJ1701","SJ1702","SJ1703","SJ1801","SJ1802","SJ1901","SJ1902","SJ2001","SJ2003","SJ2002"
"1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711516491251925,NA,0.987497125611908,0.928975299382271,1.21894159780743,NA,NA,NA,1.5585981242146,NA,NA,NA,NA,1.22854017810734,1.27814269571844,0.899975552253679,0.769760240201961,NA,1.84752116910911,0.53767514068455,0.603985147855135,0.649802206076722,1.09817668479596,1.45485850592626
"1937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.594743592380229,NA,0.834984588450241,0.704898134442422,0.973510220079006,NA,NA,NA,1.23450105905162,NA,NA,NA,NA,1.11012071623363,1.97108613049955,1.58286520369028,0.785043486856961,2.15598540621285,1.63695323319679,0.80909622900105,0.473681679311447,0.406343990634681,0.545870938215903,1.29113008697691
"1938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543472207026456,NA,0.467761223551104,0.837015070849657,0.905756922164014,NA,NA,NA,0.891529224824419,NA,NA,NA,NA,0.434849734723109,0.964689310027498,1.02911190862745,0.778903116204049,0.605164153004085,0.415860763129501,0.386057083164031,0.423642421464117,0.716887259991132,0.44543298227041,0.864994388915214
"1939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.490579964495257,NA,0.284318640352059,0.563400138690562,0.62693735463208,NA,NA,NA,0.745213903125883,NA,NA,NA,NA,0.909004531480707,0.299330128068933,0.401899564892827,0.226881092777192,0.385367101212689,0.34535006774646,0.636729669698087,0.438574828123638,0.570138024250221,0.563165740266044,0.407161776906393
"1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4115385061173,0.948863976909191,NA,1.2952377285818,0.738180304421915,0.751972349858053,NA,NA,NA,1.20088976771113,NA,NA,NA,NA,0.562595071620635,0.182341814614999,0.371933105283498,0.149766840389395,0.65274704854483,0.704108555737695,0.601102972791035,0.349677286180452,0.917416837286786,0.850965926967325,0.467537537818545
"1941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47745716242836,1.90451867376545,NA,1.67417434037751,1.22259684450763,1.15571475778265,NA,NA,NA,1.1388806510456,NA,NA,NA,NA,0.728311766479547,0.278587224912195,0.219673176781286,0.225882868120549,0.773884284701959,0.698299755164886,0.570147521985334,0.382145143389174,0.863570854555525,0.931980919014537,0.444128600524393
"1942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04116495401763,1.40048119794479,1.38807943528936,1.3102520897491,0.978862180384187,0.785887300824339,NA,NA,NA,0.736071842143335,NA,NA,NA,NA,0.618029693200606,0.123594672240239,0.232434369208024,0.133377083576759,0.504596971106997,0.433583803291857,0.433969965934835,0.27011656453512,0.658995509833379,0.685184071973725,0.287271079259766
"1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.457529735044283,0.636104350132879,0.989658185835303,0.722432668544824,0.535878828687654,0.473719467289297,NA,NA,NA,0.42659449090204,NA,NA,NA,NA,0.205373898797982,0.0852999507604676,0.218990081202177,0.0981575873802231,0.360916256642635,0.489499495116926,0.580442059066853,0.179369993889666,0.516981882146289,0.629303080633441,0.278642411934221
"1944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.481388196092241,0.845477387014553,0.360822195427861,0.860723679109204,0.515292017214302,0.552340034273001,NA,NA,NA,0.28721153809855,NA,NA,NA,NA,0.175633604673365,0.0597285816375187,0.178912515334635,0.133259981368353,0.228277037007177,0.307577959854212,0.50234386084242,0.403294691718921,0.597716777702088,0.752034217374944,0.415097783328368
"1945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346109516250674,0.485262271073809,0.513536432724642,0.470244589956013,0.475019170516804,0.381671147316012,NA,NA,NA,0.219130534960695,NA,NA,NA,NA,0.133202017206086,0.117106071733635,0.25135651291261,0.124020442695457,0.214103977576968,0.266065380501263,0.26350055298816,0.270525725651954,0.346520166711865,0.364046400552152,0.209616440935743
"1946",NA,NA,1.16338312856376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454846627488547,0.634919554130692,0.436514924174048,0.678318307271344,0.833424707296867,0.608056457590353,NA,NA,NA,0.342942711021986,NA,NA,NA,NA,0.395289374526902,0.137586875932619,0.273646064356843,0.153837528000341,0.403839837482014,0.827989935282297,0.538197565569667,0.66905113853333,0.851673456119104,0.924217118066309,0.511797688664294
"1947",1.15488278568922,1.24302356958182,1.41051448854971,NA,NA,NA,1.1182463648183,1.62210441581616,NA,NA,NA,NA,2.35084837041537,NA,1.20296398588399,NA,NA,1.15113240706924,1.54800221267383,1.23732769498629,NA,NA,NA,0.939147515532768,1.67262381200232,0.662220685880963,0.351043074497411,0.844523252891679,0.808728755614269,NA,NA,NA,1.42306763920753,NA,NA,NA,NA,1.14237125728475,3.40876359002648,1.3456888037084,1.81476664038693,2.95378914091513,2.49320987418155,1.91960290678031,2.28401973640258,2.63041297842617,2.39475865269156,1.61467414914695
