"estimate","ci_lower","ci_upper","size","name_comparison","metodo_correla"
0.216882196992694,0.0573660431885423,0.393406386906728,1,"caH-caL","spearman"
0.186573659680854,0.010692733261256,0.346282962848118,2,"caH-caL","spearman"
0.17116314104576,0.00367550169668893,0.333517791765803,3,"caH-caL","spearman"
0.156602254000036,-0.00495838371268751,0.334923213898616,4,"caH-caL","spearman"
0.138540710860269,-0.0419420021652365,0.300081013881581,5,"caH-caL","spearman"
0.130882676645388,-0.0341648988033876,0.299018842379297,6,"caH-caL","spearman"
0.121018808777429,-0.0530611813380827,0.28850464492154,7,"caH-caL","spearman"
0.117068253651869,-0.0715503614615089,0.271983096079619,8,"caH-caL","spearman"
0.120766139312384,-0.050457515694996,0.286491350463183,9,"caH-caL","spearman"
0.118250660931129,-0.05947221091327,0.284979563244458,10,"caH-caL","spearman"
0.124832601339189,-0.0341078648843726,0.287932969800734,11,"caH-caL","spearman"
0.137320851729044,-0.0313429705454372,0.296726123740538,12,"caH-caL","spearman"
0.157488439162647,-0.0164806839466595,0.324669744229769,13,"caH-caL","spearman"
0.180058311103912,-0.00411045050436846,0.34867692217661,14,"caH-caL","spearman"
0.202435919898585,0.0242681088611235,0.362256413547513,15,"caH-caL","spearman"
0.224935889447829,0.0484412062626422,0.373348532346966,16,"caH-caL","spearman"
0.244036011006331,0.0581422600255257,0.395574321179653,17,"caH-caL","spearman"
0.260857263341178,0.0755744186617825,0.406029449464013,18,"caH-caL","spearman"
0.279922523151612,0.102613005039109,0.458005639040773,19,"caH-caL","spearman"
0.303021193658697,0.134672365922005,0.456362489836254,20,"caH-caL","spearman"
0.328870485392225,0.150291624639607,0.471416262421201,21,"caH-caL","spearman"
0.345575999062463,0.160875856727523,0.507158774316904,22,"caH-caL","spearman"
0.365282421781705,0.187565239102875,0.513521049051879,23,"caH-caL","spearman"
0.388063447826834,0.216575886466301,0.532932963626269,24,"caH-caL","spearman"
0.407503767698882,0.233319417911418,0.553723827793631,25,"caH-caL","spearman"
0.41834331684342,0.234061759937737,0.563440843303736,26,"caH-caL","spearman"
0.426821565531243,0.244319448781099,0.563566938890772,27,"caH-caL","spearman"
0.44146479706252,0.26456221830439,0.58877297001564,28,"caH-caL","spearman"
0.460000268049804,0.284169073612275,0.589595960155848,29,"caH-caL","spearman"
0.472190897969505,0.283792402037191,0.607697153229391,30,"caH-caL","spearman"
0.477148832345765,0.304795177058881,0.623672944005702,31,"caH-caL","spearman"
0.480897817680786,0.297451707075278,0.624185999400339,32,"caH-caL","spearman"
0.487850535098857,0.299317564600006,0.628391647852994,33,"caH-caL","spearman"
0.494212196033864,0.315046505108419,0.653204304768621,34,"caH-caL","spearman"
0.49627122229862,0.303539727735502,0.648624018940976,35,"caH-caL","spearman"
0.49624516788293,0.281393736626513,0.640187153817206,36,"caH-caL","spearman"
0.487962525586522,0.304737805996323,0.630297289253982,37,"caH-caL","spearman"
0.485017281569006,0.294429292233374,0.629880677147772,38,"caH-caL","spearman"
0.480719984241111,0.295512512562769,0.635447683505337,39,"caH-caL","spearman"
0.476415104224514,0.288556812257192,0.653813759605086,40,"caH-caL","spearman"
0.00850214652223023,-0.158293677230573,0.163455516697216,1,"caH-caL","pearson"
