"variables","caH_m","caH_sd","caH_l","caL_m","caL_sd","caL_l","sj_m","sj_sd","sj_l"
"ba",1.229,0.764,"b",0.566,0.223,"a",0.366,0.172,"a"
"crowding",0.717,0.472,"a",0.482,0.184,"a",0.468,0.252,"a"
"dn",69.752,20.514,"c",45.9,8.6,"b",31.863,3.728,"a"
"dnn",3.412,1.859,"a",3.123,1.308,"a",2.4,1.328,"a"
"h",15.42,1.784,"b",12.607,1.575,"a",11.815,2.304,"a"
"lorimer",7.664,4.711,"a",7.779,3.937,"a",9.345,4.07,"a"
"mde",1864.649,12.141,"c",1718.537,21.902,"b",1395.281,59.683,"a"
"n_competitors",10.933,4.621,"a",12.867,7.1,"a",10.65,4.095,"a"
"n_competitors_higher",1.2,1.474,"a",0.667,0.816,"a",0.5,0.688,"a"
"nesr",0.059,0.085,"a",0.035,0.032,"a",0.077,0.095,"a"
"newsr",0.484,0.622,"a",0.179,0.223,"a",0.397,0.689,"a"
"pd",0.035,0.015,"a",0.041,0.023,"a",0.034,0.013,"a"
"sdd",-0.493,0.402,"a",-0.414,0.229,"ab",-0.209,0.097,"b"
"slope",12.112,3.275,"a",12.858,2.984,"a",27.325,5.593,"b"
"sr",0.215,0.196,"a",0.171,0.068,"a",0.151,0.064,"a"
"srd",0.908,0.629,"a",0.89,0.438,"a",1.111,0.52,"a"
"std",348.019,147.087,"a",409.559,225.999,"a",339,130.335,"a"
"sum_sizes",3.374,1.444,"b",2.549,1.073,"ab",2.077,0.866,"a"
