"ba","srd","sdd","nesr","newsr","lorimer","crowding","n_competitors","n_competitors_higher","pd","std","sum_sizes","sr","dnn","id_focal"
0.297701310490179,1.06145260672524,-0.150982613638295,0.121098964237689,0.604596463321673,8.5536085083907,0.469405834611408,9,0,0.0286478897565412,286.478897565412,1.7713945166128,0.148431522570773,1.3,"A11"
0.324743724758281,1.56578378568816,-0.219128243576325,0.288256234148931,1.9304004872438,11.1557957296087,0.895641657586058,9,0,0.0286478897565412,286.478897565412,1.86211283417518,0.152173913043478,0.83,"A12"
0.221239296955255,0.817005183085836,-0.259426023510012,0.00777490513737723,0.000479833388619799,7.35196878885985,0.268605478479117,12,1,0.0381971863420549,381.971863420549,1.59314098034987,0.149532710280374,4.34,"A13"
0.401380808730605,2.07455872574861,-0.23224310207861,0.342194755053394,2.57014748118187,15.4047161142861,1.02606383876718,12,0,0.0381971863420549,381.971863420549,2.4096058384113,0.107311320754717,0.67,"A14"
0.719899585777204,1.79598819363188,-0.406435821224991,0.113088318981665,0.548082105081175,15.0032724853185,0.823429809256732,18,1,0.0572957795130823,572.957795130823,3.69080313030105,0.0866482867270579,1.34,"A15"
0.814841477641886,0.749175932716061,-0.163652415626056,0.0389528399683515,0.29747225452797,6.21847906747952,0.507684242299104,7,1,0.0222816920328653,222.816920328653,2.33639456458902,0.186252771618625,2.6,"B01"
0.738492862003915,0.729097668414039,-0.466342462085172,0.00778593872090077,0.0476890611469717,6.72206448658929,0.434056826299121,13,2,0.0413802852038928,413.802852038928,2.75497206492071,0.156021452949781,4.24,"B02"
0.449670407901475,0.76768999093545,-0.243195931638495,0.00419364499355559,0.00390816801628763,7.38435423875644,0.328137784830884,12,1,0.0381971863420549,381.971863420549,2.33798611401994,0.137404580152672,4.96,"B03"
0.649771938977338,1.24686811449834,-0.690126671657603,0.0920763267532456,0.564880510678301,10.4919686613393,0.751781101058295,19,0,0.0604788783749202,604.788783749202,3.42978902363034,0.11716509627202,1.44,"B04"
0.82267460647604,2.06018996479921,-1.02216315357292,0.0501078934726316,0.10230024080222,18.5136674097521,0.90688709580465,33,1,0.105042262440651,1050.42262440651,5.28012439201672,0.0648325628593979,1.47,"B05"
