"years","SJ01","SJ02","SJ03","SJ04","SJ05","SJ06","SJ07","SJ08","SJ09","SJ10","SJ11","SJ12","SJ13","SJ14","SJ15","SJ16","SJ17","SJ18","SJ19","SJ20"
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,0.352112676056338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,0.290953545232274,0.26,NA,NA,0.802857142857143,NA,NA,0.654731457800512,NA,NA,0.755511022044088,NA,NA,NA,NA,NA,NA,NA
1993,NA,0.41764705882353,0.463659147869674,0.530612244897959,NA,NA,1.01142857142857,0.389513108614232,0.288617886178862,0.883905013192612,NA,NA,1.12877263581489,NA,NA,NA,NA,NA,NA,NA
1994,NA,0.648809523809524,0.784153005464481,1.22222222222222,NA,0.322175732217573,1.06451612903226,0.67479674796748,0.34639175257732,1.36675461741425,NA,0.335347432024169,1.40643863179074,0.592,NA,0.383297644539615,NA,NA,NA,0.309895833333333
1995,NA,0.742138364779874,0.943452380952381,1.60355029585799,0.28740157480315,0.703504043126684,1.22082018927445,0.855855855855856,0.561915887850467,1.64601769911504,NA,0.412140575079872,1.98254364089776,0.817351598173516,NA,0.498839907192576,NA,NA,NA,0.363143631436314
1996,0.443089430894309,0.978571428571429,0.943452380952381,1.56213017751479,0.841269841269841,1.12794612794613,1.22082018927445,1.02955665024631,0.731865284974093,1.95065789473684,NA,NA,2.68,1.21111111111111,NA,0.331786542923434,NA,NA,NA,0.319783197831979
1997,0.443089430894309,0.721428571428572,0.738095238095238,1.05029585798817,0.977272727272727,1.12794612794613,1.10410094637224,1.02955665024631,0.731865284974093,1.34868421052632,NA,NA,2.68,0.772222222222222,NA,NA,NA,NA,NA,NA
1998,0.268292682926829,0.439285714285714,0.330357142857143,0.618343195266272,1.625,1.00673400673401,0.886435331230284,1.04433497536946,0.731865284974093,1.12828947368421,NA,NA,2.25538461538461,0.616666666666666,NA,NA,NA,NA,NA,0.373493975903614
1999,0.260162601626016,0.292857142857143,0.366477272727273,0.543589743589744,2.68181818181818,1.05723905723906,0.387978142076503,1.22660098522167,0.724093264248705,1.18092105263158,0.361386138613861,0.387900355871886,1.8,0.644067796610169,NA,NA,NA,0.395454545454545,NA,0.466867469879518
2000,0.33739837398374,0.264285714285714,0.519886363636364,0.653846153846154,3.47159090909091,1.37037037037037,0.387978142076503,1.8423645320197,0.705958549222798,1.24013157894737,0.51980198019802,0.572953736654804,1.99692307692308,0.88135593220339,NA,NA,NA,0.418181818181818,0.326923076923077,0.569277108433735
2001,0.318897637795276,NA,NA,NA,3.77272727272727,0.971988795518207,NA,1.5990990990991,0.469866071428572,0.931506849315069,0.777227722772277,0.572953736654804,0.571948998178506,0.824858757062147,0.298828125,NA,0.431767337807606,0.322033898305085,NA,NA
2002,NA,NA,NA,NA,1.957805907173,0.56792873051225,NA,0.55,NA,NA,0.676056338028169,NA,NA,0.342222222222222,NA,NA,0.394957983193277,NA,NA,NA
2003,NA,NA,NA,NA,1.23248407643312,0.27536231884058,NA,0.253369272237197,NA,NA,0.298181818181818,NA,NA,NA,NA,NA,0.259962049335863,NA,NA,NA
2004,NA,NA,NA,NA,1.15596330275229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,1.15596330275229,0.373417721518987,NA,NA,NA,NA,0.350157728706625,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,1.10919540229885,0.373417721518987,NA,NA,NA,NA,0.350157728706625,NA,NA,NA,0.347349177330896,NA,0.27134724857685,NA,NA,NA
