"loc","site","n","lat_m","long_m"
"CA","CA_High",15,36.9661289267242,-3.42070266790688
"CA","CA_Low",15,36.9564491473138,-3.42410719022155
"SJ","SJ_High",10,37.1291641294956,-3.36572217196226
"SJ","SJ_Low",10,37.1332615641877,-3.3840943062678
