"loc","age_mean","age_sd","year_min","year_max","year_range","ar1_mean","ar1_sd","icor_mean","icor_sd"
"ca",154.78,26.15,1819,2016,198,0.813,0.091,0.503,0.087
"sj",72.56,11.14,1921,2016,96,0.692,0.101,0.604,0.12
