"site","age_mean","age_sd","year_min","year_max","year_range","ar1_mean","ar1_sd","icor_mean","icor_sd"
"caL",148.53,16.54,1836,2016,181,0.799,0.089,0.512,0.086
"caH",161.03,32.2,1819,2016,198,0.827,0.092,0.53,0.081
"sj",72.56,11.14,1921,2016,96,0.692,0.101,0.604,0.12
