"clu_pop2","type","count_clu","per","y"
"Northern slope","browning",468,99.36,2005
"Northern slope","no change",3,0.64,2005
"Southern slope","browning",339,76.87,2005
"Southern slope","greening",5,1.13,2005
"Southern slope","no change",97,22,2005
"Northern slope","browning",28,5.94,2012
"Northern slope","greening",12,2.55,2012
"Northern slope","no change",431,91.51,2012
"Southern slope","browning",121,27.44,2012
"Southern slope","greening",3,0.68,2012
"Southern slope","no change",317,71.88,2012
