date; prec
31/12/1985;56.5
31/01/1989;16.1
28/02/1989;79.4
31/03/1989;43.0
30/04/1989;69.2
31/10/1991;59.2
30/11/1991;36.1
31/12/1991;23.9
31/01/1992;20.5
29/02/1992;35.9
31/03/1992;38.8
30/04/1992;30.2
31/05/1992;3.3
30/06/1992;69.6
31/07/1992;21.0
30/09/1992;15.4
31/10/1992;90.7
30/11/1992;16.7
31/12/1992;33.2
31/01/1993;0.0
28/02/1993;15.7
31/03/1993;26.0
30/04/1993;57.2
31/05/1993;52.3
30/06/1993;4.2
31/07/1993;0.0
31/08/1993;0.0
30/09/1993;4.9
31/10/1993;74.5
31/12/1993;1.8
31/01/1994;57.0
28/02/1994;80.3
31/03/1994;0.0
30/04/1994;30.6
30/06/1994;0.0
31/07/1994;0.0
31/08/1994;0.0
30/09/1994;25.2
31/10/1994;35.8
30/11/1994;40.7
31/12/1994;4.3
31/01/1995;16.9
28/02/1995;19.2
31/03/1995;26.3
30/04/1995;13.2
31/05/1995;5.7
30/06/1995;47.1
31/07/1995;0.0
31/08/1995;7.2
30/09/1995;9.8
31/10/1995;5.3
30/11/1995;57.3
31/12/1995;169.1
31/01/1996;191.2
29/02/1996;83.0
31/03/1996;36.1
30/04/1996;48.6
31/05/1996;111.9
30/06/1996;1.1
31/07/1996;4.3
31/08/1996;6.2
30/09/1996;75.6
31/10/1996;35.7
30/11/1996;96.0
28/02/1997;0.0
31/03/1997;4.3
30/04/1997;71.1
31/05/1997;44.4
30/06/1997;30.1
31/07/1997;0.0
31/08/1997;15.7
30/09/1997;48.0
31/10/1997;33.7
30/11/1997;175.4
31/12/1997;160.7
31/01/1998;12.7
28/02/1998;56.6
31/03/1998;20.8
30/04/1998;51.6
31/05/1998;77.1
30/06/1998;35.2
31/07/1998;0.0
30/09/1998;63.0
31/10/1998;0.0
30/11/1998;6.3
31/12/1998;26.6
31/01/1999;36.1
28/02/1999;44.5
31/03/1999;59.2
30/04/1999;11.0
31/05/1999;9.8
30/06/1999;10.4
31/07/1999;0.0
31/08/1999;0.0
30/09/1999;26.8
31/10/1999;140.7
30/11/1999;41.8
31/12/1999;53.1
31/01/2000;9.8
29/02/2000;0.0
31/03/2000;14.1
30/04/2000;106.0
31/05/2000;73.1
30/06/2000;0.0
31/07/2000;0.0
31/08/2000;0.0
30/09/2000;32.7
31/10/2000;72.3
30/11/2000;80.2
31/01/2001;151.0
28/02/2001;34.9
31/03/2001;85.4
30/04/2001;16.4
31/05/2001;36.2
30/06/2001;0.0
31/07/2001;0.0
31/08/2001;0.0
30/09/2001;66.7
31/10/2001;90.3
30/11/2001;32.3
31/12/2001;67.5
31/01/2002;20.6
28/02/2002;3.8
31/03/2002;120.2
30/04/2002;118.9
31/05/2002;49.8
30/06/2002;10.9
31/07/2002;0.0
31/08/2002;4.8
30/09/2002;17.8
31/10/2002;28.3
30/11/2002;176.0
31/12/2002;84.0
31/01/2003;109.0
28/02/2003;87.6
31/03/2003;39.7
30/04/2003;54.5
31/05/2003;34.9
30/06/2003;6.8
31/07/2003;0.0
30/09/2003;3.3
31/10/2003;133.8
30/11/2003;61.6
31/12/2003;43.6
31/01/2004;39.2
29/02/2004;62.0
31/03/2004;68.6
30/04/2004;83.6
31/05/2004;94.9
30/06/2004;9.2
31/07/2004;0.0
31/08/2004;0.0
30/09/2004;2.3
31/01/2005;1.1
28/02/2005;39.9
31/03/2005;52.9
30/04/2005;7.9
31/05/2005;7.4
30/06/2005;2.9
31/07/2005;0.0
31/08/2005;0.0
30/09/2005;49.1
31/10/2005;40.4
30/11/2005;48.3
31/12/2005;38.4
31/01/2006;56.9
28/02/2006;57.2
31/03/2006;63.8
30/04/2006;56.5
31/05/2006;62.6
30/06/2006;2.4
31/07/2006;0.0
31/08/2006;16.0
30/09/2006;23.5
31/10/2006;20.6
30/11/2006;55.6
31/12/2006;25.8
31/01/2007;23.1
28/02/2007;40.1
31/03/2007;19.3
30/04/2007;70.5
31/07/2007;0.0
31/08/2007;0.0
30/09/2007;72.7
31/10/2007;34.7
31/01/2009;91.4
31/03/2009;91.1
30/04/2009;70.0
31/05/2009;3.5
30/06/2009;0.7
31/07/2009;0.0
31/08/2009;0.0
30/09/2009;37.7
31/10/2009;44.6
30/11/2009;35.9
31/12/2009;222.2
30/04/2010;29.1
31/05/2010;21.4
31/07/2010;1.7
31/08/2010;25.6
