date; prec
31/12/1985;91.0
31/01/1989;22.0
28/02/1989;126.0
31/03/1989;47.0
30/04/1989;142.0
30/09/1989;63.2
31/10/1989;43.0
30/11/1989;98.0
31/12/1989;204.0
31/01/1992;16.0
29/02/1992;33.0
31/03/1992;15.0
30/09/1992;40.0
31/10/1992;183.0
30/11/1992;23.0
31/12/1992;57.0
31/01/1993;0.0
28/02/1993;35.0
31/03/1993;28.0
30/04/1993;78.0
31/05/1993;67.0
30/06/1993;0.0
31/07/1993;0.0
31/08/1993;0.0
30/09/1993;9.0
31/10/1993;135.5
30/11/1993;47.7
31/12/1993;0.0
31/01/1994;83.4
28/02/1994;67.5
31/03/1994;18.0
30/04/1994;44.9
31/05/1994;35.1
30/06/1994;0.0
31/07/1994;0.0
31/08/1994;0.0
30/09/1994;29.5
31/10/1994;45.2
30/11/1994;61.8
31/12/1994;6.2
31/01/1995;13.0
28/02/1995;12.5
31/03/1995;42.0
30/04/1995;23.5
31/05/1995;0.0
30/06/1995;44.4
31/07/1995;0.0
31/08/1995;7.0
30/09/1995;20.0
31/10/1995;0.0
30/11/1995;57.6
31/12/1995;230.5
31/01/1996;248.9
29/02/1996;98.0
31/03/1996;48.7
30/04/1996;34.2
31/05/1996;126.0
31/07/1996;0.0
31/08/1996;0.0
30/09/1996;83.0
31/10/1996;53.5
30/11/1996;131.6
28/02/1997;0.0
31/03/1997;2.0
30/04/1997;86.6
31/05/1997;60.6
30/06/1997;45.0
31/07/1997;0.0
31/08/1997;16.7
30/09/1997;55.7
31/10/1997;40.2
30/11/1997;270.1
31/12/1997;183.2
31/01/1998;17.0
28/02/1998;74.7
31/03/1998;26.7
30/04/1998;57.9
31/05/1998;77.2
30/06/1998;31.0
31/07/1998;0.0
30/09/1998;84.3
31/10/1998;3.0
30/11/1998;7.8
31/12/1998;36.5
31/01/1999;49.0
28/02/1999;46.6
31/03/1999;70.2
30/04/1999;13.8
31/05/1999;13.0
30/06/1999;0.0
31/07/1999;0.0
31/08/1999;0.0
30/09/1999;32.8
31/10/1999;185.5
30/11/1999;48.6
31/12/1999;81.4
31/01/2000;12.5
29/02/2000;0.0
31/03/2000;23.0
30/04/2000;145.8
31/05/2000;81.0
30/06/2000;0.0
31/07/2000;0.0
31/08/2000;0.0
30/09/2000;35.4
31/10/2000;72.5
30/11/2000;113.2
31/01/2001;168.0
28/02/2001;51.2
31/03/2001;146.1
30/04/2001;10.0
31/05/2001;53.2
30/06/2001;0.0
31/07/2001;0.0
31/08/2001;0.0
30/09/2001;54.5
31/10/2001;78.9
30/11/2001;40.8
31/12/2001;82.0
31/01/2002;30.8
28/02/2002;6.1
31/03/2002;113.0
30/04/2002;136.1
31/05/2002;57.6
30/06/2002;12.9
31/07/2002;0.0
31/08/2002;0.0
30/09/2002;23.3
31/10/2002;52.7
30/11/2002;212.1
31/12/2002;104.5
31/01/2003;127.2
28/02/2003;104.3
31/03/2003;66.6
30/04/2003;52.7
31/05/2003;36.6
30/06/2003;5.1
31/07/2003;0.0
31/08/2003;2.3
30/09/2003;27.0
31/10/2003;160.4
30/11/2003;82.0
31/12/2003;55.6
31/01/2004;49.6
29/02/2004;78.3
31/03/2004;86.2
30/04/2004;100.0
31/05/2004;135.2
30/06/2004;14.6
31/07/2004;0.0
31/08/2004;0.0
30/09/2004;1.5
31/10/2004;44.5
31/01/2005;2.7
28/02/2005;39.1
31/03/2005;51.0
30/04/2005;6.0
31/05/2005;13.5
30/06/2005;4.8
31/07/2005;0.0
31/08/2005;0.0
30/09/2005;37.5
31/10/2005;49.1
30/11/2005;36.0
31/12/2005;45.4
31/01/2006;54.0
28/02/2006;70.0
31/03/2006;66.5
30/04/2006;52.5
31/05/2006;74.5
30/06/2006;8.5
31/07/2006;3.5
31/08/2006;20.5
30/09/2006;18.0
31/10/2006;32.0
30/11/2006;65.3
31/12/2006;29.8
31/01/2007;31.9
28/02/2007;54.8
31/03/2007;15.5
30/04/2007;75.1
31/07/2007;0.0
31/08/2007;0.0
30/09/2007;79.5
31/12/2007;7.5
31/01/2009;134.0
28/02/2009;91.0
31/03/2009;100.3
30/04/2009;72.0
31/05/2009;5.5
30/06/2009;0.0
31/07/2009;0.0
31/08/2009;2.0
30/09/2009;15.1
31/10/2009;54.0
30/11/2009;46.0
31/12/2009;326.5
30/04/2010;23.0
31/05/2010;32.7
31/07/2010;1.5
