date; prec
31/01/1989;40.9
28/02/1989;53.4
31/03/1989;38.0
30/04/1989;82.7
31/05/1989;72.5
30/06/1989;30.0
31/07/1989;0.0
31/08/1989;1.7
30/09/1989;91.8
31/10/1989;63.5
30/11/1989;234.3
31/12/1989;162.9
31/01/1990;56.4
31/03/1990;29.3
30/04/1990;107.4
30/06/1990;1.5
31/07/1990;10.7
31/08/1990;9.3
30/09/1990;30.6
31/10/1990;118.4
31/01/1991;18.7
28/02/1991;66.3
30/04/1991;37.9
31/05/1991;3.3
30/06/1991;16.0
31/07/1991;0.9
31/08/1991;0.9
30/09/1991;63.6
31/10/1991;0.0
30/11/1991;27.3
31/12/1991;36.1
31/01/1992;38.3
29/02/1992;42.9
31/03/1992;47.0
30/04/1992;56.3
31/05/1992;6.8
30/06/1992;106.5
31/07/1992;5.0
31/08/1992;0.0
30/09/1992;13.0
31/10/1992;103.1
30/11/1992;31.5
31/12/1992;27.5
31/01/1993;0.9
28/02/1993;25.2
31/03/1993;58.3
30/04/1993;50.5
31/05/1993;51.1
30/06/1993;0.0
31/07/1993;0.0
31/08/1993;0.0
30/09/1993;3.3
31/10/1993;99.4
30/11/1993;80.2
31/12/1993;2.8
31/01/1994;46.0
28/02/1994;56.7
31/03/1994;14.5
30/04/1994;35.7
31/05/1994;36.0
30/06/1994;0.2
31/07/1994;1.5
31/08/1994;0.8
30/09/1994;20.1
31/10/1994;36.7
30/11/1994;24.4
31/12/1994;1.0
31/01/1995;22.9
28/02/1995;2.8
31/03/1995;39.3
30/04/1995;14.3
31/05/1995;1.6
30/06/1995;1.0
31/08/1995;6.2
30/09/1995;6.1
31/10/1995;41.0
30/11/1995;78.5
31/12/1995;177.2
31/01/1996;312.6
29/02/1996;81.9
31/03/1996;45.8
30/04/1996;29.3
31/05/1996;92.5
30/06/1996;3.3
31/07/1996;17.5
31/08/1996;9.4
30/09/1996;76.6
31/10/1996;47.6
30/11/1996;163.9
28/02/1997;0.0
31/03/1997;1.2
30/04/1997;62.0
31/05/1997;56.1
30/06/1997;37.4
31/07/1997;0.0
31/08/1997;1.4
30/09/1997;113.1
31/10/1997;32.1
30/11/1997;124.8
31/12/1997;192.6
31/01/1998;47.2
28/02/1998;133.5
31/03/1998;24.5
30/04/1998;29.7
31/05/1998;78.8
30/06/1998;37.6
31/07/1998;0.0
31/08/1998;1.5
30/09/1998;32.3
31/10/1998;1.3
30/11/1998;0.9
31/01/1999;27.8
30/04/1999;10.2
31/05/1999;4.2
30/06/1999;4.1
31/07/1999;0.0
31/08/1999;0.5
30/09/1999;24.4
31/10/1999;183.0
31/12/1999;49.4
29/02/2000;0.0
31/03/2000;12.0
30/04/2000;92.0
31/05/2000;127.4
30/06/2000;1.2
31/07/2000;0.0
31/08/2000;0.0
30/09/2000;25.9
31/10/2000;103.6
30/11/2000;54.8
31/12/2000;144.0
31/01/2001;101.8
30/04/2001;5.4
30/06/2001;4.8
31/07/2001;2.0
31/08/2001;5.0
30/09/2001;63.6
31/10/2001;130.0
30/11/2001;39.0
31/12/2001;56.0
31/01/2002;7.9
28/02/2002;3.7
