"scaled","CA11","CA12","CA13","CA14","CA15","CA16","CA17","CA18","CA19","CA20","CA21","CA22","CA23","CA24","CA25"
1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59743943837791,NA,NA
1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791686490208144,NA,NA
1832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557273472005729,NA,NA
1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882235169954852,NA,NA
1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.497928510667604,NA,NA
1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1837,NA,NA,NA,NA,NA,NA,NA,1.24955086160193,NA,NA,NA,0.209086430106846,NA,NA,NA
1838,NA,NA,NA,NA,NA,NA,NA,1.56092701179285,NA,NA,NA,NA,NA,NA,NA
1839,NA,NA,NA,NA,NA,NA,NA,1.51272138919998,NA,NA,NA,NA,NA,0.258156692365293,NA
1840,NA,NA,NA,NA,NA,NA,NA,1.2564670169698,NA,NA,NA,NA,NA,0.324176402444084,NA
1841,NA,NA,NA,NA,NA,NA,NA,0.694289143420902,NA,NA,NA,0.200669789420518,NA,0.36941354074562,0.659520073260443
1842,NA,NA,NA,NA,NA,NA,NA,0.53574144583791,NA,NA,NA,0.359623211342354,NA,0.306319061097546,0.356365292835059
1843,NA,NA,NA,NA,NA,NA,NA,0.365924733693235,NA,NA,NA,NA,NA,0.244227359523719,NA
1844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229495540386984,NA
1847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1848,NA,NA,NA,NA,NA,NA,NA,0.320406774741745,NA,NA,NA,NA,NA,NA,NA
1849,NA,NA,NA,NA,NA,NA,NA,1.01933572721125,NA,0.643727350408512,NA,NA,NA,NA,NA
1850,NA,NA,NA,NA,NA,NA,NA,1.01933572721125,NA,0.747283479607146,NA,NA,NA,NA,0.259320449812892
1851,NA,NA,NA,NA,NA,NA,NA,1.03982049743471,NA,0.809445116436328,NA,NA,NA,NA,0.362941011582416
1852,NA,NA,NA,NA,NA,NA,NA,1.22985292026575,NA,0.835677588272215,NA,NA,NA,NA,0.501148104548838
1853,NA,NA,NA,2.18269492927393,NA,NA,NA,1.30553828056138,NA,0.879341638517673,NA,0.297416293969816,NA,NA,0.672113510492184
1854,NA,0.528170628794855,NA,1.41851943184038,NA,NA,NA,1.09458204453657,NA,0.867207912382757,NA,0.273508874830038,NA,NA,0.648906989712902
1855,NA,0.998529791327081,NA,2.0723562377272,NA,NA,NA,1.02048074558341,NA,0.855893629418749,NA,0.305560696099183,NA,NA,0.266499273321443
1856,NA,1.1485908706779,NA,NA,NA,NA,NA,0.847268717372289,NA,0.701977653695317,NA,0.305560696099183,NA,NA,0.270354830150242
1857,NA,1.1485908706779,NA,NA,NA,NA,NA,0.887790760433022,NA,0.655048785481703,NA,0.305560696099183,NA,NA,NA
1858,NA,1.2369440145762,NA,NA,NA,NA,NA,0.362313062434439,NA,0.331316347629607,NA,0.270046164497487,NA,NA,NA
1859,NA,1.2369440145762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,NA,0.518844842313185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,NA,0.297226568339925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862,NA,0.250210635713608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863,NA,0.213182309833696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1864,NA,0.215979570015729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
