"site","statistic","p_value","var"
"caH",0.82208,1e-05,"rc"
"caL",0.84192,2e-05,"rc"
"SJ",0.70409,0,"rc"
"caH",0.97387,0.3968,"rt"
"caL",0.95005,0.05101,"rt"
"SJ",0.97839,0.36424,"rt"
"caH",0.82635,1e-05,"rs"
"caL",0.98068,0.64726,"rs"
"SJ",0.85111,0,"rs"
"caH",0.89884,0.00087,"rrs"
"caL",0.93857,0.01906,"rrs"
"SJ",0.77184,0,"rrs"
