"fk_stat","fk_pvalue","lev_stat","lev_pvalue","factor","response"
35.031388735617,2.47189824604197e-08,16.497837281443,3.4360703563232e-07,"disturb_year","rs"
44.1305517765555,2.61319873959713e-10,19.3125512163075,3.57294383840419e-08,"site","rs"
41.8828642757336,1.42454067344884e-06,9.07221728535887,5.23120870957828e-10,"interaction(disturb_year, site)","rs"
35.9557201342187,1.55709308645671e-08,14.781863439098,1.41437571179885e-06,"disturb_year","rc"
12.4140610364766,0.00201521272539861,5.5638449073002,0.00468534457047092,"site","rc"
62.9386295999416,1.23190645932221e-10,8.3208190155741,3.31537497957052e-09,"interaction(disturb_year, site)","rc"
25.5872559268033,2.77842048275948e-06,15.5853388319303,7.26709881051488e-07,"disturb_year","rt"
0.625096285982692,0.731580407629586,0.358613542105658,0.699253793032728,"site","rt"
14.527292231392,0.069015474103932,1.78174029183424,0.0853930448115507,"interaction(disturb_year, site)","rt"
40.5873932833735,1.53659540835144e-09,17.1613730558061,2.00253886015433e-07,"disturb_year","rrs"
13.9939119463341,0.000914661987810663,7.44595970384187,0.000831330954958535,"site","rrs"
54.0770749434785,6.6699191790958e-09,9.55825062709674,1.61753708060145e-10,"interaction(disturb_year, site)","rrs"
