"disturb_year","statistic","p_value","var"
"1995",0.74605,0,"rc"
"2005",0.95713,0.06742,"rc"
"2012",0.94215,0.01639,"rc"
"1995",0.98569,0.80067,"rt"
"2005",0.94358,0.01871,"rt"
"2012",0.96511,0.14546,"rt"
"1995",0.79077,0,"rs"
"2005",0.9751,0.36821,"rs"
"2012",0.88817,2e-04,"rs"
"1995",0.79457,0,"rrs"
"2005",0.96281,0.11654,"rrs"
"2012",0.97525,0.37298,"rrs"
