"site","age_mean","age_sd","year_min","year_max","year_range","ar1_mean","ar1_sd","icor_mean","icor_sd"
"caL",148.53,16.54,1836,2016,181,0.799,0.089,0.512,0.086
"caH",161.03,32.2,1819,2016,198,0.827,0.092,0.53,0.081
"sjL",66.96,3.93,1946,2016,71,0.717,0.09,0.657,0.098
"sjH",77.72,13.08,1921,2016,96,0.669,0.106,0.589,0.111
