"n.cores","n.trees","n","n.tot","n.wt","n.bt","rbar.tot","rbar.wt","rbar.bt","c.eff","rbar.eff","eps","snr","site"
30,15,12.641,435,15,420,0.327,0.563,0.318,2,0.407,0.897,8.69,"caL"
30,15,12.737,435,15,420,0.335,0.513,0.329,2,0.434,0.907,9.779,"caH"
48,20,16.052,1125,36,1089,0.532,0.797,0.524,2.308,0.592,0.959,23.283,"sj"
