"years","CA11","CA12","CA13","CA14","CA15","CA16","CA17","CA18","CA19","CA20","CA21","CA22","CA23","CA24","CA25"
1828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0145,2.038,NA,NA
1829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109999999999999,1.706,NA,NA
1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0154999999999998,1.5825,NA,NA
1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1265,1.481,NA,NA
1832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.215,1.083,NA,NA
1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.197,0.7445,NA,NA
1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1625,0.4145,NA,NA
1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0249999999999999,-0.0089999999999999,NA,NA
1836,NA,NA,NA,NA,NA,NA,NA,0.795,NA,NA,NA,0.1335,-0.2385,NA,NA
1837,NA,NA,NA,NA,NA,NA,NA,1.2385,NA,NA,NA,0.2755,-0.1775,NA,NA
1838,NA,NA,NA,NA,NA,NA,NA,1.4705,NA,NA,NA,0.196,-0.3855,-0.138,NA
1839,NA,NA,NA,NA,NA,NA,NA,1.3705,NA,-0.1705,NA,0.1135,-0.4405,0.271,NA
1840,NA,NA,NA,NA,NA,NA,NA,1.2155,NA,-0.0885,NA,0.1155,-0.47,0.4755,0.6085
1841,NA,NA,NA,NA,NA,NA,NA,0.9145,NA,0.0130000000000001,NA,0.206,-0.5915,0.4895,0.308
1842,NA,NA,NA,NA,NA,NA,NA,0.63,NA,-0.0399999999999998,NA,0.2365,-0.614,0.412,0.0925
1843,NA,-1.811,NA,NA,NA,NA,NA,0.525,NA,-0.0814999999999999,NA,0.171,-0.661,0.3265,-0.0855000000000001
1844,NA,-1.786,NA,NA,NA,NA,NA,0.5725,NA,-0.0509999999999999,NA,0.1045,-0.588,0.2565,-0.144
1845,NA,-1.582,NA,NA,NA,NA,NA,0.5165,NA,0.0685,NA,-0.0335000000000001,-0.4115,0.271,-0.0755000000000001
1846,NA,-1.575,NA,NA,NA,NA,NA,0.4725,NA,0.1795,NA,-0.1125,-0.368,0.2445,-0.0660000000000001
1847,NA,-1.706,NA,NA,NA,NA,NA,0.284,NA,0.2415,NA,-0.287,-0.467,0.0759999999999998,-0.177
1848,NA,-1.611,NA,NA,NA,NA,NA,0.2705,NA,0.5055,NA,-0.1485,-0.3475,0.00700000000000012,-0.1675
1849,NA,-1.36,NA,NA,NA,NA,NA,0.488,NA,0.7495,NA,-0.0309999999999997,-0.217,-0.1375,-0.0545
1850,NA,-0.833,NA,NA,NA,NA,NA,0.7135,NA,0.871,NA,0.0665,-0.219,-0.2215,0.1865
1851,NA,-0.414,NA,NA,NA,NA,NA,0.928,NA,0.9605,NA,0.0674999999999999,-0.167,-0.2255,0.438
1852,NA,-0.0930000000000002,NA,0.6525,NA,NA,NA,1.152,NA,1.096,NA,0.1825,-0.0804999999999998,-0.1825,0.612
1853,NA,0.258,NA,0.7145,NA,NA,NA,1.3205,NA,1.157,NA,0.2715,-0.073,-0.0750000000000002,0.6855
1854,NA,0.409,NA,0.5715,NA,NA,NA,1.058,NA,1.02,NA,0.2545,-0.146,-0.0960000000000001,0.661
1855,NA,0.506,NA,0.513,NA,-1.0985,NA,0.908,NA,0.914,NA,0.3055,-0.242,-0.204,0.494
1856,NA,0.592,NA,0.295,NA,-1.3965,NA,0.874,NA,0.7425,NA,0.328,-0.2295,-0.2125,0.3255
1857,NA,0.6845,NA,0.289,NA,-1.161,NA,0.783,NA,0.623,NA,0.377,-0.2255,-0.194,0.2565
1858,NA,0.814,NA,-0.1015,NA,-0.852,NA,0.5225,NA,0.2375,NA,0.208,-0.309,-0.1465,0.0665
1859,NA,0.8025,NA,-0.304,NA,-0.56,NA,0.3165,NA,0.00600000000000023,NA,0.196,-0.41,-0.122,-0.147
1860,NA,0.479,NA,-0.5425,NA,-0.4515,NA,0.000499999999999723,NA,-0.2335,NA,0.0565,-0.4645,-0.0775000000000001,-0.322
1861,NA,0.2735,NA,-0.897,NA,-0.3255,NA,-0.254,NA,-0.5335,NA,0,-0.466,-0.1145,-0.522
1862,NA,0.343,NA,-1.1075,NA,-0.4235,-1.5255,-0.3775,NA,-0.7045,NA,-0.115,-0.4795,-0.071,-0.638
1863,NA,0.263,NA,-1.2975,NA,-0.5495,-1.6245,-0.6025,NA,-0.791,NA,-0.201,-0.4845,-0.158,-0.6695
