"disturb","tree","mean_period","sd_period","se_period","disturb_year","site"
"dr","SJ01",0.434894847992975,NA,NA,1995,"SJ"
"dr","SJ02",0.356833721470535,NA,NA,1995,"SJ"
"dr","SJ03",0.228684498816385,NA,NA,1995,"SJ"
"dr","SJ04",0.251208029031465,NA,NA,1995,"SJ"
"dr","SJ05",0.130721320379068,NA,NA,1995,"SJ"
"dr","SJ06",0.420806868577921,NA,NA,1995,"SJ"
"dr","SJ07",0.308637528147794,NA,NA,1995,"SJ"
"dr","SJ08",0.481306355944273,NA,NA,1995,"SJ"
"dr","SJ09",0.411402082697205,NA,NA,1995,"SJ"
"dr","SJ10",0.310508981950213,NA,NA,1995,"SJ"
"dr","SJ11",0.400292801171043,NA,NA,1995,"SJ"
"dr","SJ12",0.425053171960297,NA,NA,1995,"SJ"
"dr","SJ13",0.390976839748418,NA,NA,1995,"SJ"
"dr","SJ14",0.449101149690572,NA,NA,1995,"SJ"
"dr","SJ15",0.545057021756758,NA,NA,1995,"SJ"
"dr","SJ16",0.397643592329451,NA,NA,1995,"SJ"
"dr","SJ17",0.518792636789565,NA,NA,1995,"SJ"
"dr","SJ18",0.523758594311135,NA,NA,1995,"SJ"
"dr","SJ19",0.594036925077235,NA,NA,1995,"SJ"
"dr","SJ20",0.594035936540937,NA,NA,1995,"SJ"
"post","SJ01",0.988759768435319,0.366124973877542,0.211382352225244,1995,"SJ"
"post","SJ02",1.26243350527267,0.635003049843008,0.366619181763094,1995,"SJ"
"post","SJ03",1.61278814545708,0.417307691072292,0.240932707775489,1995,"SJ"
"post","SJ04",1.76915474945051,0.505426392891594,0.291808063991504,1995,"SJ"
"post","SJ05",0.59062001714047,0.27158363383102,0.156798884099836,1995,"SJ"
"post","SJ06",0.889653011119012,0.296149550711941,0.170982022823926,1995,"SJ"
"post","SJ07",1.62886304069283,0.741837230576717,0.428299924768354,1995,"SJ"
"post","SJ08",0.888178825294783,0.309759311011043,0.178839621596219,1995,"SJ"
"post","SJ09",0.861960966363356,0.206633566678508,0.119299945345449,1995,"SJ"
"post","SJ10",1.47315054757899,0.860262213549433,0.496672620566429,1995,"SJ"
"post","SJ11",1.05499071185062,0.403302550435581,0.232846836058846,1995,"SJ"
"post","SJ12",1.21051116878262,0.340576984414607,0.196632213631565,1995,"SJ"
"post","SJ13",1.05972309733846,0.742192530561133,0.42850505731,1995,"SJ"
"post","SJ14",1.21537544533648,0.533846115696451,0.308216198603182,1995,"SJ"
"post","SJ15",1.05383276990442,0.379724587251739,0.219234092667711,1995,"SJ"
"post","SJ16",1.79648776477968,0.530941627353365,0.306539291476444,1995,"SJ"
"post","SJ17",1.34917323702727,0.225033243698961,0.12992300382621,1995,"SJ"
"post","SJ18",1.26133900003514,0.340216738593746,0.196424225609916,1995,"SJ"
"post","SJ19",1.53039296262384,0.778939423575836,0.449720885883921,1995,"SJ"
"post","SJ20",1.17621487160314,0.505660679460826,0.291943329405317,1995,"SJ"
"pre","SJ01",0.760027711265849,0.022516228837077,0.0129997507802216,1995,"SJ"
"pre","SJ02",0.721828294037608,0.0749828869125921,0.0432913899436003,1995,"SJ"
"pre","SJ03",0.619667429994623,0.177807956516194,0.102657471558682,1995,"SJ"
"pre","SJ04",0.52731358619413,0.0471383050051388,0.0272153130838595,1995,"SJ"
"pre","SJ05",0.551156767824112,0.140019020930283,0.0808400194257669,1995,"SJ"
"pre","SJ06",0.597446003617496,0.0478829713060617,0.0276452463731539,1995,"SJ"
"pre","SJ07",0.604544431101708,0.108560462371409,0.0626774121734834,1995,"SJ"
"pre","SJ08",0.624775418908124,0.0876242615759146,0.0505898910083965,1995,"SJ"
"pre","SJ09",0.69072949997438,0.0540429927263537,0.0312017363983733,1995,"SJ"
"pre","SJ10",0.511489989790439,0.0224194852472113,0.0129438958425703,1995,"SJ"
"pre","SJ11",0.574706028979174,0.087870996326855,0.0507323433832704,1995,"SJ"
"pre","SJ12",0.585613631799792,0.048420112105349,0.0279553647582151,1995,"SJ"
"pre","SJ13",0.484629692707937,0.0231624516753972,0.0133728477098823,1995,"SJ"
"pre","SJ14",0.565499377401516,0.0467983272160046,0.0270190268157844,1995,"SJ"
"pre","SJ15",0.968577045363536,0.221235842813635,0.127730573402846,1995,"SJ"
"pre","SJ16",0.56379195096482,0.0770538566568045,0.0444870648829049,1995,"SJ"
"pre","SJ17",0.688574954347743,0.0828292012301817,0.0478214616270071,1995,"SJ"
"pre","SJ18",0.701583325981646,0.144369331407629,0.0833516723509208,1995,"SJ"
"pre","SJ19",0.706469309373339,0.121654704649567,0.0702373764776122,1995,"SJ"
"pre","SJ20",0.831081568885541,0.145311742985979,0.0838957739293688,1995,"SJ"
"dr","SJ01",0.683173976291881,NA,NA,2005,"SJ"
"dr","SJ02",0.66686681818953,NA,NA,2005,"SJ"
"dr","SJ03",0.427653266859205,NA,NA,2005,"SJ"
"dr","SJ04",0.383707053286733,NA,NA,2005,"SJ"
"dr","SJ05",0.396036045363225,NA,NA,2005,"SJ"
"dr","SJ06",0.470123713567511,NA,NA,2005,"SJ"
"dr","SJ07",0.614263936571522,NA,NA,2005,"SJ"
"dr","SJ08",0.471257812254642,NA,NA,2005,"SJ"
"dr","SJ09",0.970789250530559,NA,NA,2005,"SJ"
"dr","SJ10",0.543335234430794,NA,NA,2005,"SJ"
"dr","SJ11",0.526290970900856,NA,NA,2005,"SJ"
"dr","SJ12",0.488879767628185,NA,NA,2005,"SJ"
"dr","SJ13",0.642445833998448,NA,NA,2005,"SJ"
"dr","SJ14",0.542613674897829,NA,NA,2005,"SJ"
"dr","SJ15",0.818338548224819,NA,NA,2005,"SJ"
"dr","SJ16",0.59286602165811,NA,NA,2005,"SJ"
"dr","SJ17",0.715685558068814,NA,NA,2005,"SJ"
"dr","SJ18",0.828887695387253,NA,NA,2005,"SJ"
"dr","SJ19",0.984294864645812,NA,NA,2005,"SJ"
"dr","SJ20",0.86276574853542,NA,NA,2005,"SJ"
"post","SJ01",0.666575230797615,0.118158929408548,0.0682190897011833,2005,"SJ"
"post","SJ02",0.536522704844187,0.11244052486095,0.0649175672962922,2005,"SJ"
"post","SJ03",0.614067251974401,0.122631370809407,0.0708012549479042,2005,"SJ"
"post","SJ04",0.513314438152597,0.102545566031641,0.0592047101525705,2005,"SJ"
"post","SJ05",0.582954615568113,0.152378554212073,0.0879757992930663,2005,"SJ"
"post","SJ06",0.563603904706347,0.110772909220834,0.0639547689575665,2005,"SJ"
"post","SJ07",0.592271530581435,0.0902573203495882,0.052110088200169,2005,"SJ"
"post","SJ08",0.568712347231291,0.163898853857164,0.0946270473943048,2005,"SJ"
"post","SJ09",0.570184906531118,0.218537455857055,0.126172658967087,2005,"SJ"
"post","SJ10",0.538920436338409,0.0316685442849046,0.0182838425677332,2005,"SJ"
"post","SJ11",0.610823978416541,0.0904863004325029,0.0522422899126789,2005,"SJ"
"post","SJ12",0.52236937760426,0.116415862636409,0.0672127296310733,2005,"SJ"
"post","SJ13",0.52908426331123,0.0816751197904054,0.0471551523970855,2005,"SJ"
"post","SJ14",0.688739828204621,0.258732220701108,0.149379117269814,2005,"SJ"
"post","SJ15",0.809849543788105,0.026046636718016,0.0150380327206309,2005,"SJ"
