date;TM1;TM2;PM1;TM3; 
1989-01-31 00:00;;;20.0;;
1989-02-28 00:00;;;129.8;;
1989-03-31 00:00;;;55.0;;
1989-04-30 00:00;;;132.0;;
1989-11-30 00:00;;;81.0;;
1989-12-31 00:00;;;172.0;;
1990-01-31 00:00;;;72.0;;
1990-11-30 00:00;;;90.5;;
1991-02-28 00:00;;;83.0;;
1991-05-31 00:00;;;12.0;;
1991-06-30 00:00;;;34.0;;
1991-10-31 00:00;;;80.0;;
1992-01-31 00:00;;;27.0;;
1992-02-29 00:00;;;42.0;;
1992-03-31 00:00;;;44.0;;
1992-04-30 00:00;;;78.0;;
1992-05-31 00:00;;;11.5;;
1992-06-30 00:00;;;78.0;;
1992-07-31 00:00;;;0.0;;
1992-08-31 00:00;;;27.5;;
1992-09-30 00:00;;;22.0;;
1992-10-31 00:00;;;126.0;;
1992-11-30 00:00;;;31.0;;
1992-12-31 00:00;;;59.0;;
1993-01-31 00:00;;;0.0;;
1993-02-28 00:00;;;27.1;;
1993-04-30 00:00;;;85.0;;
1993-05-31 00:00;;;47.0;;
1993-06-30 00:00;;;2.0;;
1993-07-31 00:00;;;0.0;;
1993-08-31 00:00;;;0.0;;
1993-09-30 00:00;;;12.0;;
1993-10-31 00:00;;;83.5;;
1993-11-30 00:00;;;40.0;;
1993-12-31 00:00;;;1.0;;
1994-01-31 00:00;;;80.0;;
1994-02-28 00:00;;;100.0;;
1994-03-31 00:00;;;0.5;;
1994-04-30 00:00;;;41.0;;
1994-05-31 00:00;;;52.0;;
1994-06-30 00:00;;;7.0;;
1994-07-31 00:00;;;0.0;;
1994-08-31 00:00;;;0.0;;
1994-09-30 00:00;;;20.1;;
1994-10-31 00:00;;;46.5;;
1994-11-30 00:00;;;36.0;;
1994-12-31 00:00;;;8.0;;
1995-01-31 00:00;;;26.5;;
1995-02-28 00:00;;;12.0;;
1995-03-31 00:00;;;43.0;;
1995-04-30 00:00;;;16.5;;
1995-05-31 00:00;;;2.0;;
1995-10-31 00:00;;;5.0;;
1995-11-30 00:00;;;62.5;;
1995-12-31 00:00;;;169.0;;
1996-01-31 00:00;;;258.0;;
1996-02-29 00:00;;;152.0;;
1996-03-31 00:00;;;16.0;;
1996-04-30 00:00;;;38.0;;
1996-05-31 00:00;;;127.0;;
1996-06-30 00:00;;;25.0;;
1996-07-31 00:00;;;2.0;;
1996-08-31 00:00;;;0.0;;
1996-10-31 00:00;;;39.5;;
1996-11-30 00:00;;;93.0;;
1997-02-28 00:00;;;0.0;;
1997-03-31 00:00;;;3.0;;
1997-04-30 00:00;;;80.0;;
1997-05-31 00:00;;;68.0;;
1997-07-31 00:00;;;0.0;;
1997-08-31 00:00;;;11.1;;
1997-09-30 00:00;;;59.1;;
1997-10-31 00:00;;;16.0;;
1997-11-30 00:00;;;281.0;;
1997-12-31 00:00;;;115.0;;
1998-01-31 00:00;;;0.0;;
1998-02-28 00:00;9.4;5.2;71.0;13.6;
1998-03-31 00:00;14.0;;51.0;22.8;
1998-04-30 00:00;13.4;8.7;54.0;18.6;
1998-05-31 00:00;;;80.0;;
1998-06-30 00:00;;;35.0;;
1998-07-31 00:00;23.9;18.2;4.0;35.6;
1998-08-31 00:00;;;0.0;;
1998-09-30 00:00;;;63.3;;
1998-10-31 00:00;19.7;13.0;0.6;22.1;
1998-11-30 00:00;;;5.0;;
1998-12-31 00:00;;;24.4;;
1999-01-31 00:00;7.1;8.1;56.0;12.9;
1999-02-28 00:00;;0.9;43.0;;
1999-03-31 00:00;13.3;;;19.6;
1999-04-30 00:00;16.3;9.3;;20.7;
1999-06-30 00:00;;;5.0;;
1999-07-31 00:00;22.7;19.3;0.0;34.9;
1999-08-31 00:00;;;0.0;;
1999-09-30 00:00;;;32.0;;
1999-10-31 00:00;20.7;17.7;;21.6;
1999-11-30 00:00;;;37.0;;
1999-12-31 00:00;;;66.0;;
2000-01-31 00:00;6.9;5.7;10.0;12.7;
2000-02-29 00:00;;5.9;0.0;;
2000-03-31 00:00;11.9;;14.0;20.6;
2000-04-30 00:00;14.5;10.2;104.0;19.1;
2000-05-31 00:00;;;97.0;;
2000-06-30 00:00;;;0.0;;
2000-07-31 00:00;22.7;17.6;0.0;31.7;
2000-08-31 00:00;;;0.0;;
2000-09-30 00:00;;;40.6;;
2000-10-31 00:00;13.8;8.9;101.0;18.6;
2000-11-30 00:00;;;109.0;;
2001-01-31 00:00;11.0;9.5;148.0;14.2;
2001-02-28 00:00;11.1;6.4;33.5;17.0;
2001-03-31 00:00;12.2;;92.0;19.0;
2001-04-30 00:00;16.4;10.2;15.0;22.2;
2001-05-31 00:00;15.2;9.8;60.0;20.6;
2001-06-30 00:00;;;0.0;;
2001-07-31 00:00;23.7;16.7;0.0;30.8;
2001-08-31 00:00;25.1;18.4;1.1;31.8;
2001-09-30 00:00;20.3;14.5;39.0;26.1;
2001-10-31 00:00;16.8;11.8;89.1;21.7;
2001-11-30 00:00;7.6;3.6;40.0;11.5;
2001-12-31 00:00;;;60.0;;
2002-01-31 00:00;7.8;3.0;21.2;12.5;
2002-02-28 00:00;10.3;4.8;3.4;15.8;
2002-03-31 00:00;10.5;5.8;137.7;15.3;
2002-04-30 00:00;11.4;6.3;132.0;16.4;
2002-05-31 00:00;;;49.0;;
