date;TM1;TM2;PM1;TM3; 
2002-06-30 00:00;;;0.0;;
2002-07-31 00:00;24.5;17.4;20.0;31.7;
2002-08-31 00:00;;;1.1;;
2002-10-31 00:00;18.9;15.0;;23.5;
2002-12-31 00:00;;;87.3;;
2003-01-31 00:00;4.9;0.8;71.0;9.0;
2003-02-28 00:00;6.0;1.9;80.0;10.1;
2003-03-31 00:00;11.1;5.8;22.4;16.4;
2003-04-30 00:00;11.8;6.5;66.4;17.0;
2003-05-31 00:00;;;64.0;;
2003-06-30 00:00;;;10.0;;
2003-07-31 00:00;24.2;18.3;0.0;34.0;
2003-08-31 00:00;;;0.0;;
2003-09-30 00:00;;;0.0;;
2003-10-31 00:00;19.1;17.2;99.0;;
2003-11-30 00:00;;;107.0;;
2003-12-31 00:00;;;107.0;;
2004-01-31 00:00;8.9;9.9;;14.6;
2004-02-29 00:00;9.2;4.8;63.0;14.4;
2004-03-31 00:00;10.5;;93.0;20.0;
2004-04-30 00:00;15.0;11.1;;19.2;
2004-07-31 00:00;25.4;17.1;;34.5;
2004-10-31 00:00;19.9;;;;
2005-01-31 00:00;6.2;8.3;;;
2005-02-28 00:00;8.0;3.8;;14.0;
2005-03-31 00:00;10.3;;;19.7;
2005-04-30 00:00;17.1;11.6;;24.0;
2005-07-31 00:00;;;;34.4;
2005-10-31 00:00;19.9;17.7;;;
