"id","cli_estacion_id","cli_variable_id","valor","fecha","created_at","updated_at","cli_validacione_id"
62121359,129,130,"0","1951-01-01 07:00:00","2012-02-08 14:40:17.045586","2012-02-08 14:40:17.045586",3
62121360,129,130,"0","1951-01-02 07:00:00","2012-02-08 14:40:17.049528","2012-02-08 14:40:17.049528",3
62121361,129,130,"0","1951-01-03 07:00:00","2012-02-08 14:40:17.053247","2012-02-08 14:40:17.053247",3
62121362,129,130,"0","1951-01-04 07:00:00","2012-02-08 14:40:17.056965","2012-02-08 14:40:17.056965",3
62121363,129,130,"0","1951-01-05 07:00:00","2012-02-08 14:40:17.060722","2012-02-08 14:40:17.060722",3
62121364,129,130,"0","1951-01-06 07:00:00","2012-02-08 14:40:17.064499","2012-02-08 14:40:17.064499",3
62121365,129,130,"0","1951-01-07 07:00:00","2012-02-08 14:40:17.068233","2012-02-08 14:40:17.068233",3
62121366,129,130,"0","1951-01-08 07:00:00","2012-02-08 14:40:17.071969","2012-02-08 14:40:17.071969",3
62121367,129,130,"0","1951-01-09 07:00:00","2012-02-08 14:40:17.075669","2012-02-08 14:40:17.075669",3
62121368,129,130,"24","1951-01-10 07:00:00","2012-02-08 14:40:17.079401","2012-02-08 14:40:17.079401",3
62121369,129,130,"0","1951-01-11 07:00:00","2012-02-08 14:40:17.083166","2012-02-08 14:40:17.083166",3
62121370,129,130,"0","1951-01-12 07:00:00","2012-02-08 14:40:17.164152","2012-02-08 14:40:17.164152",3
62121371,129,130,"0","1951-01-13 07:00:00","2012-02-08 14:40:17.168299","2012-02-08 14:40:17.168299",3
62121372,129,130,"0","1951-01-14 07:00:00","2012-02-08 14:40:17.172276","2012-02-08 14:40:17.172276",3
62121373,129,130,"0","1951-01-15 07:00:00","2012-02-08 14:40:17.176336","2012-02-08 14:40:17.176336",3
62121374,129,130,"0","1951-01-16 07:00:00","2012-02-08 14:40:17.180504","2012-02-08 14:40:17.180504",3
62121375,129,130,"0","1951-01-17 07:00:00","2012-02-08 14:40:17.184606","2012-02-08 14:40:17.184606",3
62121376,129,130,"0","1951-01-18 07:00:00","2012-02-08 14:40:17.188697","2012-02-08 14:40:17.188697",3
62121377,129,130,"0","1951-01-19 07:00:00","2012-02-08 14:40:17.19283","2012-02-08 14:40:17.19283",3
62121378,129,130,"0","1951-01-20 07:00:00","2012-02-08 14:40:17.196872","2012-02-08 14:40:17.196872",3
