"scaled","CA01","CA02","CA03","CA04","CA05","CA06","CA07","CA08","CA09","CA10","CA26","CA27","CA28","CA29","CA30"
1876,NA,NA,-1.01514182563007,-31.9554816635765,0.325050898489376,-1570.92628026425,-21.6402525703507,-3.26671201425363,-1.25815220882384,NA,NA,-2.46414067869237,-1.75680304090237,NA,NA
1877,NA,NA,-1.07475156408323,-45.9635265616199,0.0688475209475622,-1243.13332138404,-21.6925893556781,-1.25101199375948,-1.57309382689895,NA,-1.50674814535799,-2.30805965694234,-2.23365278294592,NA,-3.79880467570021
1878,NA,NA,-1.25297669782567,-74.5369692991107,-0.0741434840973743,-442.084275004556,-22.6685466868118,0.0522620353719561,-1.80298116793348,-2.94518874157844,-2.4077622403034,-2.64903855376567,-2.26595594178472,NA,-4.20624476518977
1879,NA,NA,-0.951727983544257,-85.7685228471691,-0.138871922595082,-174.184996142154,-20.5661660553056,0.712649006082474,-1.63124470360189,-1.65552113516393,-3.27362017877823,-2.3395001706722,-2.33712081362867,NA,-3.73042166153726
1880,NA,NA,-0.635701487521596,-73.5575482822401,-0.306324718297812,-78.3899256414168,-13.9380211927226,0.777678597675026,-1.27129767362388,-1.24969343885564,-3.0632388582342,-2.15364004564512,-2.2475187377068,NA,-3.14625120143948
1881,NA,NA,-0.631492565652673,-59.461701904086,-0.513623084913358,-39.9823263359705,-13.5910165157253,0.359418429638605,-1.1200328731728,-1.09912138876183,-2.26013832245536,-1.69049454397097,-2.2475187377068,NA,-3.14625120143948
1882,NA,NA,-0.656584985479931,-59.461701904086,-0.608949383720159,-29.213829950163,-13.28256791395,0.00691189287766534,-0.848436812447962,-1.13931799460332,-2.26013832245536,-1.32300329751162,-2.2475187377068,NA,-3.22904728568788
1883,NA,NA,-0.693396392589152,-57.2526772343203,-0.608949383720159,-19.3348395404439,-8.74183251850611,-0.214268679207631,-0.671205000917482,-1.27219087083526,-2.03183281855502,-0.791709926203913,-1.66148086724472,NA,-2.78615706780804
1884,NA,NA,-0.74048581267847,-26.0857172518794,-0.316381523385334,-12.0635990937888,0.324978691578561,-0.775395049988064,-0.524383425071292,-1.67393535636219,-1.23906209331321,-0.527199559409013,-0.86259349894805,NA,-1.76061894051037
1885,NA,NA,-0.775562066724075,-11.6939482915527,0.0297134151364997,-7.9654269097892,0.0930625407538458,-1.70293296000785,-0.500945217697126,-1.79252690194843,-1.07378094092673,-0.279242491640093,-0.613073478119633,NA,-1.36566103302033
1886,NA,-2.81342432463152,-0.619253990753434,-5.89524295033871,0.0524276574638136,-6.04107436558526,0.170345202020213,-2.27843533409727,-0.446375931962318,-1.13774659304885,-0.876459756400045,-0.112793204308772,-0.333368903969481,NA,-1.02096812771277
1887,NA,-2.28528873465677,-0.433739826783798,-3.01835332785265,0.371082158677613,-4.31284473694152,0.159857388187579,-2.51057239916841,-0.465597099734416,-0.840445975769757,-0.604386702563156,0.0280933954694021,-0.288216521580861,1.40528435360385,-0.75726789511462
1888,NA,-1.99170588860276,-0.268868975240949,-0.706799222989224,0.498330992025617,-4.03778774214619,0.216835030172298,-3.24799998809528,-0.465597099734416,-0.983378964846246,-0.43738789051399,0.23928100485746,-0.273022415259247,1.40528435360385,-0.394446036518409
1889,NA,-1.62168004143675,-0.237020941221712,0.529814309466632,0.437440798000426,-3.57402642985541,0.223526634595936,-3.24799998809528,-0.465597099734416,-1.24637566474699,-0.275277963990615,0.216830796861454,-0.273022415259247,1.49619923784809,-0.076047963145586
1890,NA,-1.45740006971764,-0.237020941221712,0.317417484809775,0.50513996911954,-3.11893776179911,0.143212994956233,-3.34381119718364,-0.465597099734416,-1.10888348191187,-0.202613680972034,0.102392320740131,-0.30433052478073,1.01964539406234,-0.11592141747228
1891,NA,-1.27375544422427,-0.210725396333698,0.353842442083028,0.692614596834008,-2.42694837697777,0.100431676132019,-3.2803621587191,-0.461987819891513,-0.73890851007614,-0.158687323344634,-0.152204801100195,-0.237457185313424,0.933216588600086,-0.11592141747228
1892,NA,-0.889820425838591,-0.160116956031975,0.533365445786917,0.905290426984301,-2.04660412879143,0.0076827140293169,-2.78026395102879,-0.461987819891513,-0.490680820446951,-0.151082435993059,-0.283495229021108,0.0455397341696978,1.07505671883481,-0.086598906585185
1893,NA,-0.548930063398539,-0.0929223476310344,0.751915189426435,1.19370139534734,-1.02012341895982,-0.0319567785937283,-2.0412038708047,-0.161982207774735,-0.320742716668306,-0.10354533086376,-0.319114949149979,0.111184581003499,0.611362553145657,0.0735518027031943
1894,NA,-0.287598628911823,0.0811748727074515,0.641455212414914,1.02177683137996,0.0702088344120168,-0.158371649686683,-1.40442430722979,0.153869572808862,0.0171703948225791,-0.0397501954870034,-0.0703370478822781,0.520778319474897,0.376497411062092,0.336608092430828
1895,NA,-0.056213787289007,0.208380578979188,0.720446864105744,1.09050051632784,0.578279297910582,-0.287027677140417,-0.978032579412328,0.25638142118149,0.285887148440782,0.101196698733415,-0.0566953023456951,0.653740073976154,-0.0329031426633297,0.466630477909018
1896,NA,-0.0457289947873909,0.174839174773314,0.639235495546384,1.27787013431469,1.29776262734874,-0.299618509131619,-0.59933304740115,0.408578219994754,0.0690011445355571,0.182980602234921,0.0125989560768215,0.3610131600724,-0.406518343830596,0.294141417595899
1897,NA,-0.0457289947873909,0.178380508154322,0.583505029327979,1.32275306665812,1.88347532325422,-0.358792399543085,-0.343690388299869,0.631695130450198,-0.148272880629758,0.296082997264585,-0.0185510364292896,0.445642387426231,-0.327472648564719,0.397045850727247
1898,NA,0.0822674800303314,0.172183390438122,0.533836482689986,1.28930333334266,1.92625925348432,-0.358792399543085,-0.182062668901189,0.672963946628173,-0.0436222952553348,0.422610216834055,-0.13214683505219,0.27288576248666,0.243265396076646,0.435244716291894
1899,NA,0.0372180664172035,0.138135764311351,0.488799883152695,0.468251824766853,1.55510176884281,-0.397235721322654,-0.260959253579588,0.672963946628173,0.135970736816093,0.615233052958333,-0.23708357160214,0.170898154284575,-0.585851412459221,0.286460049800705
1900,NA,-0.0806391439039402,0.138135764311351,0.377623963363432,-0.334502074695291,1.55510176884281,-0.365685348760695,-0.229606005866269,0.672963946628173,0.196120055932776,0.816924100261936,-0.111902010169046,0.118526139261882,-0.685403947528984,0.373451583201745
1901,NA,-0.217105387433685,0.0650050655582829,0.25477552033414,-0.66836047341173,1.55510176884281,-0.355542758916915,-0.308795672646314,0.668719310481952,0.0897732622861711,0.82739748616273,0.0489423823638751,-0.0130597764483377,-0.328388063585496,0.352389396439261
1902,NA,-0.217105387433685,-0.0238849890546274,0.00497585696106827,-1.28229395764389,1.55510176884281,-0.267826617736755,-0.135927021589069,0.532930275630579,0.0800739990502437,0.82739748616273,-0.00887895512537754,-0.289531321776922,-0.63623257435431,0.292070490742451
1903,NA,-0.26985430111521,-0.131345475166193,-0.248282323987269,-2.30423340641751,1.04433811389763,-0.188053984436326,-0.23773178807649,0.279990813437784,0.0640875322822777,0.812114569576375,-0.0651123375861033,-0.405407083114319,-0.0402268824101564,-0.0525531518459659
1904,NA,-0.291633589043395,-0.296168475557799,-0.677718826541967,-3.97027441015197,0.536512626235445,-0.102286385994643,-0.339245002813795,-0.0561268450750388,-0.0891061828317318,0.700037537178285,-0.131922459873183,-0.51185162804792,-0.370662679517898,-0.521340394294918
1905,NA,-0.273022415259248,-0.414343377743818,-1.07490857235083,-6.27458671548902,0.401616016535615,0.0382570490025452,-0.559611611192407,-0.189252290072074,-0.20015774558694,0.585485443462747,-0.182656115465219,-0.62236546238792,-0.756454447995711,-0.837623284040369
1906,NA,-0.209528830315236,-0.539573822479091,-1.14656914384088,-6.27458671548902,-0.520739931635414,0.0337285538134589,-0.656168746134809,-0.467555945070475,-0.29609346566761,0.468712462244415,-0.29197817713771,-0.733220609234428,-1.09418550108117,-0.887607643149961
1907,NA,0.0190480754832029,-0.584044192463632,-1.14656914384088,-5.97831617917588,-1.08697620254498,0.10701150255361,-0.614119932899863,-0.769186092934148,-0.314380250087442,0.242982745037839,-0.28889581149525,-0.733220609234428,-1.4705548920379,-0.835415132925358
1908,NA,-0.0465812027725609,-0.622585179783567,-1.17186111024914,-5.9994783603411,-1.60022669977331,0.0836803861516282,-0.577488778826058,-1.07781147696031,-0.386503745604881,0.0699170433752765,-0.358738754933662,-0.602485248189406,-2.2027994053584,-0.92552173773217
1909,-589.8122113319,0.156293431795895,-0.636126771955089,-1.12175969507476,-4.96585696885679,-2.23393558133695,0.147858158941983,-0.355013370534342,-1.29832818983573,-0.485726803418421,-0.116096136629055,-0.309030936681775,-0.405329375088138,-2.79289672275213,-1.01769596530496
1910,-93.0832485883266,0.379170990568645,-0.606465211233785,-0.93192668372674,-0.811065198430278,-1.92706632561745,0.156169101245548,-0.31791409813733,-1.36564891079018,-0.485726803418421,-0.379279798973765,-0.282089919076701,-0.343312040972982,-2.35193672150244,-0.948511026951116
1911,-16.9918377629855,0.567915623881982,-0.559049021795139,-0.75906764292049,-0.172471756263156,-1.92706632561745,0.159515736101541,-0.202451889967673,-1.42335238589399,-0.478056702478795,-0.69769554083193,-0.30635571856717,-0.317030423759142,-2.52960100622025,-1.03884541047027
1912,-7.46626667968645,0.595648862973667,-0.450112363571423,-0.601326902942692,0.0721076029807201,-1.92706632561745,0.1300684263009,-0.300003049865151,-1.3278449497071,-0.508796303969188,-0.887658095201937,-0.294875847128143,-0.225786505243152,-2.38625472893604,-0.896747991315538
1913,-1.02698180073409,0.645891526337002,-0.279551725607532,-0.533781373238825,0.146189133558682,-1.92706632561745,0.0920930667661414,-0.2145534326586,-1.03576660937545,-0.556981991680462,-0.972775994741849,-0.257189599488983,-0.227096990176273,-2.01604670824198,-0.647512815980077
