"pop","mean","sd","se","variable"
1,564.319242848655,198.526654394849,1.2933401146984,"prec"
2,635.367113684852,219.86643945784,1.56704043563203,"prec"
3,680.974144559785,210.323986229336,2.06199986499349,"prec"
4,658.935574229692,203.562466466183,2.29695377799322,"prec"
5,665.807843137255,210.706488749156,2.53936972609533,"prec"
6,673.532694729268,241.863022154148,1.62196374549074,"prec"
7,713.276618656616,253.464194499176,1.69781673910767,"prec"
8,728.897389007416,249.724047733796,2.517077706486,"prec"
9,606.094658553076,202.128780255843,5.25586338650492,"prec"
1,13.9387700534759,1.71820153807723,0.0111935547451075,"tmax"
2,16.04624098344,2.00324979598762,0.0142776380093523,"tmax"
3,15.6386870434448,1.80884638888451,0.0177337881263188,"tmax"
4,15.97901706137,1.62746788814614,0.0183639871295278,"tmax"
5,15.9502396514161,1.61622871231746,0.0194782908057046,"tmax"
6,17.0816333872999,1.44694772027579,0.00970341279541297,"tmax"
7,17.6304527302912,1.70411843531091,0.0114149488080939,"tmax"
8,17.2960276338515,1.70187671134848,0.0171539584120846,"tmax"
9,13.4912778904665,1.42515044069424,0.0370575432752589,"tmax"
1,4.77063067651303,1.4703659392894,0.0095789820181371,"tmin"
2,7.37506349690135,1.61725626896408,0.011526570287377,"tmin"
3,5.86302383698578,1.31155825975771,0.0128584143113501,"tmin"
4,5.92384772090654,1.20385873720553,0.013584075309157,"tmin"
5,5.67774872912128,1.29186494481178,0.0155691585509941,"tmin"
6,6.39874078071596,1.46868649322272,0.00984919573187571,"tmin"
7,6.73138600978149,1.53368962693406,0.0102733402891465,"tmin"
8,6.49375190490704,1.49379961283004,0.0150566584897745,"tmin"
9,4.6709939148073,1.12990043478196,0.0293802907139188,"tmin"
