id_focal,id_tree,sp,distance_center,rumbo_degree,tree_height,tree_dbh,site
A01,171,Qpyr,978,152,7.6,14.32,SJ
A01,172,Qpyr,824,182,8.3,17.83,SJ
A01,173,Qpyr,676,220,14.2,31.51,SJ
A01,174,Qpyr,634,249,8.9,13.85,SJ
A01,175,Qpyr,359,209,13.7,29.6,SJ
A01,176,Qpyr,980,278,13.1,31.35,SJ
A01,177,Qpyr,770,306,4.2,45.04,SJ
A01,468,Cmon,321,256,4.7,11.14,SJ
A02,178,Qpyr,269,112,10.8,17.83,SJ
A02,179,Qpyr,856,62,9.1,25.46,SJ
A02,180,Qpyr,387,278,12.7,21.17,SJ
A02,181,Qpyr,274,358,8.3,9.23,SJ
A02,182,Qpyr,243,36,7.9,9.55,SJ
A03,183,Qpyr,902,200,12.2,26.1,SJ
A03,184,Qpyr,288,260,13.7,26.42,SJ
A03,185,Qpyr,232,280,14.1,20.69,SJ
A03,186,Qpyr,788,10,12.6,26.74,SJ
A04,187,Qpyr,499,140,12.3,30.88,SJ
A04,188,Qpyr,662,144,3.04,7.96,SJ
A04,189,Qpyr,649,120,6.9,19.1,SJ
A04,190,Qpyr,629,98,8.8,30.56,SJ
A04,191,Qpyr,765,58,7.4,14.64,SJ
A04,192,Qpyr,684,340,7.3,14.48,SJ
A05,193,Qpyr,909,200,7.9,11.46,SJ
A05,194,Qpyr,990,172,4.1,8.28,SJ
A05,195,Qpyr,998,280,12.8,27.69,SJ
A05,469,Cmon,288,212,6.3,14.8,SJ
A05,470,Cmon,103,152,1.52,16.23,SJ
A05,471,Cmon,265,52,4.7,9.23,SJ
A06,204,Qpyr,477,3,15.1,30.88,SJ
A06,205,Qpyr,922,340,13.9,27.37,SJ
A06,206,Qpyr,610,34,16.7,21.33,SJ
A06,207,Qpyr,441,40,12.2,20.37,SJ
A06,208,Qpyr,943,60,13.7,22.6,SJ
A06,209,Qpyr,631,124,14.8,24.83,SJ
A06,210,Qpyr,377,290,12.9,19.74,SJ
A06,211,Qpyr,487,296,11.2,21.33,SJ
A06,212,Qpyr,483,274,8.1,20.69,SJ
A07,196,Qpyr,136,164,11.2,14.01,SJ
A07,197,Qpyr,561,200,14.6,19.1,SJ
A07,198,Qpyr,997,220,7.1,14.96,SJ
A07,199,Qpyr,857,3,16.5,27.37,SJ
A07,200,Qpyr,666,322,8,18.46,SJ
A07,201,Qpyr,535,320,14.9,28.97,SJ
A07,202,Qpyr,821,274,11.9,20.37,SJ
A07,203,Qpyr,932,271,12.4,25.46,SJ
A07,472,Cmon,743,1,4.2,10.19,SJ
A07,473,Cmon,753,1,4.1,10.35,SJ
A07,474,Cmon,965,141,5.5,14.8,SJ
A07,475,Cmon,985,140,5.6,14.48,SJ
A08,476,Pter,272,25,6.3,10.19,SJ
A08,477,Qpyr,498,331,9.6,30.72,SJ
A08,478,Qpyr,476,310,10.2,28.33,SJ
A08,479,Cmon,420,280,3.7,8.28,SJ
A08,480,Cmon,842,280,3.7,9.23,SJ
A08,481,Qpyr,655,180,9.9,17.83,SJ
A08,482,Pter,864,200,10.3,21.65,SJ
A08,483,Pdul,831,230,7.2,17.19,SJ
A08,484,Cmon,680,230,3,9.87,SJ
A08,485,Pter,589,150,5.4,12.41,SJ
A08,486,Pter,613,150,7.2,12.41,SJ
A08,487,Qpyr,824,100,13.6,27.06,SJ
A08,488,Qpyr,823,80,10.2,28.33,SJ
A09,217,Qpyr,949,328,13.6,27.06,SJ
A09,218,Qpyr,113,38,8.7,17.67,SJ
A09,219,Qpyr,175,114,7.3,19.1,SJ
A09,220,Qpyr,155,142,9.9,21.65,SJ
A09,494,Cmon,390,160,5.8,10.98,SJ
A09,495,Cmon,431,160,4.5,9.87,SJ
A09,496,Pdul,565,185,7.6,15.28,SJ
A09,497,Pdul,662,150,2.5,10.82,SJ
A09,498,Pdul,568,210,3.4,11.46,SJ
A09,499,Pdul,972,180,2.5,16.87,SJ
A09,500,Pter,374,130,5,8.91,SJ
A09,501,Pdul,727,130,5.2,14.96,SJ
A09,502,Pdul,732,111,6.6,16.55,SJ
A09,503,Pdul,617,30,7.1,22.28,SJ
A10,213,Qpyr,218,340,9.9,16.87,SJ
A10,214,Qpyr,953,265,11.6,28.65,SJ
A10,215,Qpyr,898,250,8.7,17.67,SJ
A10,216,Qpyr,933,156,10.5,27.69,SJ
A10,489,Pter,789,280,6.3,10.19,SJ
A10,490,Pter,745,220,5.4,12.41,SJ
A10,491,Pter,796,220,7.2,12.41,SJ
A10,492,Pter,478,65,7.1,14.8,SJ
A10,493,Pdul,945,110,7,21.01,SJ
A11,1,Qpyr,857,330,9.6,22.44,SJ
A11,2,Qpyr,986,350,10.7,30.56,SJ
A11,3,Qpyr,693,30,7.5,16.87,SJ
A11,4,Qpyr,980,60,5.9,11.46,SJ
A11,5,Qpyr,715,140,8.2,15.28,SJ
A11,6,Qpyr,579,160,7.5,13.69,SJ
A11,7,Qpyr,930,165,6.8,18.46,SJ
A11,8,Qpyr,130,330,8.5,25.78,SJ
A11,9,Qpyr,200,40,11.8,22.6,SJ
A12,10,Qpyr,83,270,12.9,27.06,SJ
A12,11,Qpyr,120,250,9.7,24.67,SJ
A12,12,Qpyr,332,230,8.4,24.03,SJ
A12,13,Qpyr,955,309,6.7,18.46,SJ
A12,14,Qpyr,372,306,6.6,14.64,SJ
