"fk_stat","fk_pvalue","lev_stat","lev_pvalue","factor","response"
26.3959658415279,1.85433777405032e-06,16.0156434050257,5.09973385891914e-07,"disturb_year","rs"
39.1961826957655,3.08075435996546e-09,20.9379539071814,9.97347710446932e-09,"site","rs"
47.5536013260506,1.20233392339585e-07,11.4551593516542,1.93122144636136e-12,"interaction(disturb_year, site)","rs"
38.6680692739979,4.01176462225421e-09,15.6713766152761,6.76935490943572e-07,"disturb_year","rc"
9.57959406387867,0.00831414471650899,4.7009781531257,0.0104959994827782,"site","rc"
51.0048891401564,2.61838237427191e-08,7.71683505776668,1.50420678864036e-08,"interaction(disturb_year, site)","rc"
24.9948309658955,3.73629722799496e-06,15.5399285936926,7.544603125582e-07,"disturb_year","rt"
2.39088737366367,0.302569678214169,1.20473467407809,0.302713676419139,"site","rt"
12.2576280735529,0.140073999076538,1.51235731041069,0.157952378284676,"interaction(disturb_year, site)","rt"
32.7473882246005,7.74452879136645e-08,17.0329009922049,2.2225232327151e-07,"disturb_year","rrs"
8.85261043536441,0.0119585925436397,6.11413586320373,0.0028141081285056,"site","rrs"
45.9683620805829,2.41013910166715e-07,10.3255234113953,2.62056940363788e-11,"interaction(disturb_year, site)","rrs"
