"disturb_year","statistic","p_value","var"
1995,0.76533,0,"rc"
2005,0.96245,0.1126,"rc"
2012,0.94352,0.01861,"rc"
1995,0.98565,0.79898,"rt"
2005,0.93758,0.01082,"rt"
2012,0.98363,0.71138,"rt"
1995,0.82328,0,"rs"
2005,0.96826,0.19639,"rs"
2012,0.92635,0.00403,"rs"
1995,0.82383,0,"rrs"
2005,0.95678,0.06517,"rrs"
2012,0.97414,0.33833,"rrs"
