"site","statistic","p_value","var"
"SJ",0.72371,0,"rc"
"caH",0.82587,1e-05,"rc"
"caL",0.8463,3e-05,"rc"
"SJ",0.97479,0.2484,"rt"
"caH",0.97913,0.58501,"rt"
"caL",0.94974,0.04967,"rt"
"SJ",0.8871,5e-05,"rs"
"caH",0.82135,1e-05,"rs"
"caL",0.98871,0.93538,"rs"
"SJ",0.80342,0,"rrs"
"caH",0.91016,0.00199,"rrs"
"caL",0.92863,0.00839,"rrs"
