"term","df","sumsq","meansq","statistic","p.value","var"
"disturb_year",1,1.37262388613102,1.37262388613102,38.3294219461181,1.55584380352123e-08,"rc"
"site",2,2.49455069693496,1.24727534846748,34.8291644910499,4.80748380395313e-12,"rc"
"disturb_year:site",2,0.171737960812236,0.0858689804061178,2.39782245910506,0.0964567206760681,"rc"
"Residuals",94,3.3662559659182,0.0358112336799809,NA,NA,"rc"
"disturb_year",1,0.208527187400956,0.208527187400956,9.79233029419195,0.00233429292774675,"rt"
"site",2,1.52739895318895,0.763699476594475,35.8629376510755,2.66479625765528e-12,"rt"
"disturb_year:site",2,0.745390501897917,0.372695250948958,17.5015787718442,3.45774624942296e-07,"rt"
"Residuals",94,2.00172533266326,0.0212949503474814,NA,NA,"rt"
"disturb_year",1,1.9331905926855,1.9331905926855,86.9322721458619,5.03941382780145e-15,"rs"
"site",2,0.0217417245264953,0.0108708622632476,0.488844069645525,0.614885416872145,"rs"
"disturb_year:site",2,1.19442760292638,0.597213801463191,26.8556824735743,5.95052504310439e-10,"rs"
"Residuals",94,2.0903619706101,0.0222378933043628,NA,NA,"rs"
"disturb_year",1,0.871878739888539,0.871878739888539,55.0662629052355,5.14321037735007e-11,"rrs"
"site",2,1.19406638204623,0.597033191023113,37.7075218788261,9.46817816238802e-13,"rrs"
"disturb_year:site",2,0.0976358402670117,0.0488179201335059,3.08325034385182,0.0504721175768954,"rrs"
"Residuals",94,1.48832692152295,0.0158332651225846,NA,NA,"rrs"
