"year","ntrees","gc_m","gc_m_sd","gc_m_se","gc_md","gc_md_sd","gc_md_se","site","site_sorted"
1846,1,-48.8965179009318,NA,NA,-53.2094594594595,NA,NA,"gc_caL","2_caL"
1847,1,-59.1894774262353,NA,NA,-55.6529360210342,NA,NA,"gc_caL","2_caL"
1848,1,-62.5864324425341,NA,NA,-56.5454545454545,NA,NA,"gc_caL","2_caL"
1849,1,-61.6438356164384,NA,NA,-56.5454545454545,NA,NA,"gc_caL","2_caL"
1850,1,-59.2410538733779,NA,NA,-57.2159672466735,NA,NA,"gc_caL","2_caL"
1851,1,-45.0423216444982,NA,NA,-56.25,NA,NA,"gc_caL","2_caL"
1852,1,-45.1032508689429,NA,NA,-54.3981481481481,NA,NA,"gc_caL","2_caL"
1853,1,-43.5832808233564,NA,NA,-45.7175925925926,NA,NA,"gc_caL","2_caL"
1854,1,-57.5319753671246,NA,NA,-51.5042117930205,NA,NA,"gc_caL","2_caL"
1855,1,-64.4593895499224,NA,NA,-50.1840490797546,NA,NA,"gc_caL","2_caL"
1856,1,-62.9896083133493,NA,NA,-51.7948717948718,NA,NA,"gc_caL","2_caL"
1857,1,-49.6674647512636,NA,NA,-46.2820512820513,NA,NA,"gc_caL","2_caL"
1858,1,-41.1873350923483,NA,NA,-35.6350184956843,NA,NA,"gc_caL","2_caL"
1859,1,-37.4836515825268,NA,NA,-35.6350184956843,NA,NA,"gc_caL","2_caL"
1860,1,-32.9673202614379,NA,NA,-20.1722017220172,NA,NA,"gc_caL","2_caL"
1861,3,-48.3424405563117,14.4336787992947,8.33328834016941,-41.2949021877043,26.2558687961673,15.1588329172747,"gc_caL","2_caL"
1862,3,-55.2028871803609,20.8573236200839,12.0419814066306,-42.9610630588958,27.2327798835981,15.7228527965772,"gc_caL","2_caL"
1863,3,-52.9488001640395,21.3015386167503,12.298449054534,-40.2081205483537,25.4310139172208,14.6826027308725,"gc_caL","2_caL"
1864,3,-39.7158111471196,25.6646003140274,14.8174638999479,-34.7422040134361,24.1824322242274,13.9617337543176,"gc_caL","2_caL"
1865,3,-27.3475301554014,25.3099571718363,14.6127105863376,-28.5915154838704,23.5293208632429,13.5846597342424,"gc_caL","2_caL"
1866,3,-18.390079605309,22.7040118653103,13.1081673621214,-21.0840487711407,27.0763557223442,15.6325412649695,"gc_caL","2_caL"
1867,3,-15.7941104426105,23.0594013975596,13.3133516042326,-19.6397763549357,29.762232030526,17.1832326745083,"gc_caL","2_caL"
1868,3,-14.9539061555413,21.9553471691779,12.6759255982766,-20.6850654840354,33.8195437039815,19.525722661364,"gc_caL","2_caL"
1869,3,-19.3772499395832,22.5088604478276,12.995496638705,-24.8609049538902,31.5249436057016,18.2009346769396,"gc_caL","2_caL"
1870,5,-23.2863632163824,19.0195608624046,8.50580619810624,-23.7938689298625,29.8334403864291,13.3419201413486,"gc_caL","2_caL"
1871,5,-23.2433195269241,23.8010309855872,10.6441446436704,-19.5725829246901,31.077984405694,13.898497146962,"gc_caL","2_caL"
1872,6,-28.1810595711254,23.0371021904607,9.40485758649688,-26.2328773053032,30.2022923131049,12.330034204915,"gc_caL","2_caL"
1873,7,-32.2321209110807,24.9850319576189,9.44345443698013,-36.9345422338189,26.4685626652081,10.0041763390671,"gc_caL","2_caL"
1874,8,-32.5499792018502,23.1064639752785,8.16936868308104,-49.3354107395846,62.0878682425571,21.9513763318645,"gc_caL","2_caL"
1875,8,-35.1442397675238,24.7631087500591,8.75508106021335,-52.0266270479072,63.2917763846724,22.3770221374722,"gc_caL","2_caL"
1876,9,-48.4314640093745,29.4398438943441,9.81328129811469,-59.6808683055168,64.8276905226346,21.6092301742115,"gc_caL","2_caL"
1877,11,-63.243985761382,37.8803894374776,11.4213671524232,-62.7112739026771,55.8852706377783,16.8500430920887,"gc_caL","2_caL"
1878,12,-68.6540870122716,52.6064500209364,15.1861740403491,-71.2882912981503,65.0181036565008,18.7691098241399,"gc_caL","2_caL"
