"id";"nombre";"codigo";"punto_x";"punto_y";"geometria";"Longitude";"Latitude"
102;"Beas de Granada, Puertoblanco";"5505";460291.7500;4121072.7500;"0101000020E61000001765C8A0C3940BC05AA9DD620B9E4240";-3.44763875590855;37.2347224790889
109;"Brchules";"6224";483026.7500;4092336.7500;"0101000020E610000051E45CCE8A8609C080B9AB49FA7C4240";-3.19069443913444;36.9763881767749
113;"Busquistar, Cortijo La Calahorra";"6234E";474994.0600;4093281.2500;"0101000020E61000001952CB566E3F0AC047EA2C650B7E4240";-3.28097217376695;36.9847227544129
129;"Caar, Los Jarales";"6248";461986.8400;4087012.2500;"0101000020E61000006DA9680E196A0BC0814E7C6EC1764240";-3.42680560357001;36.9277780634848
159;"Dlar, Central Elctrica";"5517";451191.7500;4102784.0000;"0101000020E610000015D4C9AD68640CC0C5180689E3884240";-3.54902778408224;37.0694438247461
160;"Dlar, El Toril";"5518";451015.1300;4102138.0000;"0101000020E6100000DAFA492D64680CC0023D486E24884240";-3.55097232229251;37.0636117794729
164;"Drcal, Central";"6252";450485.3400;4096008.2500;"0101000020E61000002E27F5C8C4730CC0F2DB300711814240";-3.55652768133304;37.008332156045
166;"Drcal, Presa";"6251";457718.8400;4099359.0000;"0101000020E6100000C26AF733A7CD0BC0A9ACE14DFA844240";-3.47541657065207;37.0388886787344
213;"Guejar-Sierra";"5501";461115.7200;4112748.0000;"0101000020E610000056FB026BDA800BC00C3728BD71944240";-3.43791659930086;37.1597210356104
220;"Hutor-Santilln";"5509";454122.3100;4119409.2500;"0101000020E610000006C5558AFC220CC0488731C8169C4240";-3.51708324503182;37.2194452516401
202;"Granada, Sierra Nevada";"5511E";465526.4700;4105641.0000;"0101000020E6100000B32A06FD731A0BC03EE0E942448C4240";-3.38791654276914;37.0958331720326
254;"Lanjarn, Tello";"6257";458049.7200;4091345.0000;"0101000020E6100000E18B18CD1EC50BC075466DB8BB7B4240";-3.4712501547924;36.9666662725039
259;"Lujar, Cerecillo";"6307";507743.8800;4100181.2500;"0101000020E610000062D48946A74D07C05246EE560B864240";-2.91291670902369;37.0472210563136
260;"Lujar, Monterrey";"6308";508981.4100;4097871.5000;"0101000020E610000072363574353107C02B307ABC60834240";-2.89902773654358;37.0263896557447
267;"Mairena";"6280U";495884.9100;4095402.5000;"0101000020E6100000309C4840B85E08C0D115859088804240";-3.04624986859883;37.0041676187353
296;"Niguelas";"6253";452125.5300;4093225.5000;"0101000020E610000063422133A74D0CC0129590E3DD7D4240";-3.53791656441926;36.9833340126007
324;"Pinos-Genil";"5502";455567.6900;4113083.7500;"0101000020E6100000D77DCD76DA000CC037ABD6CCCC944240";-3.50041668715106;37.1625000045955
314;"Pampaneira, Central";"6243E";467684.7200;4088991.7500;"0101000020E6100000408B28D140E70AC076F2C91711794240";-3.36291659741383;36.9458341346807
331;"Pitres";"6243";471143.8400;4087900.7500;"0101000020E6100000B7EF78F39B970AC0B8E62F85D2774240";-3.32402792179888;36.9361120685475
332;"Poqueira, Central Elctrica";"6242U";467692.9400;4091148.7500;"0101000020E6100000F1D224C840E70AC02BCDF5388E7B4240";-3.36291653025034;36.9652777862742
334;"Portugos";"6236";473743.1900;4088508.5000;"0101000020E61000004FE5C623E05B0AC09803E58688784240";-3.2948611064027;36.9416664713128
368;"Quentar, Tocn";"5504";467194.1300;4121813.2500;"0101000020E6100000E6A6D5C179F50AC09C4A4CE6EE9E4240";-3.36986113961472;37.2416656372563
366;"Quentar, Aguas Blancas";"5504A";464111.6900;4121209.5000;"0101000020E6100000C3701440963C0BC0AE1984DA389E4240";-3.40458345472698;37.2361100335141
405;"Trvelez";"6234";476235.7500;4095280.7500;"0101000020E61000008B26CCA3FC220AC0CA50100D5B804240";-3.26708343474167;37.0027786569277
88;"Arquilla";"6257I";457223.3100;4089284.5000;"0101000020E610000040550EB4E4D70BC033C7CFE459794240";-3.48041668575993;36.9480558409254
417;"Velor - Nechite";"6281E";493660.4100;4095249.7500;"0101000020E61000000A212A7BEB9108C0F1B84C0A5B804240";-3.07124992582624;37.0027783274289
270;"Mecina Bombaron";"6282";486118.0600;4092793.5000;"0101000020E6100000D40B0D4E6E3F09C0EE7BDBDC827D4240";-3.15597210862459;36.9805561134052
221;"Hutor-Santilln, Villa Mara";"5509A";454283.7500;4119198.7400;"0101000020E61000000F0AEDD33B1F0CC06869E9DDD89B4240";-3.51525083129059;37.2175557508188
