"years","SJ01","SJ02","SJ03","SJ04","SJ05","SJ06","SJ07","SJ08","SJ09","SJ10","SJ11","SJ12","SJ13","SJ14","SJ15","SJ16","SJ17","SJ18","SJ19","SJ20"
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.035,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.83,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.324,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.065,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.879,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6535,NA,-0.6815,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.941666666666667,NA,NA,NA,-0.081,-0.549833333333333,NA,-0.5105,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.988666666666667,NA,NA,NA,0.124,-0.180833333333333,NA,-0.2505,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0140000000000002,-0.750333333333333,NA,NA,NA,0.543,0.404166666666667,NA,0.103,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.575,-0.235,NA,0.6615,NA,0.883,1.01783333333333,NA,0.385,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641666666666667,-0.0853333333333333,NA,0.7955,NA,1.357,1.26233333333333,NA,0.4865,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.312333333333333,-0.0753333333333333,NA,0.7655,NA,1.638,1.60366666666667,NA,0.619,1.46283333333333
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259,0.274333333333333,NA,0.9055,NA,1.992,2.05466666666667,NA,0.7715,1.55633333333333
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.291333333333333,0.513,NA,1.0315,NA,2.291,2.318,NA,0.8745,1.62466666666667
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.518,0.787666666666667,NA,1.212,NA,2.446,2.50166666666667,NA,0.9925,1.68966666666667
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.783666666666667,1.02966666666667,NA,1.413,NA,2.719,2.70366666666667,2.923,1.0955,1.86333333333333
