"hmonth","hyear","hyear_f","csum"
12,1953,"1952-1953",247.3
12,1965,"1964-1965",242.1
12,1989,"1988-1989",233.3
12,1991,"1990-1991",259
12,1993,"1992-1993",232.1
12,1994,"1993-1994",263.4
12,1995,"1994-1995",140.4
12,1999,"1998-1999",186.7
12,2005,"2004-2005",147.7
12,2012,"2011-2012",207.8
