"speiyear_mean","speiyear_sum","droughtyear","tlag"
0.0702506944444444,0.843008333333333,1914,1
-0.223442222222222,-2.68130666666667,1914,2
-0.0765957638888889,-1.83829833333333,1914,20
1.03872347222222,12.4646816666667,1914,3
0.295177314814815,10.6263833333333,1914,30
0.573870138888889,6.88644166666667,1995,1
1.57487,18.89844,1995,2
1.07437006944444,25.7848816666667,1995,20
0.171627638888889,2.05953166666667,1995,3
0.773455925925926,27.8444133333333,1995,30
1.54710416666667,18.56525,1946,1
0.70414125,8.449695,1946,2
1.12562270833333,27.014945,1946,20
0.200091527777778,2.40109833333333,1946,3
0.817112314814815,29.4160433333333,1946,30
-0.507620555555556,-6.09144666666667,1999,1
-0.0340509722222222,-0.408611666666667,1999,2
-0.270835763888889,-6.50005833333333,1999,20
-0.35421375,-4.250565,1999,3
-0.298628425925926,-10.7506233333333,1999,30
0.0790268055555556,0.948321666666667,1983,1
-1.10305194444444,-13.2366233333333,1983,2
-0.512012569444444,-12.2883016666667,1983,20
-0.179902777777778,-2.15883333333333,1983,3
-0.401309305555556,-14.447135,1983,30
0.898337222222222,10.7800466666667,2012,1
-0.666358888888889,-7.99630666666667,2012,2
0.115989166666667,2.78374,2012,20
-0.298106388888889,-3.57727666666667,2012,3
-0.0220426851851852,-0.793536666666666,2012,30
-0.00699805555555555,-0.0839766666666666,1925,1
-1.03740791666667,-12.448895,1925,2
-0.522202986111111,-12.5328716666667,1925,20
0.399143055555556,4.78971666666667,1925,3
-0.215087638888889,-7.743155,1925,30
-0.179902777777778,-2.15883333333333,1985,1
-0.0969716666666667,-1.16366,1985,2
-0.138437222222222,-3.32249333333333,1985,20
-0.335055277777778,-4.02066333333333,1985,3
-0.203976574074074,-7.34315666666667,1985,30
-0.662469861111111,-7.94963833333333,1991,1
-0.462662222222222,-5.55194666666667,1991,2
-0.562566041666667,-13.501585,1991,20
-0.548883055555556,-6.58659666666667,1991,3
-0.558005046296296,-20.0881816666667,1991,30
-0.287795555555556,-3.45354666666667,2005,1
-0.911306388888889,-10.9356766666667,2005,2
-0.599550972222222,-14.3892233333333,2005,20
-0.401528888888889,-4.81834666666667,2005,3
-0.533543611111111,-19.20757,2005,30
0.399143055555556,4.78971666666667,1927,1
0.492339722222222,5.90807666666667,1927,2
0.445741388888889,10.6977933333333,1927,20
-0.258247361111111,-3.09896833333333,1927,3
0.211078472222222,7.598825,1927,30
-0.43045875,-5.165505,1931,1
0.210932638888889,2.53119166666667,1931,2
-0.109763055555556,-2.63431333333333,1931,20
-0.339975277777778,-4.07970333333333,1931,3
-0.186500462962963,-6.71401666666667,1931,30
