"years","CA11","CA12","CA13","CA14","CA15","CA16","CA17","CA18","CA19","CA20","CA21","CA22","CA23","CA24","CA25"
1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16890080428954,NA,NA
1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543893129770992,NA,NA
1832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1836,NA,NA,NA,NA,NA,NA,NA,0.68140243902439,NA,NA,NA,NA,NA,NA,NA
1837,NA,NA,NA,NA,NA,NA,NA,0.928571428571429,NA,NA,NA,NA,NA,NA,NA
1838,NA,NA,NA,NA,NA,NA,NA,1.20188679245283,NA,NA,NA,NA,NA,NA,NA
1839,NA,NA,NA,NA,NA,NA,NA,1.20188679245283,NA,NA,NA,NA,NA,NA,NA
1840,NA,NA,NA,NA,NA,NA,NA,0.998287671232877,NA,NA,NA,NA,NA,NA,0.803921568627451
1841,NA,NA,NA,NA,NA,NA,NA,0.539787798408488,NA,NA,NA,NA,NA,0.272868217054264,0.522026431718062
1842,NA,NA,NA,NA,NA,NA,NA,0.36509900990099,NA,NA,NA,0.277985074626866,NA,NA,0.285425101214575
1843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,NA,NA,NA,NA,NA,NA,NA,0.346186803770351,NA,0.432357043235704,NA,NA,NA,NA,NA
1850,NA,NA,NA,NA,NA,NA,NA,0.346186803770351,NA,0.527855153203343,NA,NA,NA,NA,NA
1851,NA,NA,NA,NA,NA,NA,NA,0.353143841515935,NA,0.571238348868176,NA,NA,NA,NA,0.251808972503618
1852,NA,NA,NA,NA,NA,NA,NA,0.42429737080689,NA,0.571238348868176,NA,NA,NA,NA,0.362204724409449
1853,NA,NA,NA,NA,NA,NA,NA,0.517874396135266,NA,0.601085481682497,NA,NA,NA,NA,0.506968641114983
1854,NA,0.390134529147982,NA,NA,NA,NA,NA,0.49951690821256,NA,0.601085481682497,NA,NA,NA,NA,0.506968641114983
1855,NA,0.798941798941799,NA,NA,NA,NA,NA,0.465700483091787,NA,0.593243243243244,NA,NA,NA,NA,NA
