"site","p","t","tmin","tmax"
"CAHigh",731,8.57777773506112,3.36388894087738,13.8111111323039
"CALow",658,10.1499999960264,4.67499993741512,15.625
"SJHigh",556,10.6166666944822,4.8833334085842,16.3666667938232
"SJLow",553.6,10.620000064373,4.88499995047847,16.3499999523163
