series;yeari;yearend;length_years;nsegment;nflags;corr_w_master;mean_msmt;max_msmt;std_dev;autocorr;mean_sens;max_value;std_dev_filt;autocorr_filter;AR;site
SNB0101;1899;2016;118;5;0;.648;2.09;8.15;1.497;.945;.157;2.59;.437;.012;1;CA-Low
SNB0102;1902;2016;115;4;0;.632;1.81;7.62;1.133;.882;.192;2.68;.455;-.012;1;CA-Low
SNB0201;1916;2016;101;4;1;.516;1.48;3.11;.514;.712;.188;2.61;.472;.115;1;CA-Low
SNB0202;1876;2016;141;5;0;.619;1.43;4.29;.532;.641;.218;2.65;.367;.057;1;CA-Low
SNB0301;1862;2016;155;6;0;.597;1.01;3.63;.550;.850;.206;2.73;.364;.005;1;CA-Low
SNB0302;1862;2016;155;6;0;.563;1.13;3.23;.516;.790;.211;2.62;.394;-.020;1;CA-Low
SNB0401;1870;2016;147;6;0;.584;.96;4.38;.729;.925;.179;2.80;.456;.001;1;CA-Low
SNB0402;1866;2016;151;6;0;.617;1.33;6.20;.993;.883;.209;2.72;.345;.023;1;CA-Low
SNB0501;1864;2016;153;6;1;.431;1.05;3.90;.689;.815;.238;2.60;.420;.030;2;CA-Low
SNB0502g;1867;2016;150;6;2;.437;.93;5.07;.640;.675;.237;2.71;.512;-.027;1;CA-Low
SNB0601;1860;2016;157;6;1;.524;1.94;7.30;1.384;.935;.182;2.73;.479;-.028;2;CA-Low
SNB0602;1873;2016;144;6;0;.616;1.76;6.55;.946;.889;.165;2.90;.464;.058;1;CA-Low
SNB0701;1851;2016;166;6;3;.360;1.25;5.50;1.097;.918;.236;2.70;.380;-.033;1;CA-Low
SNB0702g;1861;2016;156;6;0;.579;1.01;4.48;.935;.916;.225;2.69;.365;-.041;1;CA-Low
SNB0801g;1851;2016;166;6;2;.392;1.15;4.71;.952;.916;.232;2.61;.352;.013;1;CA-Low
SNB0802g;1853;2016;164;6;2;.452;1.33;7.13;1.447;.940;.230;2.88;.445;.000;1;CA-Low
SNB0901g;1836;2016;181;7;3;.378;1.10;7.18;1.007;.899;.185;2.76;.442;-.040;1;CA-Low
SNB0902;1844;2016;173;7;0;.527;1.40;6.15;1.127;.945;.171;2.58;.403;.057;1;CA-Low
SNB1001;1868;2016;149;6;1;.436;1.35;3.96;.600;.756;.233;2.65;.386;-.041;1;CA-Low
SNB1002;1870;2016;147;6;2;.479;1.22;2.90;.513;.682;.244;2.94;.505;.020;1;CA-Low
SNB1101;1949;2016;68;3;0;.625;3.49;5.88;.907;.524;.190;2.54;.424;-.016;2;CA-High
SNB1102;1893;2016;124;5;0;.607;2.98;6.91;1.287;.794;.237;2.64;.349;-.025;2;CA-High
SNB1201;1867;2016;150;6;2;.411;1.13;3.29;.450;.626;.248;2.64;.357;.036;1;CA-High
SNB1202;1834;2016;183;7;1;.516;1.46;4.56;.775;.769;.272;2.70;.455;-.004;1;CA-High
SNB1301;1865;2016;152;6;0;.570;1.78;5.44;1.134;.842;.271;2.86;.533;-.030;1;CA-High
SNB1302;1874;2016;143;6;0;.600;1.73;5.27;.934;.791;.283;2.56;.417;-.028;1;CA-High
SNB1401;1843;2016;174;7;0;.534;1.75;5.53;1.057;.911;.175;2.57;.365;-.012;1;CA-High
SNB1402;1848;2016;169;7;0;.491;1.53;5.51;1.155;.941;.193;2.62;.446;.014;2;CA-High
SNB1501;1898;2016;119;5;2;.439;1.52;5.63;.868;.886;.197;2.39;.296;-.031;1;CA-High
SNB1502;1927;2016;90;3;0;.511;.99;2.65;.419;.854;.170;2.50;.411;-.014;1;CA-High
SNB1601;1846;2016;171;7;0;.650;1.40;6.70;1.059;.898;.223;2.62;.388;.015;2;CA-High
SNB1602;1857;2016;160;6;1;.411;1.89;5.37;1.160;.844;.259;2.81;.537;.054;1;CA-High
SNB1701;1856;2016;161;6;0;.447;1.14;5.46;.886;.922;.192;2.73;.409;.014;1;CA-High
SNB1702;1853;2016;164;6;2;.402;1.16;5.14;.914;.911;.193;2.58;.353;.024;1;CA-High
SNB1801;1827;2016;190;7;1;.493;1.44;4.95;1.046;.929;.176;2.52;.324;-.010;1;CA-High
SNB1802;1843;2016;174;7;0;.621;1.61;5.17;1.193;.921;.191;2.62;.447;-.039;1;CA-High
SNB1901;1888;2016;129;5;0;.407;.99;2.90;.520;.863;.195;2.73;.429;.038;1;CA-High
SNB1902;1901;2016;116;4;0;.510;2.45;12.46;2.213;.863;.266;2.87;.552;-.058;1;CA-High
SNB2001;1830;2016;187;7;0;.514;1.28;4.16;.649;.853;.197;2.65;.357;.050;1;CA-High
SNB2002g;1837;2016;180;7;0;.477;1.27;3.88;.737;.890;.179;2.53;.355;-.001;1;CA-High
SNB2101;1863;2016;154;6;0;.514;.83;5.52;.731;.860;.219;2.53;.317;.013;1;CA-High
SNB2102;1858;2016;159;6;1;.571;1.35;4.38;.937;.893;.207;2.48;.352;.010;1;CA-High
SNB2201g;1819;2016;198;8;0;.495;1.11;3.52;.802;.928;.181;2.92;.462;.012;1;CA-High
SNB2202g;1822;2016;195;8;2;.429;.83;1.93;.333;.766;.183;2.66;.427;.010;1;CA-High
SNB2301g;1832;2016;185;7;0;.574;1.70;6.15;1.363;.955;.211;2.71;.442;.009;1;CA-High
SNB2302;1819;2016;198;8;0;.630;1.57;4.85;.881;.888;.185;2.67;.379;.039;1;CA-High
SNB2401;1829;2016;188;7;0;.612;1.23;4.39;.512;.826;.169;2.53;.340;-.026;1;CA-High
SNB2402;1831;2016;186;7;0;.561;1.13;2.86;.494;.857;.177;2.68;.450;-.026;1;CA-High
SNB2501;1831;2016;186;7;0;.578;1.07;2.86;.508;.853;.181;2.77;.478;-.011;1;CA-Low
SNB2502;1839;2016;178;7;2;.408;1.17;3.24;.459;.790;.183;2.64;.473;-.011;1;CA-Low
