"","id","varname","month","coef","significant","ci_lower","ci_upper","site","sig","month_name"
"1",1,"tmin","Sep",-0.105923904421761,FALSE,-0.33022414993443,0.134661876212615,"SJ","","Sep"
"2",2,"tmin","Oct",0.0635362865631532,FALSE,-0.183210047356688,0.290533607377913,"SJ","","Oct"
"3",3,"tmin","Nov",-0.0351866670137792,FALSE,-0.277498191536637,0.204451383789586,"SJ","","Nov"
"4",4,"tmin","Dec",0.0735844766199093,FALSE,-0.160876639913865,0.302965004327556,"SJ","","Dec"
"5",5,"tmin","JAN",0.0685082863098837,FALSE,-0.159121439036325,0.295384379262079,"SJ","","JAN"
"6",6,"tmin","FEB",0.0652842377437033,FALSE,-0.14621605034619,0.263111184766728,"SJ","","FEB"
"7",7,"tmin","MAR",-0.0210938710519348,FALSE,-0.237535148921767,0.200286321199976,"SJ","","MAR"
"8",8,"tmin","APR",0.0227011916820762,FALSE,-0.207954678939064,0.242318329731503,"SJ","","APR"
"9",9,"tmin","MAY",-0.126136889910056,FALSE,-0.362916684919998,0.095551054563974,"SJ","","MAY"
"10",10,"tmin","JUN",-0.0610557498394905,FALSE,-0.315167250092992,0.185399042419647,"SJ","","JUN"
"11",11,"tmin","JUL",-0.157389560837933,FALSE,-0.370324828158284,0.0569560419712438,"SJ","","JUL"
"12",12,"tmin","AUG",-0.0216719769918179,FALSE,-0.234968077520725,0.195062249680734,"SJ","","AUG"
"13",13,"tmin","SEP",0.240102345628596,TRUE,0.0101044382335107,0.455874504821619,"SJ","*","SEP"
"14",14,"tmin","OCT",0.00594858622312123,FALSE,-0.215115748982024,0.219316855625759,"SJ","","OCT"
"15",15,"tmin.mean","sep...AUG",-0.00483991329692656,FALSE,-0.234627572875882,0.229038371282781,"SJ","","Hydrol"
"16",16,"tmin.mean","dec...FEB",0.0720228672053064,FALSE,-0.150004406963152,0.299307848037771,"SJ","","Winter"
"17",17,"tmin.mean","MAR...MAY",-0.0394804108305206,FALSE,-0.26520884117232,0.181119068926762,"SJ","","Spring"
"18",18,"tmin.mean","JUN...AUG",-0.0816958937530834,FALSE,-0.316766024143601,0.152844371534407,"SJ","","Summer"
"19",19,"tmin.mean","SEP...NOV",0.0573205767166218,FALSE,-0.174000588862219,0.278964397610072,"SJ","","Autumn"
"20",1,"tmin","Sep",0.0209041762691093,FALSE,-0.268279201921175,0.283136775241407,"caH","","Sep"
"21",2,"tmin","Oct",0.0879573182644754,FALSE,-0.135380505885733,0.311678512040374,"caH","","Oct"
