"id","varname","month","coef","significant","ci_lower","ci_upper","site","sig","month_name"
1,"tmin","Mar",0.0546448357565483,FALSE,-0.196398401879265,0.283801044931845,"SJ","","Mar"
2,"tmin","Apr",-0.0555143710069816,FALSE,-0.271826826631932,0.150821263813228,"SJ","","Apr"
3,"tmin","May",-0.0351928278930303,FALSE,-0.247866606788713,0.197892374365028,"SJ","","May"
4,"tmin","Jun",0.0115249029870102,FALSE,-0.263110984490457,0.261168645816815,"SJ","","Jun"
5,"tmin","Jul",-0.197345152802505,FALSE,-0.447314744531412,0.0518041207618385,"SJ","","Jul"
6,"tmin","Aug",-0.184937870243388,FALSE,-0.432574811961444,0.0874036349758364,"SJ","","Aug"
7,"tmin","Sep",-0.105923904421761,FALSE,-0.33022414993443,0.134661876212615,"SJ","","Sep"
8,"tmin","Oct",0.0635362865631532,FALSE,-0.183210047356688,0.290533607377913,"SJ","","Oct"
9,"tmin","Nov",-0.0351866670137792,FALSE,-0.277498191536637,0.204451383789586,"SJ","","Nov"
10,"tmin","Dec",0.0735844766199093,FALSE,-0.160876639913865,0.302965004327556,"SJ","","Dec"
11,"tmin","JAN",0.0685082863098837,FALSE,-0.159121439036325,0.295384379262079,"SJ","","JAN"
12,"tmin","FEB",0.0652842377437033,FALSE,-0.14621605034619,0.263111184766728,"SJ","","FEB"
13,"tmin","MAR",-0.0210938710519348,FALSE,-0.237535148921767,0.200286321199976,"SJ","","MAR"
14,"tmin","APR",0.0227011916820762,FALSE,-0.207954678939064,0.242318329731503,"SJ","","APR"
15,"tmin","MAY",-0.126136889910056,FALSE,-0.362916684919998,0.095551054563974,"SJ","","MAY"
16,"tmin","JUN",-0.0610557498394905,FALSE,-0.315167250092992,0.185399042419647,"SJ","","JUN"
17,"tmin","JUL",-0.157389560837933,FALSE,-0.370324828158284,0.0569560419712438,"SJ","","JUL"
18,"tmin","AUG",-0.0216719769918179,FALSE,-0.234968077520725,0.195062249680734,"SJ","","AUG"
19,"tmin","SEP",0.240102345628596,TRUE,0.0101044382335107,0.455874504821619,"SJ","*","SEP"
20,"tmin.mean","sep...AUG",-0.00483991329692656,FALSE,-0.234627572875882,0.229038371282781,"SJ","","Hydrol"
21,"tmin.mean","dec...FEB",0.0720228672053064,FALSE,-0.150004406963152,0.299307848037771,"SJ","","Winter"
22,"tmin.mean","MAR...MAY",-0.0394804108305206,FALSE,-0.26520884117232,0.181119068926762,"SJ","","Spring"
23,"tmin.mean","JUN...AUG",-0.0816958937530834,FALSE,-0.316766024143601,0.152844371534407,"SJ","","Summer"
24,"tmin.mean","SEP...NOV",0.0573205767166218,FALSE,-0.174000588862219,0.278964397610072,"SJ","","Autumn"
1,"tmin","Mar",0.0240870999571129,FALSE,-0.183505790025879,0.24100847476753,"caH","","Mar"
2,"tmin","Apr",-0.0419183485697584,FALSE,-0.281963203932763,0.180222436231,"caH","","Apr"
3,"tmin","May",0.077894467153036,FALSE,-0.144121909105285,0.290157539851666,"caH","","May"
4,"tmin","Jun",-0.0034943422962902,FALSE,-0.215026723079337,0.207478238166502,"caH","","Jun"
5,"tmin","Jul",0.0261106739486296,FALSE,-0.241528969239139,0.284937575537517,"caH","","Jul"
6,"tmin","Aug",-0.0243834491399109,FALSE,-0.26204935665792,0.223445907989268,"caH","","Aug"
7,"tmin","Sep",0.0209041762691093,FALSE,-0.268279201921175,0.283136775241407,"caH","","Sep"
8,"tmin","Oct",0.0879573182644754,FALSE,-0.135380505885733,0.311678512040374,"caH","","Oct"
9,"tmin","Nov",0.0361325978999403,FALSE,-0.173822770722178,0.254074310730101,"caH","","Nov"
10,"tmin","Dec",0.0984152845123824,FALSE,-0.11722868880195,0.316533299001529,"caH","","Dec"
11,"tmin","JAN",0.0889328621076922,FALSE,-0.144662054843468,0.321539905698069,"caH","","JAN"
12,"tmin","FEB",-0.0261439537050126,FALSE,-0.265741084428775,0.22547824696873,"caH","","FEB"
13,"tmin","MAR",-0.0212333192838171,FALSE,-0.249884460396416,0.201548433790842,"caH","","MAR"
14,"tmin","APR",0.0162502104573838,FALSE,-0.225480837710062,0.247615310818895,"caH","","APR"
15,"tmin","MAY",-0.111332118635329,FALSE,-0.324759755263255,0.115451768890001,"caH","","MAY"
16,"tmin","JUN",0.00188888244032452,FALSE,-0.222858019701559,0.221847951488516,"caH","","JUN"
17,"tmin","JUL",-0.00660667603281363,FALSE,-0.236004989890043,0.231800970991571,"caH","","JUL"
18,"tmin","AUG",0.0256560555510149,FALSE,-0.213043179650107,0.268215291407197,"caH","","AUG"
19,"tmin","SEP",0.112316792598385,FALSE,-0.173726724920178,0.35335225608834,"caH","","SEP"
20,"tmin.mean","sep...AUG",0.0252928838629091,FALSE,-0.185642719291674,0.259248075389762,"caH","","Hydrol"
21,"tmin.mean","dec...FEB",0.0598146246626922,FALSE,-0.172538794774324,0.296004084308975,"caH","","Winter"
22,"tmin.mean","MAR...MAY",-0.0410057878839649,FALSE,-0.258049830295132,0.18851332360292,"caH","","Spring"
23,"tmin.mean","JUN...AUG",0.00629139717945789,FALSE,-0.236390631289185,0.247386071849387,"caH","","Summer"
24,"tmin.mean","SEP...NOV",0.0109146200954554,FALSE,-0.212693241311297,0.225396709126677,"caH","","Autumn"
1,"tmin","Mar",0.0876197089527482,FALSE,-0.133792762823904,0.305896683358544,"caL","","Mar"
2,"tmin","Apr",-0.0618489719972126,FALSE,-0.288235725366155,0.158578974053721,"caL","","Apr"
3,"tmin","May",0.0866777931098182,FALSE,-0.159360560255084,0.321240621161111,"caL","","May"
