"","id","varname","month","coef","significant","ci_lower","ci_upper","site","sig","month_name"
"1",1,"spei6","Sep",-0.113818823967517,FALSE,-0.35732268931827,0.136950209973841,"SJ","","Sep"
"2",2,"spei6","Oct",0.0284560845809239,FALSE,-0.212901969762452,0.26358162315863,"SJ","","Oct"
"3",3,"spei6","Nov",0.246011785433653,FALSE,-0.00558518850141836,0.478685269531386,"SJ","","Nov"
"4",4,"spei6","Dec",0.474975368071887,TRUE,0.251546290702529,0.657650812845657,"SJ","*","Dec"
"5",5,"spei6","JAN",0.609571899392079,TRUE,0.449227166855852,0.749163083728183,"SJ","*","JAN"
"6",6,"spei6","FEB",0.62763352542365,TRUE,0.462719392913684,0.759913683567597,"SJ","*","FEB"
"7",7,"spei6","MAR",0.638212672440186,TRUE,0.488279479512783,0.757415287333213,"SJ","*","MAR"
"8",8,"spei6","APR",0.627166925252526,TRUE,0.447591559536311,0.756319633502962,"SJ","*","APR"
"9",9,"spei6","MAY",0.563217933039869,TRUE,0.359248075450895,0.717111738024704,"SJ","*","MAY"
"10",10,"spei6","JUN",0.490611865655268,TRUE,0.271866373925241,0.661642517838585,"SJ","*","JUN"
"11",11,"spei6","JUL",0.326344689697052,TRUE,0.0403240097788566,0.562307899330564,"SJ","*","JUL"
"12",12,"spei6","AUG",0.277644255986927,FALSE,-0.0410153881198517,0.527550015926788,"SJ","","AUG"
"13",13,"spei6","SEP",0.191829311371336,FALSE,-0.118070582737131,0.446114742384468,"SJ","","SEP"
"14",14,"spei6","OCT",0.17492146207625,FALSE,-0.109748946751464,0.403047942383794,"SJ","","OCT"
"15",15,"spei6.mean","sep...AUG",0.593247082316697,TRUE,0.406938189915853,0.736086679776846,"SJ","*","Hydrol"
"16",16,"spei6.mean","dec...FEB",0.604510797529098,TRUE,0.436078166858719,0.748213578632033,"SJ","*","Winter"
"17",17,"spei6.mean","MAR...MAY",0.633316800756884,TRUE,0.453421638853669,0.757464107793942,"SJ","*","Spring"
"18",18,"spei6.mean","JUN...AUG",0.386455479027296,TRUE,0.116635646265978,0.600220840738019,"SJ","*","Summer"
"19",19,"spei6.mean","SEP...NOV",0.185715349818156,FALSE,-0.103152587834293,0.424271844468174,"SJ","","Autumn"
"20",1,"spei6","Sep",-0.146855061499376,FALSE,-0.454431591281768,0.209945077100336,"caH","","Sep"
"21",2,"spei6","Oct",-0.126216495942978,FALSE,-0.417687872475787,0.193403162048598,"caH","","Oct"
"22",3,"spei6","Nov",-0.0153910332080263,FALSE,-0.319147307387416,0.304087668447666,"caH","","Nov"
"23",4,"spei6","Dec",0.2125912105127,FALSE,-0.0720849427787332,0.469615201988304,"caH","","Dec"
"24",5,"spei6","JAN",0.345902369632877,TRUE,0.0551290473423733,0.579079209393952,"caH","*","JAN"
"25",6,"spei6","FEB",0.368737437281788,TRUE,0.0568925640772709,0.613087348044336,"caH","*","FEB"
"26",7,"spei6","MAR",0.409071836787282,TRUE,0.111123922359318,0.647326518413971,"caH","*","MAR"
"27",8,"spei6","APR",0.443205686454441,TRUE,0.116214071620055,0.674163053796606,"caH","*","APR"
"28",9,"spei6","MAY",0.481845376303197,TRUE,0.166245960259119,0.701138991200025,"caH","*","MAY"
"29",10,"spei6","JUN",0.483417985043694,TRUE,0.200432210925122,0.690164608607288,"caH","*","JUN"
"30",11,"spei6","JUL",0.441624098965927,TRUE,0.19321416641532,0.624122903982515,"caH","*","JUL"
"31",12,"spei6","AUG",0.415341682763575,TRUE,0.189573642357399,0.581465608458464,"caH","*","AUG"
"32",13,"spei6","SEP",0.308369401540966,TRUE,0.0657413513506848,0.508099074554113,"caH","*","SEP"
"33",14,"spei6","OCT",0.26766933917383,TRUE,0.0333597515336188,0.450819148525983,"caH","*","OCT"
"34",15,"spei6.mean","sep...AUG",0.407913992370429,TRUE,0.0732617691379361,0.669510917622746,"caH","*","Hydrol"
"35",16,"spei6.mean","dec...FEB",0.329914699655923,TRUE,0.0370819669734478,0.572437337351867,"caH","*","Winter"
"36",17,"spei6.mean","MAR...MAY",0.45745222892555,TRUE,0.135535806323305,0.691765388713396,"caH","*","Spring"
"37",18,"spei6.mean","JUN...AUG",0.477928685317556,TRUE,0.222713154650506,0.647262721321008,"caH","*","Summer"
