"site","n","M.Huber","lower.ci","upper.ci","var","Letter","MonoLetter"
"SJ",40,1.23025255768964,1.13293089150212,1.32757422387715,"rc","a","a "
"caH",30,0.978944285185736,0.910296911155454,1.04759165921602,"rc","b"," b"
"caL",30,0.870207180771377,0.817003232205407,0.923411129337348,"rc","b"," b"
"SJ",40,0.597510612270139,0.525015345819433,0.670005878720845,"rt","a","a "
"caH",30,0.798694441057317,0.738830870541842,0.858558011572792,"rt","b"," b"
"caL",30,0.889120550143298,0.848199767946174,0.930041332340422,"rt","b"," b"
"SJ",40,0.736142924318152,0.630442424417294,0.84184342421901,"rs","a","a"
"caH",30,0.77601180503099,0.733503641170163,0.818519968891817,"rs","a","a"
"caL",30,0.773399198591787,0.714972796874416,0.831825600309158,"rs","a","a"
"SJ",40,0.131319468212552,0.0711292049794489,0.191509731445655,"rrs","a","a "
"caH",30,-0.0243057489906464,-0.0831854057461804,0.0345739077648876,"rrs","ab","ab"
"caL",30,-0.113603383690481,-0.160070986827075,-0.0671357805538859,"rrs","b"," b"
