"fact","statistic","pvalue","var"
"disturb_year",32.1552501548855,0.001,"rc"
"site",54.0513932885246,0.001,"rc"
"disturb_year:site",3.7282993420004,0.178,"rc"
"disturb_year",8.32020000681407,0.006,"rt"
"site",73.6290356109733,0.001,"rt"
"disturb_year:site",39.0756774604937,0.001,"rt"
"disturb_year",71.0246293359493,0.001,"rs"
"site",2.86256229574485,0.26,"rs"
"disturb_year:site",48.0500205290403,0.001,"rs"
"disturb_year",42.1386281233275,0.001,"rrs"
"site",67.9379190804874,0.001,"rrs"
"disturb_year:site",4.94245766389224,0.107,"rrs"
