"vb","value","date"
"TM3",13.5,1951-01-31
"TM4",-2.5,1951-01-31
"PM1",71.1,1951-01-31
"TM1",8.4,1951-02-28
"TM2",4,1951-02-28
"TM3",12.7,1951-02-28
"TM4",-1,1951-02-28
"PM1",84.1,1951-02-28
"TM1",11.7,1951-03-31
"TM2",7.1,1951-03-31
"TM3",16.4,1951-03-31
"TM4",2,1951-03-31
"PM1",124.5,1951-03-31
"TM1",12.6,1951-04-30
"TM2",7.8,1951-04-30
"TM3",17.5,1951-04-30
"TM4",2.8,1951-04-30
"PM1",30.1,1951-04-30
"TM1",14.1,1951-05-31
"TM2",8.7,1951-05-31
"TM3",19.6,1951-05-31
"TM4",1.6,1951-05-31
"PM1",28.9,1951-05-31
"TM1",19.7,1951-06-30
"TM2",14.1,1951-06-30
"TM3",25.3,1951-06-30
"TM4",10,1951-06-30
"PM1",6.3,1951-06-30
"TM1",22.4,1951-07-31
"TM2",16.5,1951-07-31
"TM3",28.2,1951-07-31
"TM4",13.6,1951-07-31
"PM1",1.6,1951-07-31
"TM1",22.4,1951-08-31
"TM2",16.1,1951-08-31
"TM3",28.7,1951-08-31
"TM4",14,1951-08-31
"TM1",20.3,1951-09-30
"TM2",14.8,1951-09-30
"TM3",25.9,1951-09-30
"TM4",12,1951-09-30
"PM1",62,1951-09-30
"TM1",14.4,1951-10-31
"TM2",9,1951-10-31
"TM3",19.8,1951-10-31
"TM4",1.8,1951-10-31
"PM1",16.3,1951-10-31
"TM1",11.8,1951-11-30
"TM2",7.5,1951-11-30
"TM3",16.2,1951-11-30
"TM4",4.6,1951-11-30
"PM1",173.2,1951-11-30
"TM1",10.7,1951-12-31
"TM2",6.3,1951-12-31
"TM3",15.1,1951-12-31
"TM4",3,1951-12-31
"PM1",18.6,1951-12-31
"TM1",7.3,1952-01-31
"TM2",2.4,1952-01-31
"TM3",12.1,1952-01-31
"TM4",-3.8,1952-01-31
"PM1",57.3,1952-01-31
"TM1",8.6,1952-02-29
"TM2",3.7,1952-02-29
"TM3",13.5,1952-02-29
"TM4",-1,1952-02-29
"PM1",20.6,1952-02-29
"TM1",13.9,1952-03-31
"TM2",8.6,1952-03-31
"TM3",19.2,1952-03-31
"TM4",4.2,1952-03-31
"PM1",57.9,1952-03-31
"TM1",12.5,1952-04-30
"TM2",7.9,1952-04-30
"TM3",17.2,1952-04-30
"TM4",1.6,1952-04-30
"PM1",100.5,1952-04-30
"TM1",15.2,1952-05-31
"TM2",10.2,1952-05-31
"TM3",20.1,1952-05-31
"TM4",6.2,1952-05-31
"PM1",57.7,1952-05-31
"TM1",20.9,1952-06-30
"TM2",15.2,1952-06-30
"TM3",26.7,1952-06-30
"TM4",11.8,1952-06-30
"PM1",3.2,1952-06-30
"TM1",22.8,1952-07-31
"TM2",17.3,1952-07-31
"TM3",28.3,1952-07-31
"TM4",13.4,1952-07-31
"TM1",22.7,1952-08-31
"TM2",16.6,1952-08-31
"TM3",28.9,1952-08-31
"TM4",13,1952-08-31
"PM1",78,1952-08-31
"TM1",19,1952-09-30
"TM2",13,1952-09-30
"TM3",25,1952-09-30
"TM4",9,1952-09-30
"PM1",10.2,1952-09-30
"TM1",17.5,1952-10-31
"TM2",11.3,1952-10-31
"TM3",23.8,1952-10-31
"TM4",4,1952-10-31
"PM1",33.5,1952-10-31
"TM1",13,1952-11-30
"TM2",7.8,1952-11-30
"TM3",18.2,1952-11-30
"TM4",1,1952-11-30
"PM1",28.6,1952-11-30
"TM1",10.1,1952-12-31
"TM2",5.2,1952-12-31
"TM3",15.1,1952-12-31
"TM4",0.6,1952-12-31
"PM1",42,1952-12-31
"TM1",7.1,1953-01-31
"TM2",2.3,1953-01-31
"TM3",11.9,1953-01-31
"TM4",-2.2,1953-01-31
"PM1",32.9,1953-01-31
"TM1",8.1,1953-02-28
"TM2",3.2,1953-02-28
"TM3",12.9,1953-02-28
"TM4",-2.4,1953-02-28
"PM1",20,1953-02-28
"TM1",9.6,1953-03-31
"TM2",5,1953-03-31
"TM3",14.2,1953-03-31
"TM4",1.8,1953-03-31
"PM1",34.8,1953-03-31
"TM1",13.9,1953-04-30
"TM2",8.8,1953-04-30
"TM3",19,1953-04-30
"TM4",4.8,1953-04-30
"PM1",33.3,1953-04-30
"TM1",18.3,1953-05-31
"TM2",12.2,1953-05-31
"TM3",24.3,1953-05-31
"TM4",5,1953-05-31
"PM1",2.9,1953-05-31
"TM1",19.4,1953-06-30
"TM2",13.7,1953-06-30
"TM3",25.2,1953-06-30
"TM4",7,1953-06-30
"PM1",7.4,1953-06-30
"TM1",23,1953-07-31
"TM2",17.3,1953-07-31
"TM3",28.7,1953-07-31
"TM4",14,1953-07-31
"TM1",23.3,1953-08-31
"TM2",17.7,1953-08-31
"TM3",29,1953-08-31
"TM4",14,1953-08-31
"TM1",20,1953-09-30
"TM2",14.6,1953-09-30
"TM3",25.4,1953-09-30
"TM4",9.4,1953-09-30
"PM1",3.4,1953-09-30
"TM1",15.4,1953-10-31
"TM2",10.7,1953-10-31
"TM3",20.1,1953-10-31
"TM4",6.4,1953-10-31
"PM1",56.9,1953-10-31
"TM1",13.2,1953-11-30
"TM2",8.5,1953-11-30
"TM3",17.9,1953-11-30
"TM4",5,1953-11-30
"PM1",13,1953-11-30
"TM1",10.9,1953-12-31
"TM2",6.7,1953-12-31
"TM3",15,1953-12-31
"TM4",2.6,1953-12-31
"PM1",145.4,1953-12-31
"TM1",7.3,1954-01-31
