"vb","value","date"
"PM1",50,1929-11-30
"PM1",30.4,1929-12-31
"PM1",105.4,1930-01-31
"PM1",26.4,1930-03-31
"PM1",163.7,1930-04-30
"PM1",28.3,1930-05-31
"PM1",69.4,1930-06-30
"PM1",0,1930-07-31
"PM1",0.7,1930-08-31
"PM1",23.9,1930-09-30
"PM1",2.8,1930-10-31
"PM1",40.8,1930-11-30
"PM1",31.2,1930-12-31
"PM1",7.6,1931-01-31
"PM1",6.5,1931-02-28
"PM1",114.2,1931-03-31
"PM1",15.2,1931-04-30
"PM1",14.3,1931-05-31
"PM1",4.9,1931-06-30
"PM1",0.3,1931-07-31
"PM1",0,1931-08-31
"PM1",43.2,1931-09-30
"PM1",105.7,1931-10-31
"PM1",44.3,1931-11-30
"PM1",32.2,1932-01-31
"PM1",63.3,1932-02-29
"PM1",51.2,1932-03-31
"PM1",47.1,1932-04-30
"PM1",69.3,1951-03-31
"PM1",69.6,1951-04-30
"PM1",42,1951-05-31
"PM1",2.1,1951-06-30
"PM1",2.2,1951-07-31
"PM1",1.1,1951-08-31
"PM1",101.6,1951-09-30
"PM1",70.8,1951-10-31
"PM1",121,1951-11-30
"PM1",21,1951-12-31
"PM1",45.1,1952-01-31
"PM1",17.3,1952-02-29
"PM1",37.4,1952-03-31
"PM1",73.8,1952-04-30
"PM1",111.7,1952-05-31
"PM1",2.1,1952-06-30
"PM1",18.5,1952-07-31
"PM1",56.1,1952-08-31
"PM1",8,1952-09-30
"PM1",36.6,1952-10-31
"PM1",55,1952-11-30
"PM1",84.6,1952-12-31
"PM1",25.4,1953-01-31
"PM1",27.2,1953-02-28
"PM1",21.5,1953-03-31
"PM1",12.9,1953-04-30
"PM1",4.7,1953-05-31
"PM1",3.9,1953-06-30
"PM1",1.4,1953-07-31
"PM1",0.1,1953-08-31
"PM1",7.3,1953-09-30
"PM1",77.3,1953-10-31
"PM1",15,1953-11-30
"PM1",62.8,1953-12-31
"PM1",20.7,1954-01-31
"PM1",49.6,1954-02-28
"PM1",106.1,1954-03-31
"PM1",56.3,1954-04-30
"PM1",10.7,1954-05-31
"PM1",1.6,1954-06-30
"PM1",7.4,1954-07-31
"PM1",0.2,1954-08-31
"PM1",0.4,1954-09-30
"PM1",6.1,1954-10-31
"PM1",89.3,1954-11-30
"PM1",47,1954-12-31
"PM1",108,1955-01-31
"PM1",104.7,1955-02-28
"PM1",48.6,1955-03-31
"PM1",26.8,1955-04-30
"PM1",4.6,1955-05-31
"PM1",17.9,1955-06-30
"PM1",7.8,1955-07-31
"PM1",13,1955-08-31
"PM1",62.1,1955-09-30
"PM1",123.6,1955-10-31
"PM1",32.9,1955-11-30
"PM1",61.9,1955-12-31
"PM1",51.3,1956-01-31
"PM1",20.4,1956-02-29
"PM1",102.5,1956-03-31
"PM1",116.6,1956-04-30
"PM1",13,1956-05-31
"PM1",1.5,1956-06-30
"PM1",12.5,1956-07-31
"PM1",8,1956-08-31
"PM1",36.6,1956-09-30
"PM1",13.5,1956-10-31
"PM1",29.4,1956-11-30
"PM1",31.1,1956-12-31
"PM1",41.9,1957-01-31
"PM1",23,1957-02-28
"PM1",108.1,1957-03-31
"PM1",64.6,1957-04-30
"PM1",24.4,1957-05-31
"PM1",12.7,1957-06-30
"PM1",0,1957-07-31
"PM1",0.1,1957-08-31
"PM1",7,1957-09-30
"PM1",37.2,1957-10-31
"PM1",69.2,1957-11-30
"PM1",55.2,1957-12-31
"PM1",37,1958-01-31
"PM1",25.7,1958-02-28
"PM1",65.3,1958-03-31
"PM1",60.2,1958-04-30
"PM1",7.8,1958-05-31
"PM1",7.9,1958-06-30
"PM1",0,1958-07-31
"PM1",0.1,1958-08-31
"PM1",0.3,1958-09-30
"PM1",29.1,1958-10-31
"PM1",3.5,1958-11-30
"PM1",178.6,1958-12-31
"PM1",36.5,1959-01-31
"PM1",28.2,1959-02-28
"PM1",149.6,1959-05-31
"PM1",0.1,1959-06-30
"PM1",0.2,1959-07-31
"PM1",17.4,1959-08-31
"PM1",46.7,1959-09-30
"PM1",57.9,1959-10-31
"PM1",60.3,1959-11-30
"PM1",58.3,1959-12-31
"PM1",40.6,1960-01-31
"PM1",110.4,1960-02-29
"PM1",197.8,1960-03-31
"PM1",46.6,1960-04-30
"PM1",16.1,1960-05-31
"PM1",0.1,1960-08-31
"PM1",1.6,1960-09-30
"PM1",118,1960-10-31
"PM1",55.8,1960-11-30
"PM1",80.2,1960-12-31
"TM1",6.4,1961-01-31
"TM2",1.8,1961-01-31
"TM3",11,1961-01-31
"TM4",-2,1961-01-31
"PM1",42.4,1961-01-31
"TM1",12,1961-02-28
"TM2",4.8,1961-02-28
"TM3",19.1,1961-02-28
"TM4",1.6,1961-02-28
"PM1",0,1961-02-28
"TM1",12.9,1961-03-31
"TM2",5.5,1961-03-31
"TM3",20.4,1961-03-31
"TM4",1.2,1961-03-31
"PM1",7.3,1961-03-31
"TM1",14.9,1961-04-30
"TM2",8.2,1961-04-30
"TM3",21.6,1961-04-30
"TM4",4.9,1961-04-30
"PM1",31.5,1961-04-30
"TM1",19.4,1961-05-31
"TM2",12,1961-05-31
"TM3",26.8,1961-05-31
"TM4",8,1961-05-31
"PM1",45.7,1961-05-31
"TM1",21.6,1961-06-30
"TM2",13.8,1961-06-30
"TM3",29.3,1961-06-30
"TM4",7.6,1961-06-30
"PM1",10.1,1961-06-30
"TM1",26,1961-07-31
"TM2",17.4,1961-07-31
"TM3",34.5,1961-07-31
"TM4",11.8,1961-07-31
"PM1",1.9,1961-07-31
"TM1",26.1,1961-08-31
"TM2",17.8,1961-08-31
"TM3",34.3,1961-08-31
"TM4",15,1961-08-31
"PM1",0.1,1961-08-31
"TM1",23.1,1961-09-30
"TM2",15.5,1961-09-30
"TM3",30.7,1961-09-30
"TM4",10,1961-09-30
"PM1",34.3,1961-09-30
"TM1",16,1961-10-31
"TM2",9.3,1961-10-31
"TM3",22.7,1961-10-31
"TM4",4,1961-10-31
"PM1",26.4,1961-10-31
"TM1",10.2,1961-11-30
"TM2",6.5,1961-11-30
"TM3",15.3,1961-11-30
"TM4",0.4,1961-11-30
"PM1",102.8,1961-11-30
"TM1",8.9,1961-12-31
"TM2",4.8,1961-12-31
"TM3",14.5,1961-12-31
"TM4",0,1961-12-31
"PM1",117.3,1961-12-31
"TM1",8,1962-01-31
"TM2",3.9,1962-01-31
"TM3",13.6,1962-01-31
"TM4",-0.2,1962-01-31
"PM1",24.9,1962-01-31
"PM1",29.3,1962-02-28
"TM1",9.5,1962-03-31
"TM2",5.5,1962-03-31
"TM3",14.4,1962-03-31
"TM4",0.9,1962-03-31
"PM1",109.6,1962-03-31
"TM1",13.2,1962-04-30
"TM2",7.4,1962-04-30
"TM3",19.4,1962-04-30
"TM4",2.8,1962-04-30
"PM1",68.9,1962-04-30
"TM1",17.4,1962-05-31
"TM2",9.8,1962-05-31
"TM3",24.3,1962-05-31
"TM4",3.6,1962-05-31
"PM1",39.4,1962-05-31
"TM1",21.6,1962-06-30
"TM2",13,1962-06-30
"TM3",29.2,1962-06-30
"TM4",7.4,1962-06-30
"PM1",3,1962-06-30
"TM1",27.3,1962-07-31
"TM2",17.3,1962-07-31
"TM3",35.4,1962-07-31
"TM4",13.2,1962-07-31
"PM1",0,1962-07-31
"TM1",27,1962-08-31
"TM2",18.1,1962-08-31
"TM3",36,1962-08-31
"TM4",15.4,1962-08-31
"PM1",0.4,1962-08-31
"TM1",23.1,1962-09-30
"TM2",16.1,1962-09-30
"TM3",31.7,1962-09-30
"TM4",7.7,1962-09-30
"PM1",15.3,1962-09-30
"TM1",16.9,1962-10-31
"TM2",12.1,1962-10-31
"TM3",24.2,1962-10-31
"TM4",5,1962-10-31
"PM1",140.5,1962-10-31
"TM1",7.6,1962-11-30
"TM2",3.8,1962-11-30
"TM3",13.2,1962-11-30
"TM4",-2.5,1962-11-30
"PM1",97.5,1962-11-30
"TM1",6.7,1962-12-31
"TM2",2.9,1962-12-31
"TM3",11.8,1962-12-31
"TM4",-2,1962-12-31
"PM1",99.6,1962-12-31
"TM1",7.2,1963-01-31
"TM2",4,1963-01-31
"TM3",11.8,1963-01-31
"TM4",-3.3,1963-01-31
"PM1",103.6,1963-01-31
"TM1",6.2,1963-02-28
"TM2",2.5,1963-02-28
"TM3",10,1963-02-28
"TM4",-4.8,1963-02-28
"PM1",185.4,1963-02-28
"TM1",10.2,1963-03-31
"TM2",4.5,1963-03-31
"TM3",16.6,1963-03-31
"TM4",-0.2,1963-03-31
"PM1",20.8,1963-03-31
"TM1",13.3,1963-04-30
"TM2",7.3,1963-04-30
"TM3",19,1963-04-30
"TM4",3.7,1963-04-30
"PM1",43.9,1963-04-30
"TM1",16.4,1963-05-31
"TM2",9.6,1963-05-31
"TM3",23.6,1963-05-31
"TM4",1,1963-05-31
"PM1",95.4,1963-05-31
"TM1",20.6,1963-06-30
"TM2",13.3,1963-06-30
"TM3",27.7,1963-06-30
"TM4",7.3,1963-06-30
"PM1",13.7,1963-06-30
"TM1",25.4,1963-07-31
"TM2",16.7,1963-07-31
"TM3",34.2,1963-07-31
"TM4",12.4,1963-07-31
"PM1",1.1,1963-07-31
"TM1",24.8,1963-08-31
"TM2",16.4,1963-08-31
"TM3",33.8,1963-08-31
"TM4",12.8,1963-08-31
"PM1",1.7,1963-08-31
"TM1",19.2,1963-09-30
"TM2",13.2,1963-09-30
"TM3",27.3,1963-09-30
"TM4",10.9,1963-09-30
"PM1",80.2,1963-09-30
"TM1",16.8,1963-10-31
"TM2",10.1,1963-10-31
"TM3",25.9,1963-10-31
"TM4",7.1,1963-10-31
"PM1",26.8,1963-10-31
"TM1",11.2,1963-11-30
"TM2",7.5,1963-11-30
"TM3",16.8,1963-11-30
"TM4",1,1963-11-30
"TM1",7.6,1963-12-31
"TM2",4.4,1963-12-31
"TM3",11.8,1963-12-31
"TM4",-1,1963-12-31
"PM1",213.7,1963-12-31
"TM1",6.7,1964-01-31
"TM2",1.5,1964-01-31
"TM3",13.3,1964-01-31
"TM4",-1.9,1964-01-31
"TM1",8.8,1964-02-29
"TM2",4.2,1964-02-29
"TM3",14.4,1964-02-29
"TM4",-2.2,1964-02-29
"PM1",91.1,1964-02-29
"TM1",10.2,1964-03-31
"TM2",5.5,1964-03-31
"TM3",15.7,1964-03-31
"TM4",1.6,1964-03-31
"PM1",83.9,1964-03-31
"TM1",12.4,1964-04-30
"TM2",6,1964-04-30
"TM3",19,1964-04-30
"TM4",0,1964-04-30
"PM1",25.4,1964-04-30
"TM1",21.5,1964-05-31
"TM2",12.5,1964-05-31
"TM3",29.4,1964-05-31
"TM4",8.4,1964-05-31
"PM1",25.9,1964-05-31
"TM1",22.1,1964-06-30
"TM2",14.3,1964-06-30
"TM3",29.9,1964-06-30
"TM4",8.4,1964-06-30
"PM1",10.3,1964-06-30
"TM1",25.7,1964-07-31
"TM2",16.8,1964-07-31
"TM3",34.3,1964-07-31
"TM4",13,1964-07-31
"PM1",0,1964-07-31
"TM1",24.8,1964-08-31
"TM2",16.5,1964-08-31
"TM3",33.6,1964-08-31
"TM4",12.6,1964-08-31
"PM1",0.6,1964-08-31
"TM1",24.7,1964-09-30
"TM2",17.7,1964-09-30
"TM3",33.2,1964-09-30
