"vb","value","date"
"PM1",25.3,1946-01-31
"PM1",35,1946-02-28
"PM1",143.4,1946-03-31
"PM1",201.7,1946-04-30
"PM1",62.7,1946-05-31
"PM1",5.9,1946-06-30
"PM1",2.5,1946-09-30
"PM1",24.2,1946-10-31
"PM1",45,1947-11-30
"PM1",123,1947-12-31
"PM1",146,1948-01-31
"PM1",53,1948-02-29
"PM1",12,1948-03-31
"PM1",107.5,1948-04-30
"PM1",116.1,1948-05-31
"PM1",137,1948-06-30
"PM1",30,1948-12-31
"PM1",40,1949-01-31
"PM1",38,1949-02-28
"PM1",144,1949-04-30
"PM1",0,1949-05-31
"PM1",49,1949-08-31
"PM1",54,1949-09-30
"PM1",133,1949-11-30
"PM1",77,1950-01-31
"PM1",36,1950-03-31
"PM1",14,1950-05-31
"PM1",7,1950-08-31
"PM1",127,1950-09-30
"PM1",69,1950-10-31
"PM1",45.5,1950-12-31
"PM1",69,1952-01-31
"PM1",34,1952-02-29
"PM1",107,1952-03-31
"PM1",140.5,1952-04-30
"PM1",103,1952-08-31
"PM1",46,1952-10-31
"PM1",51,1952-11-30
"PM1",77,1952-12-31
"PM1",14.2,1953-11-30
"PM1",182.9,1953-12-31
"PM1",151.4,1954-03-31
"PM1",55.6,1954-04-30
"PM1",7.6,1954-10-31
"PM1",71.5,1954-11-30
"PM1",148,1954-12-31
"PM1",137.7,1955-01-31
"PM1",220.4,1955-02-28
"PM1",70.9,1955-03-31
"PM1",93.9,1955-04-30
"PM1",10,1955-05-31
"PM1",27.7,1955-06-30
"PM1",29.3,1955-09-30
"PM1",109.7,1955-10-31
"PM1",152,1955-11-30
"PM1",138.4,1955-12-31
"PM1",152.2,1956-01-31
"PM1",88.6,1956-02-29
"PM1",153,1956-03-31
"PM1",124.4,1956-04-30
"PM1",16,1956-07-31
"PM1",8.7,1956-08-31
"PM1",65.5,1956-09-30
"PM1",28,1956-10-31
"PM1",56.5,1956-11-30
"PM1",37.3,1956-12-31
"PM1",18,1958-01-31
"PM1",52.5,1958-02-28
"PM1",122.7,1958-03-31
"PM1",36.7,1958-04-30
"PM1",54,1958-05-31
"PM1",15.5,1958-06-30
"PM1",34,1958-10-31
"PM1",587.8,1958-12-31
"PM1",54,1959-01-31
"PM1",60.5,1959-03-31
"PM1",122,1959-05-31
"PM1",8,1959-07-31
"PM1",74.5,1959-10-31
"PM1",56.5,1959-11-30
"PM1",56,1959-12-31
"PM1",35.3,1961-01-31
"PM1",0,1961-02-28
"PM1",15.2,1961-03-31
"PM1",42.4,1961-04-30
"PM1",68.7,1961-05-31
"PM1",36.6,1961-06-30
"PM1",0,1961-07-31
"PM1",0.1,1961-08-31
"PM1",39,1961-09-30
"PM1",13.7,1961-10-31
"PM1",234.6,1961-12-31
"PM1",74,1962-01-31
"PM1",24.1,1962-02-28
"PM1",245.5,1962-03-31
"PM1",102.7,1962-04-30
"PM1",58.1,1962-05-31
"PM1",21.2,1962-06-30
"PM1",0,1962-07-31
"PM1",7.6,1962-08-31
"PM1",12.5,1962-09-30
"PM1",223.4,1962-10-31
"PM1",122.6,1962-11-30
"PM1",36.1,1963-12-31
"PM1",1.4,1964-09-30
"PM1",67.8,1965-01-31
"PM1",104,1965-02-28
"PM1",97.3,1965-03-31
"PM1",22.1,1965-04-30
"PM1",0.7,1965-05-31
"PM1",12.6,1965-06-30
"PM1",9,1965-07-31
"PM1",5.5,1965-08-31
"PM1",153.9,1965-10-31
"PM1",134,1965-11-30
"PM1",51,1966-01-31
"PM1",128.6,1966-02-28
"PM1",2.1,1966-03-31
"PM1",10.4,1966-04-30
"PM1",30.8,1966-05-31
"PM1",6.1,1966-06-30
"PM1",0.8,1966-07-31
"PM1",109.7,1966-10-31
"PM1",52.6,1966-11-30
"PM1",2,1966-12-31
"PM1",59,1967-01-31
"PM1",184.1,1967-02-28
"PM1",45.4,1967-03-31
"PM1",78.4,1967-04-30
"PM1",24,1967-05-31
"PM1",78.6,1967-06-30
"PM1",0.1,1967-07-31
"PM1",0.1,1967-08-31
"PM1",7.1,1967-09-30
"PM1",50.3,1967-10-31
"PM1",134.7,1967-11-30
"PM1",16.4,1967-12-31
"PM1",24.3,1968-01-31
"PM1",205.9,1968-02-29
"PM1",119.2,1968-03-31
"PM1",55,1968-04-30
"PM1",19.2,1968-05-31
"PM1",0,1968-06-30
"PM1",0,1968-07-31
"PM1",9.6,1968-08-31
"PM1",3,1968-09-30
"PM1",0,1968-10-31
"PM1",116.3,1968-12-31
"PM1",128.3,1969-01-31
"PM1",192,1969-02-28
"PM1",151.2,1969-03-31
"PM1",75.4,1969-04-30
"PM1",26.1,1969-05-31
"PM1",22.6,1969-06-30
"PM1",3,1969-07-31
"PM1",0.1,1969-08-31
"PM1",41.2,1969-09-30
"PM1",118.6,1969-11-30
"PM1",29.8,1969-12-31
"PM1",419.5,1970-01-31
"PM1",2,1970-02-28
"PM1",84.5,1970-03-31
"PM1",45,1970-04-30
"PM1",14.5,1970-05-31
"PM1",38,1970-06-30
"PM1",0,1970-07-31
"PM1",13,1970-09-30
"PM1",16.6,1970-10-31
"PM1",14.1,1970-11-30
"PM1",131.1,1970-12-31
"PM1",145.3,1971-01-31
"PM1",1,1971-02-28
"PM1",89.5,1971-03-31
"PM1",315.7,1971-04-30
"PM1",18,1971-06-30
"PM1",0,1971-07-31
"PM1",9.3,1971-10-31
"PM1",56.3,1971-11-30
"PM1",97,1971-12-31
