"site","n","lat_m","long_m","elev_mean","elev_min","elev_max","elev_sd","elev_se","slope_mean","slope_sd","slope_se"
"caH",15,36.9661289267242,-3.42070266790688,1864.64867350261,1845.59997558594,1883.88000488281,12.1411213011931,3.13482404025367,12.1119454398189,3.27522517864605,0.845659504798357
"caL",15,36.9564491473138,-3.42410719022155,1718.53732910156,1691.31005859375,1750.80004882812,21.9018317746037,5.65502864763176,12.8575593478899,2.98395430215689,0.770453687873174
"sj",20,37.1312128468417,-3.37490823911503,1395.28050537109,1322.48999023438,1473.53002929688,59.6832223238916,13.3455742232455,27.3250887899851,5.59276407618359,1.25058006564653
