"value","startDate","endDate","lat","lon","variable","loc"
51.400000333786,"1955-10-01 GMT","1955-11-01 GMT",36.875,-3.375,"rr","S"
53.9000007212162,"1955-11-01 GMT","1955-12-01 GMT",36.875,-3.375,"rr","S"
6.20000028610229,"1955-12-01 GMT","1956-01-01 GMT",36.875,-3.375,"rr","S"
52.0000015497208,"1956-01-01 GMT","1956-02-01 GMT",36.875,-3.375,"rr","S"
37.0000004768372,"1956-02-01 GMT","1956-03-01 GMT",36.875,-3.375,"rr","S"
25.0000006482005,"1956-03-01 GMT","1956-04-01 GMT",36.875,-3.375,"rr","S"
34.9000005424023,"1956-04-01 GMT","1956-05-01 GMT",36.875,-3.375,"rr","S"
4,"1956-05-01 GMT","1956-06-01 GMT",36.875,-3.375,"rr","S"
0,"1956-06-01 GMT","1956-07-01 GMT",36.875,-3.375,"rr","S"
0,"1956-07-01 GMT","1956-08-01 GMT",36.875,-3.375,"rr","S"
4,"1956-08-01 GMT","1956-09-01 GMT",36.875,-3.375,"rr","S"
9.20000028610229,"1956-09-01 GMT","1956-10-01 GMT",36.875,-3.375,"rr","S"
1.60000003129244,"1956-10-01 GMT","1956-11-01 GMT",36.875,-3.375,"rr","S"
10.499999910593,"1956-11-01 GMT","1956-12-01 GMT",36.875,-3.375,"rr","S"
8.79999995231628,"1956-12-01 GMT","1957-01-01 GMT",36.875,-3.375,"rr","S"
57.3000004291534,"1957-01-01 GMT","1957-02-01 GMT",36.875,-3.375,"rr","S"
7.30000019073486,"1957-02-01 GMT","1957-03-01 GMT",36.875,-3.375,"rr","S"
36.0999998152256,"1957-03-01 GMT","1957-04-01 GMT",36.875,-3.375,"rr","S"
35.0000008940697,"1957-04-01 GMT","1957-05-01 GMT",36.875,-3.375,"rr","S"
17.4000005722046,"1957-05-01 GMT","1957-06-01 GMT",36.875,-3.375,"rr","S"
7.40000009536743,"1957-06-01 GMT","1957-07-01 GMT",36.875,-3.375,"rr","S"
0,"1957-07-01 GMT","1957-08-01 GMT",36.875,-3.375,"rr","S"
0,"1957-08-01 GMT","1957-09-01 GMT",36.875,-3.375,"rr","S"
10.0000002384186,"1957-09-01 GMT","1957-10-01 GMT",36.875,-3.375,"rr","S"
30.9000001549721,"1957-10-01 GMT","1957-11-01 GMT",36.875,-3.375,"rr","S"
27.2000001072884,"1957-11-01 GMT","1957-12-01 GMT",36.875,-3.375,"rr","S"
105.400003552437,"1957-12-01 GMT","1958-01-01 GMT",36.875,-3.375,"rr","S"
24.9000005722046,"1958-01-01 GMT","1958-02-01 GMT",36.875,-3.375,"rr","S"
0,"1958-02-01 GMT","1958-03-01 GMT",36.875,-3.375,"rr","S"
27.9000004529953,"1958-03-01 GMT","1958-04-01 GMT",36.875,-3.375,"rr","S"
