"var","window_size","r2"
"rt","2-3","0.919732565996108"
"rt","2-4","0.810304467792039"
"rt","3-4","0.953793899096482"
"rc","2-3","0.949827815209224"
"rc","2-4","0.903988256703656"
"rc","3-4","0.98441525780542"
"rs","2-3","0.897577583067891"
"rs","2-4","0.786486871635327"
"rs","3-4","0.955264708059663"
"rrs","2-3","0.927176073959788"
"rrs","2-4","0.876739679983047"
"rrs","3-4","0.981723373223396"
