"site","disturb_year","rt_mean","rs_mean","rc_mean","rrs_mean","rt_sd","rs_sd","rc_sd","rrs_sd","rt_se","rs_se","rc_se","rrs_se","samps","d_duration","d_intensity","d_severity","lowest_spei","month_peak","minyear","rangeDate","cat"
"caH",1914,1.05748047766513,1.11132296715513,1.06927742621091,0.0538424894900068,0.155945991904768,0.131730381525872,0.182173750207151,0.200479536819553,0.0402650819703308,0.0340126382559502,0.0470370600445631,0.0517635938238336,15,11,-1.58106560606061,17.3917216666667,-2.02429333333333,3,1913,"Nov - Sep","severe"
"caH",1925,1.20952681903339,1.02660980179045,0.85314216434356,-0.182917017242943,0.174025151049358,0.170527008782824,0.107446044189708,0.147151308572821,0.0449331007890262,0.0440298843396296,0.0277424493175069,0.0379943044983443,15,5,-1.90532266666667,9.52661333333333,-2.29962666666667,4,1925,"Jan - May","severe"
"caH",1927,1.06077568634954,0.951230510556723,0.910071687597207,-0.109545175792819,0.151550153138964,0.131920068036242,0.157382466157078,0.170106614761262,0.0391300812814926,0.0340616151023277,0.0406359780274278,0.0439213390700058,15,4,-1.36337416666667,5.45349666666667,-1.44067333333333,5,1927,"May - Aug","severe"
"caH",1931,0.839253638869887,1.02570504169499,1.23815800828953,0.186451402825102,0.111288899829138,0.144140604905707,0.213700199931018,0.149499583798282,0.0287346703770665,0.0372169441541379,0.0551771543609353,0.038600626554379,15,4,-1.71362666666667,6.85450666666667,-1.83263666666667,7,1931,"May - Aug","severe"
"caH",1946,1.04201623981347,0.95298009831083,0.918544226840504,-0.0890361415026374,0.146290479864859,0.145522646259692,0.10962370891491,0.111172075010259,0.0377720394816861,0.0375737856973213,0.0283047199317957,0.0287045063385371,15,9,-1.82317555555556,16.40858,-2.42694,11,1945,"May - Jan","severe"
"caH",1983,0.971650024696468,1.02815095969088,1.0666061216874,0.0565009349944097,0.165006555310461,0.135641895766813,0.0846066603821865,0.0785016212875486,0.0426045093821645,0.0350225868901912,0.0218453457758957,0.0202690314597972,15,8,-1.48243145833333,11.8594516666667,-1.65409833333333,7,1983,"Feb - Sep","severe"
"caH",1985,0.967887272690534,1.08594350128068,1.12730313458443,0.118056228590147,0.067273227072989,0.126804466181925,0.15766659179165,0.142002367768091,0.0173698725399544,0.0327407723831546,0.0407093389508228,0.0366648536991893,15,5,-1.49255433333333,7.46277166666667,-1.53745166666667,6,1985,"May - Sep","severe"
"caH",1991,1.09834396953015,0.830901271131558,0.76750550467811,-0.267442698398595,0.172130072448314,0.164232889550158,0.155819566949834,0.165298683265542,0.044443793598253,0.0424047497418189,0.0402324391873304,0.0426799364958306,15,5,-1.38520533333333,6.92602666666667,-1.44390166666667,7,1991,"Apr - Aug","severe"
"caH",1995,0.535174735576189,1.21008248227866,2.30696273559276,0.674907746702476,0.0985053643377,0.367474333603061,0.704767495315472,0.364931504077426,0.0254339757061337,0.0948814649468883,0.181970184820342,0.0942249091865531,15,11,-1.95669772727273,21.523675,-2.58456,11,1995,"Jan - Nov","severe"
"caH",1999,0.76181262118076,1.15748062046933,1.59440808343024,0.395667999288567,0.200154931902422,0.200982445742003,0.412496246348468,0.178234593227974,0.051679781194624,0.0518934443492541,0.106506072832046,0.0460199740859998,15,9,-1.76442333333333,15.87981,-2.05611166666667,12,1998,"Dec - Aug","severe"
"caH",2005,0.884560899648723,0.774209474856851,0.883673790712676,-0.110351424791872,0.151901846886793,0.154911042352163,0.156609611505975,0.148291256674735,0.0392208882167131,0.0399978591449039,0.0404364278145769,0.0382886378326278,15,5,-1.52219366666667,7.61096833333333,-1.57087666666667,6,2005,"May - Sep","severe"
"caH",2012,0.754800959127616,0.813224766950568,1.08692880400556,0.0584238078229519,0.112789966135414,0.134510184778837,0.154458653980139,0.132071153317269,0.0291222440307838,0.0347303803695811,0.0398810529695129,0.034100625154146,15,6,-1.72790611111111,10.3674366666667,-1.90596166666667,8,2012,"Mar - Aug","severe"
"caL",1914,1.05406276845955,1.15618266977371,1.11027033145198,0.102119901314154,0.245466323051558,0.248793998725358,0.166132252092849,0.169570878545555,0.0633791320822301,0.064238334246644,0.0428951630415692,0.043783012573913,15,11,-1.58106560606061,17.3917216666667,-2.02429333333333,3,1913,"Nov - Sep","severe"
"caL",1925,1.16746122441925,1.05954475301175,0.915736316596832,-0.107916471407497,0.179839596882363,0.137036067697106,0.100618431521715,0.121520140048161,0.0464343842476032,0.0353825605347095,0.0259795673070075,0.0313763652423546,15,5,-1.90532266666667,9.52661333333333,-2.29962666666667,4,1925,"Jan - May","severe"
"caL",1927,1.10110949012846,1.19642979068123,1.08841981381515,0.0953203005527719,0.0870202033791701,0.244062155406881,0.20996070878465,0.236839478882052,0.0224685198980739,0.0630165775553559,0.0542116218987237,0.061151690495642,15,4,-1.36337416666667,5.45349666666667,-1.44067333333333,5,1927,"May - Aug","severe"
